PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JalenT.Johnson,28,7,9,14,2,4,4,4,3,29,45.8,81.8,1,6,1,4,0,5,-1,34,AtlantaHawks
TraeYoung,24,4,4,4,2,9,10,11,11,34,75.0,40.0,0,4,6,2,0,2,-9,27,AtlantaHawks
BogdanBogdanovic,23,1,2,5,5,11,4,4,4,28,55.6,100.0,0,1,0,1,0,2,11,20,AtlantaHawks
DejounteMurray,22,6,6,13,2,5,4,4,6,35,42.9,100.0,2,4,3,0,0,2,4,21,AtlantaHawks
ClintCapela,12,14,5,8,0,0,2,2,0,25,85.7,0,7,7,0,0,3,2,-9,26,AtlantaHawks
OnyekaOkongwu,11,7,3,4,0,0,5,5,0,22,55.6,0,3,4,0,1,0,2,14,18,AtlantaHawks
SaddiqBey,10,8,1,4,2,8,2,2,2,36,42.9,50.0,2,6,0,0,1,2,6,12,AtlantaHawks
TrentForrest,6,2,3,3,0,0,0,0,2,14,50.0,0,0,2,0,0,1,3,7,11,AtlantaHawks
GarrisonMathews,5,0,1,1,1,2,0,1,2,17,50.0,0,0,0,1,0,0,1,-8,4,AtlantaHawks
AtlantaHawks,141,52,34,56,14,39,31,33,30,240,50.0,0,17,35,12,8,5,21,15,173,AtlantaHawks
ShaiGilgeous-Alexander,33,13,9,21,2,3,9,11,8,35,45.8,81.8,1,12,2,0,0,2,2,37,OklahomaCityThunder
JalenWilliams,21,3,8,11,1,1,2,5,6,35,75.0,40.0,1,2,2,4,0,4,3,26,OklahomaCityThunder
CasonWallace,15,1,2,2,3,7,2,2,2,20,55.6,100.0,0,1,0,1,0,2,-16,15,OklahomaCityThunder
LuguentzDort,14,4,1,4,2,3,6,6,3,29,42.9,100.0,3,1,0,0,0,4,11,17,OklahomaCityThunder
AaronWiggins,13,3,5,6,1,1,0,0,2,21,85.7,0,1,2,0,1,1,1,-7,19,OklahomaCityThunder
ChetHolmgren,12,3,3,4,2,5,0,0,1,25,55.6,0,0,3,4,0,0,1,-1,8,OklahomaCityThunder
JoshGiddey,9,3,1,4,2,3,1,2,4,22,42.9,50.0,2,1,2,1,0,1,1,10,OklahomaCityThunder
LindyWaters,9,3,0,0,3,6,0,0,1,20,50.0,0,0,3,1,0,0,2,5,9,OklahomaCityThunder
IsaiahJoe,9,1,3,3,1,5,0,0,1,18,50.0,0,1,0,2,1,0,2,-3,6,OklahomaCityThunder
JaylinWilliams,3,3,0,0,1,2,0,0,2,15,50.0,0,0,3,0,2,0,4,-10,9,OklahomaCityThunder
OklahomaCityThunder,138,39,32,55,18,36,20,26,30,240,54.9,0,11,28,13,10,1,23,-15,156,OklahomaCityThunder
