PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TraeYoung,22,2,3,8,2,6,10,10,13,37,52.6,100.0,0,2,4,1,0,3,12,25,AtlantaHawks
JalenT.Johnson,18,10,7,10,0,2,4,4,2,36,60.0,100.0,1,9,0,1,3,2,3,29,AtlantaHawks
ClintCapela,17,11,7,11,0,0,3,5,2,29,38.5,100.0,8,3,0,1,1,3,-4,26,AtlantaHawks
SaddiqBey,17,7,4,5,2,4,3,4,1,31,38.5,50.0,3,4,2,1,0,1,-5,20,AtlantaHawks
BogdanBogdanovic,13,2,1,4,3,8,2,3,3,24,62.5,100.0,0,2,3,3,0,3,-14,9,AtlantaHawks
DejounteMurray,13,1,2,9,3,7,0,0,3,35,42.9,100.0,0,1,3,1,0,2,-18,4,AtlantaHawks
De&#039;AndreHunter,9,1,3,5,1,2,0,0,0,18,50.0,0,0,1,0,0,0,1,-10,7,AtlantaHawks
OnyekaOkongwu,5,5,1,4,1,2,0,0,0,19,0.0,100.0,2,3,1,0,0,3,-6,5,AtlantaHawks
WesleyMatthews,2,0,0,0,0,2,2,4,0,10,33.3,0,0,0,0,0,0,2,-8,-2,AtlantaHawks
AtlantaHawks,116,44,28,56,12,33,24,30,24,240,0,0,15,29,13,8,4,20,-50,123,AtlantaHawks
JoelEmbiid,32,7,9,16,1,3,11,11,8,37,52.6,100.0,2,5,4,2,0,3,16,36,Philadelphia76ers
TobiasHarris,29,10,9,15,3,5,2,2,4,38,60.0,100.0,1,9,1,1,0,1,-4,35,Philadelphia76ers
TyreseMaxey,19,4,2,7,3,6,6,6,8,40,38.5,100.0,0,4,2,2,0,1,1,23,Philadelphia76ers
De&#039;AnthonyMelton,14,4,2,6,3,7,1,2,5,36,38.5,50.0,1,3,3,2,1,2,12,14,Philadelphia76ers
DanuelHouse,14,3,4,4,1,4,3,3,1,18,62.5,100.0,1,2,1,0,0,1,10,14,Philadelphia76ers
JadenSpringer,8,3,3,5,0,2,2,2,2,22,42.9,100.0,3,0,3,1,2,3,0,9,Philadelphia76ers
RobertCovington,6,7,0,2,2,2,0,0,3,20,50.0,0,4,3,1,1,1,4,3,15,Philadelphia76ers
PatrickBeverley,2,2,0,0,0,1,2,2,1,14,0.0,100.0,0,2,0,0,0,3,16,4,Philadelphia76ers
PaulReed,2,2,1,3,0,0,0,0,0,11,33.3,0,1,1,0,0,0,1,-6,2,Philadelphia76ers
MarcusMorris,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,1,Philadelphia76ers
Philadelphia76ers,126,50,30,58,13,30,27,28,32,240,48.9,0,17,33,16,9,4,20,50,153,Philadelphia76ers
