PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TraeYoung,36,6,5,13,6,11,8,9,13,38,66.7,100.0,0,6,3,1,1,0,16,40,AtlantaHawks
JalenT.Johnson,16,10,6,11,1,2,1,1,7,38,50.0,100.0,0,10,5,6,0,3,16,28,AtlantaHawks
ClintCapela,13,11,5,7,0,0,3,6,0,25,62.5,0,6,5,1,0,4,2,8,22,AtlantaHawks
DejounteMurray,13,13,5,9,1,6,0,0,0,33,37.5,0,0,13,2,0,1,3,0,16,AtlantaHawks
SaddiqBey,10,5,2,2,1,7,3,4,2,33,40.0,0,4,1,0,0,0,3,0,10,AtlantaHawks
OnyekaOkongwu,7,6,3,7,0,1,1,1,1,23,9.1,60.0,2,4,2,0,0,4,2,7,AtlantaHawks
GarrisonMathews,6,0,0,0,2,4,0,0,0,13,25.0,50.0,0,0,0,0,0,0,17,4,AtlantaHawks
BogdanBogdanovic,5,2,1,4,1,6,0,0,1,26,18.2,0,0,2,3,1,0,2,4,-2,AtlantaHawks
TrentForrest,3,3,0,2,1,1,0,0,0,12,50.0,0,1,2,0,0,0,2,-13,4,AtlantaHawks
AtlantaHawks,109,58,27,55,13,38,16,21,24,240,25.0,50.0,14,44,16,8,6,19,50,129,AtlantaHawks
VictorWembanyama,26,13,11,13,1,5,1,1,2,27,66.7,100.0,2,11,3,2,5,2,-2,39,SanAntonioSpurs
JeremySochan,23,8,6,12,2,4,5,5,4,38,50.0,100.0,3,5,4,2,2,4,-4,27,SanAntonioSpurs
JulianChampagnie,15,1,0,0,5,8,0,0,1,20,62.5,0,0,1,0,1,0,1,5,15,SanAntonioSpurs
TreJones,6,1,3,7,0,1,0,0,12,30,37.5,0,0,1,3,3,0,0,5,14,SanAntonioSpurs
DougMcDermott,6,1,0,0,2,5,0,0,0,15,40.0,0,0,1,0,0,0,1,2,4,SanAntonioSpurs
KeldonJohnson,5,6,1,6,0,5,3,5,0,26,9.1,60.0,2,4,5,1,0,4,-4,-5,SanAntonioSpurs
DominickBarlow,4,7,1,4,0,0,2,4,1,17,25.0,50.0,0,7,0,1,0,2,-6,8,SanAntonioSpurs
DevinVassell,4,4,2,6,0,5,0,0,4,30,18.2,0,1,3,0,0,1,0,-4,4,SanAntonioSpurs
MalakiBranham,4,0,2,3,0,1,0,0,0,10,50.0,0,0,0,0,0,0,1,-21,2,SanAntonioSpurs
BlakeWesley,3,2,1,2,0,2,1,2,3,13,25.0,50.0,1,1,1,0,0,0,-6,3,SanAntonioSpurs
CediOsman,3,1,0,0,1,5,0,0,0,12,20.0,0,0,1,1,0,0,3,-11,-1,SanAntonioSpurs
SandroMamukelashvili,0,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,-4,-1,SanAntonioSpurs
SanAntonioSpurs,99,50,27,53,11,42,12,17,27,240,40.0,0,13,37,17,10,8,18,-50,109,SanAntonioSpurs
