PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JaylenBrown,28,3,5,10,5,9,3,5,5,29,52.6,60.0,0,3,3,1,0,0,6,23,BostonCeltics
JaysonTatum,23,10,2,6,4,11,7,9,3,33,35.3,77.8,1,9,2,0,0,1,28,21,BostonCeltics
SamHauser,15,2,0,0,5,10,0,0,1,25,50.0,0.0,1,1,0,0,0,1,-1,13,BostonCeltics
JrueHoliday,13,12,5,9,1,5,0,0,9,33,42.9,0.0,3,9,0,2,0,2,26,28,BostonCeltics
PaytonPritchard,13,5,3,3,2,7,1,2,3,30,50.0,50.0,4,1,0,1,0,1,9,16,BostonCeltics
DerrickWhite,11,4,2,5,2,5,1,2,5,27,40.0,50.0,0,4,0,0,1,2,1,14,BostonCeltics
KristapsPorzingis,9,2,2,2,0,2,5,5,2,25,50.0,100.0,0,2,0,0,1,2,20,12,BostonCeltics
LukeKornet,7,9,3,5,0,0,1,1,1,18,60.0,100.0,6,3,0,0,1,1,-2,16,BostonCeltics
OshaeBrissett,2,3,0,1,0,2,2,4,0,8,0.0,50.0,1,2,0,1,0,2,-6,1,BostonCeltics
DalanoBanton,0,1,0,1,0,0,0,0,0,4,0.0,0.0,1,0,0,0,0,0,-6,0,BostonCeltics
SviatoslavMykhailiuk,0,1,0,0,0,1,0,0,0,9,0.0,0.0,0,1,2,0,0,1,-5,-2,BostonCeltics
BostonCeltics,121,53,22,42,19,52,20,28,29,240,43.6,0.0,18,35,7,5,3,13,70,142,BostonCeltics
LonnieWalker,20,7,5,8,3,4,1,1,4,20,66.7,100.0,0,7,0,0,1,0,0,28,BrooklynNets
TrendonWatford,14,7,6,10,0,1,2,2,3,27,54.5,100.0,3,4,0,0,1,4,1,20,BrooklynNets
DennisSmith,14,4,5,9,0,1,4,4,7,27,50.0,100.0,1,3,0,0,0,4,1,20,BrooklynNets
SpencerDinwiddie,12,4,0,1,3,6,3,4,4,20,42.9,75.0,0,4,2,0,0,2,-14,13,BrooklynNets
MikalBridges,12,5,3,5,1,6,3,3,1,28,36.4,100.0,0,5,2,0,0,2,-14,9,BrooklynNets
CameronJohnson,11,5,1,7,3,6,0,0,0,25,30.8,0.0,2,3,1,0,0,3,-22,6,BrooklynNets
DorianFinney-Smith,9,3,0,1,3,5,0,0,2,27,50.0,0.0,2,1,0,0,1,4,-24,12,BrooklynNets
HarryGiles,7,1,2,2,1,1,0,0,0,6,100.0,0.0,0,1,1,0,0,1,6,7,BrooklynNets
Day&#039;RonSharpe,5,3,1,3,0,1,3,4,1,13,25.0,75.0,0,3,2,0,0,2,5,3,BrooklynNets
RoyceO&#039;Neale,3,3,0,0,1,3,0,0,4,27,33.3,0.0,0,3,1,0,0,3,-13,7,BrooklynNets
ArmoniBrooks,0,4,0,2,0,3,0,0,0,19,0.0,0.0,1,3,1,0,0,0,4,-2,BrooklynNets
BrooklynNets,107,50,23,48,15,37,16,18,26,240,44.7,0.0,11,39,11,0,3,25,-70,123,BrooklynNets
