PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JaysonTatum,30,6,9,13,2,9,6,9,4,39,50.0,66.7,0,6,2,0,0,3,14,24,BostonCeltics
PaytonPritchard,21,3,1,3,6,7,1,2,5,28,70.0,50.0,1,2,0,1,0,4,8,26,BostonCeltics
DerrickWhite,19,4,4,8,3,7,2,2,8,30,46.7,100.0,1,3,1,4,1,0,13,27,BostonCeltics
JaylenBrown,18,3,8,10,0,5,2,3,4,30,53.3,66.7,0,3,2,0,1,0,20,16,BostonCeltics
SamHauser,11,7,1,2,3,6,0,0,4,32,50.0,0.0,2,5,1,4,0,1,19,21,BostonCeltics
OshaeBrissett,11,1,3,3,1,1,2,2,1,16,100.0,100.0,1,0,2,0,0,4,-3,11,BostonCeltics
LamarStevens,8,3,2,4,1,3,1,2,0,14,42.9,50.0,1,2,1,2,1,2,-7,8,BostonCeltics
JrueHoliday,6,4,0,4,2,3,0,0,4,28,28.6,0.0,1,3,0,2,1,2,12,12,BostonCeltics
NeemiasQueta,4,3,2,3,0,0,0,0,1,18,66.7,0.0,2,1,1,1,3,6,13,10,BostonCeltics
SviatoslavMykhailiuk,0,0,0,0,0,1,0,0,0,5,0.0,0.0,0,0,0,0,0,0,-4,-1,BostonCeltics
BostonCeltics,128,38,30,50,18,42,14,20,31,240,52.2,0.0,12,26,10,14,7,22,85,154,BostonCeltics
JalenSuggs,19,4,2,3,5,9,0,0,1,26,58.3,0.0,0,4,1,0,1,2,-9,19,OrlandoMagic
ColeAnthony,17,0,3,5,2,3,5,6,4,20,62.5,83.3,0,0,1,1,0,3,-12,17,OrlandoMagic
FranzWagner,17,5,5,10,1,4,4,4,5,34,42.9,100.0,0,5,6,2,0,4,-9,15,OrlandoMagic
GogaBitadze,15,11,7,8,0,0,1,2,1,27,87.5,50.0,5,6,4,0,0,2,-1,21,OrlandoMagic
PaoloBanchero,14,4,4,13,1,4,3,6,5,32,29.4,50.0,1,3,5,0,1,1,-13,4,OrlandoMagic
AnthonyBlack,13,9,2,3,3,5,0,0,4,28,62.5,0.0,3,6,0,0,0,2,0,23,OrlandoMagic
JonathanIsaac,7,4,2,3,1,2,0,0,0,16,60.0,0.0,1,3,0,0,0,1,-13,9,OrlandoMagic
CalebHoustan,5,2,1,1,1,4,0,0,1,11,40.0,0.0,1,1,0,0,0,0,-6,5,OrlandoMagic
GaryHarris,2,0,1,1,0,2,0,0,0,16,33.3,0.0,0,0,0,2,0,3,-10,2,OrlandoMagic
MoritzWagner,2,1,1,2,0,1,0,0,2,13,33.3,0.0,1,0,3,0,0,3,-9,0,OrlandoMagic
JoeIngles,0,2,0,1,0,0,0,0,2,6,0.0,0.0,1,1,0,0,0,0,-12,3,OrlandoMagic
AdmiralSchofield,0,2,0,1,0,0,0,0,0,3,0.0,0.0,0,2,1,0,0,1,3,0,OrlandoMagic
JettHoward,0,1,0,0,0,1,0,0,0,3,0.0,0.0,0,1,0,0,0,0,3,0,OrlandoMagic
ChumaOkeke,0,0,0,1,0,0,0,0,0,3,0.0,0.0,0,0,0,0,0,0,3,-1,OrlandoMagic
OrlandoMagic,111,48,28,52,14,35,13,18,25,240,48.3,0.0,15,33,24,5,2,22,-85,117,OrlandoMagic
