PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JaylenBrown,31,10,6,10,5,6,4,5,6,41,41.7,75.0,1,9,7,0,0,4,12,34,BostonCeltics
DerrickWhite,21,5,3,9,2,10,9,9,7,36,55.6,62.5,1,4,3,3,2,2,7,21,BostonCeltics
LukeKornet,20,8,9,11,0,0,2,2,3,33,50.0,50.0,5,3,1,0,3,3,-2,31,BostonCeltics
JrueHoliday,15,2,2,10,3,5,2,4,3,32,50.0,50.0,0,2,1,0,0,1,8,7,BostonCeltics
SamHauser,9,9,0,0,3,7,0,0,1,34,62.5,100.0,0,9,0,0,1,2,-8,16,BostonCeltics
PaytonPritchard,9,5,0,2,3,8,0,0,6,25,62.5,0,3,2,2,0,0,3,-3,11,BostonCeltics
NeemiasQueta,6,5,3,3,0,0,0,0,1,14,20.0,50.0,1,4,0,0,0,0,3,12,BostonCeltics
SviatoslavMykhailiuk,5,1,1,1,1,2,0,0,1,7,33.3,0,0,1,0,0,0,2,-6,6,BostonCeltics
OshaeBrissett,2,7,1,2,0,1,0,0,1,15,0,0,2,5,1,0,0,0,3,7,BostonCeltics
DalanoBanton,2,0,1,1,0,0,0,0,0,2,0.0,0,0,0,1,0,0,0,-4,1,BostonCeltics
BostonCeltics,120,52,26,49,17,39,17,20,29,240,0.0,0,13,39,16,3,6,17,10,146,BostonCeltics
ScottieBarnes,30,10,3,9,7,15,3,4,5,38,41.7,75.0,3,7,2,1,3,2,-3,32,TorontoRaptors
PascalSiakam,27,5,8,13,2,5,5,8,5,41,55.6,62.5,0,5,1,2,0,1,8,27,TorontoRaptors
DennisSchroder,15,2,4,7,2,5,1,2,9,35,50.0,50.0,2,0,0,0,1,2,2,20,TorontoRaptors
JalenMcDaniels,13,0,3,3,2,7,1,2,2,15,50.0,50.0,0,0,0,1,0,4,8,10,TorontoRaptors
JakobPoeltl,12,10,5,8,0,0,2,2,3,22,62.5,100.0,4,6,0,0,2,3,-9,24,TorontoRaptors
OguguaAnunoby,12,2,3,4,2,4,0,0,2,37,62.5,0,0,2,1,2,0,1,4,14,TorontoRaptors
GaryTrentJr.,6,4,1,6,1,4,1,2,1,29,20.0,50.0,0,4,0,2,0,0,-10,4,TorontoRaptors
ChrisBoucher,3,3,0,0,1,3,0,0,0,7,33.3,0,0,3,0,0,0,1,-8,4,TorontoRaptors
MalachiFlynn,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,2,2,TorontoRaptors
PreciousAchiuwa,0,2,0,1,0,0,0,0,0,2,0.0,0,0,2,0,0,0,0,1,1,TorontoRaptors
OttoPorter,0,0,0,0,0,1,0,0,2,8,0.0,0,0,0,0,0,0,0,-5,1,TorontoRaptors
TorontoRaptors,118,38,27,51,17,44,13,20,29,240,46.3,0,9,29,4,10,6,15,-10,139,TorontoRaptors
