PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
CameronJohnson,29,1,3,4,7,11,2,3,4,30,57.9,57.1,1,0,2,2,0,0,29,28,BrooklynNets
DennisSchroder,23,8,4,8,5,7,0,0,7,27,41.7,75.0,1,7,2,0,0,0,15,30,BrooklynNets
MikalBridges,15,7,3,5,3,9,0,0,5,34,45.5,0,2,5,0,1,1,1,30,21,BrooklynNets
Day&#039;RonSharpe,12,8,3,5,2,2,0,0,4,20,50.0,75.0,1,7,1,1,1,2,15,23,BrooklynNets
LonnieWalker,11,2,1,3,3,6,0,0,0,16,30.8,100.0,0,2,1,1,0,5,-7,8,BrooklynNets
DennisSmith,10,0,3,4,1,3,1,2,5,21,75.0,100.0,0,0,0,1,0,2,12,12,BrooklynNets
DorianFinney-Smith,7,3,2,2,1,6,0,0,1,27,22.2,100.0,0,3,1,0,0,0,25,5,BrooklynNets
JalenWilson,6,5,2,5,0,2,2,2,2,25,100.0,0.0,1,4,1,0,0,2,10,7,BrooklynNets
NicClaxton,5,8,1,6,0,0,3,4,2,28,33.3,0,2,6,0,0,1,1,12,10,BrooklynNets
KeitaBates-Diop,4,0,1,1,0,0,2,2,0,6,0.0,0,0,0,1,0,0,1,-2,3,BrooklynNets
TrendonWatford,2,1,1,1,0,0,0,0,0,7,0.0,0,0,1,0,0,1,2,-4,4,BrooklynNets
BrooklynNets,124,44,24,44,22,46,10,13,30,240,43.0,0,8,36,9,6,4,16,135,151,BrooklynNets
DejounteMurray,28,6,9,14,2,5,4,7,5,32,57.9,57.1,0,6,2,0,0,1,-22,26,AtlantaHawks
JalenT.Johnson,14,5,4,8,1,4,3,4,0,33,41.7,75.0,1,4,2,0,2,1,-38,11,AtlantaHawks
KobeBufkin,12,3,3,6,2,5,0,0,3,19,45.5,0,0,3,2,0,0,1,0,10,AtlantaHawks
De&#039;AndreHunter,12,0,3,5,1,3,3,4,0,26,50.0,75.0,0,0,0,1,0,1,-8,8,AtlantaHawks
BogdanBogdanovic,11,3,3,8,1,5,2,2,3,32,30.8,100.0,0,3,0,0,0,2,-31,8,AtlantaHawks
ClintCapela,7,6,3,4,0,0,1,1,1,21,75.0,100.0,2,4,4,0,4,4,-14,13,AtlantaHawks
SaddiqBey,6,5,2,7,0,2,2,2,3,30,22.2,100.0,3,2,0,0,0,1,-2,7,AtlantaHawks
WesleyMatthews,5,5,1,1,1,1,0,1,0,14,100.0,0.0,0,5,0,0,2,1,-3,11,AtlantaHawks
BrunoFernando,2,3,1,3,0,0,0,0,1,18,33.3,0,1,2,1,2,0,2,-18,5,AtlantaHawks
GarrisonMathews,0,3,0,1,0,3,0,0,1,11,0.0,0,1,2,0,0,0,0,3,0,AtlantaHawks
TrentForrest,0,0,0,1,0,0,0,0,1,5,0.0,0,0,0,0,0,0,0,-2,0,AtlantaHawks
AtlantaHawks,97,44,29,58,8,28,15,21,18,240,43.0,0,9,35,13,3,8,14,-135,99,AtlantaHawks
