PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
MikalBridges,26,3,5,10,5,13,1,2,5,35,55.6,100.0,1,2,3,0,0,1,-28,17,BrooklynNets
CamThomas,17,4,4,14,2,4,3,3,1,30,62.5,100.0,1,3,1,0,0,1,-24,9,BrooklynNets
TrendonWatford,15,6,5,11,0,2,5,5,2,26,50.0,100.0,1,5,1,0,2,3,1,16,BrooklynNets
NoahClowney,8,4,3,4,0,2,2,2,1,23,60.0,100.0,3,1,1,0,0,1,-5,9,BrooklynNets
JalenWilson,8,3,1,5,2,3,0,2,3,40,55.6,0,0,3,1,1,0,2,-16,7,BrooklynNets
DennisSmith,6,4,3,8,0,0,0,0,7,26,75.0,0,2,2,0,5,0,2,6,17,BrooklynNets
BenSimmons,6,1,3,4,0,0,0,0,2,20,42.9,0,0,1,2,1,0,1,-26,7,BrooklynNets
NicClaxton,6,7,3,10,0,0,0,0,1,25,50.0,0,2,5,2,0,1,4,-18,6,BrooklynNets
KeonJohnson,3,2,0,2,1,1,0,0,0,14,60.0,0,2,0,1,2,0,2,-5,4,BrooklynNets
BrooklynNets,95,35,27,68,10,25,11,14,22,240,33.3,0,13,22,13,9,3,17,-115,92,BrooklynNets
DonovanMitchell,27,5,6,8,4,10,3,3,4,30,55.6,100.0,0,5,4,3,3,1,17,30,ClevelandCavaliers
EvanMobley,14,12,5,8,0,0,4,4,2,26,62.5,100.0,0,12,2,0,2,3,25,25,ClevelandCavaliers
JarrettAllen,14,10,3,5,0,1,8,8,2,30,50.0,100.0,2,8,2,0,2,2,17,23,ClevelandCavaliers
DariusGarland,14,0,6,7,0,3,2,2,7,29,60.0,100.0,0,0,2,1,0,2,23,16,ClevelandCavaliers
GeorgesNiang,13,3,2,3,3,6,0,0,1,23,55.6,0,1,2,0,1,0,1,1,14,ClevelandCavaliers
DeanWade,9,1,0,0,3,4,0,0,0,16,75.0,0,0,1,0,0,2,2,-4,11,ClevelandCavaliers
SamMerrill,9,0,0,0,3,7,0,0,0,12,42.9,0,0,0,0,1,0,1,-6,6,ClevelandCavaliers
IsaacOkoro,8,6,1,3,2,3,0,0,1,24,50.0,0,2,4,2,0,3,3,6,13,ClevelandCavaliers
MaxStrus,6,5,3,4,0,1,0,0,2,21,60.0,0,1,4,1,1,0,2,20,11,ClevelandCavaliers
CarisLeVert,4,3,2,4,0,2,0,0,5,23,33.3,0,0,3,2,1,0,1,8,7,ClevelandCavaliers
DamianJones,0,1,0,0,0,0,0,0,2,3,0,0,0,1,0,0,1,0,4,4,ClevelandCavaliers
CraigPorter,0,2,0,1,0,0,0,0,0,3,0.0,0,1,1,0,0,0,0,4,1,ClevelandCavaliers
ClevelandCavaliers,118,50,28,43,15,37,17,17,26,240,53.8,0,8,42,15,8,13,18,115,161,ClevelandCavaliers
