PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
CamThomas,23,0,7,15,1,6,6,6,2,34,57.9,75.0,0,0,2,0,0,5,-5,10,BrooklynNets
CameronJohnson,17,1,3,3,3,6,2,3,2,25,70.6,100.0,0,1,1,1,0,2,-13,16,BrooklynNets
DorianFinney-Smith,14,4,1,4,4,5,0,0,1,30,83.3,88.9,2,2,1,0,0,2,11,14,BrooklynNets
MikalBridges,14,3,7,13,0,3,0,1,6,29,60.0,0,2,1,3,0,0,2,-13,10,BrooklynNets
Day&#039;RonSharpe,13,10,5,8,0,0,3,6,4,19,80.0,0.0,5,5,0,2,2,2,2,25,BrooklynNets
RoyceO&#039;Neale,13,6,2,2,2,5,3,4,3,22,30.8,0,2,4,1,0,2,1,5,19,BrooklynNets
NicClaxton,10,16,4,8,0,0,2,4,6,28,16.7,0,1,15,1,0,3,1,-10,28,BrooklynNets
DennisSmith,7,4,1,3,1,4,2,2,5,19,50.0,0,1,3,0,1,0,5,9,12,BrooklynNets
SpencerDinwiddie,6,1,0,0,2,4,0,0,3,33,100.0,0,1,0,1,0,0,3,-11,7,BrooklynNets
BrooklynNets,117,49,30,56,13,33,18,26,32,240,0.0,100.0,15,34,10,4,7,23,-25,141,BrooklynNets
JamalMurray,32,5,7,13,4,6,6,8,9,34,57.9,75.0,1,4,1,0,2,0,18,37,DenverNuggets
NikolaJokic,31,11,10,15,2,2,5,5,7,34,70.6,100.0,2,9,0,3,2,4,29,49,DenverNuggets
AaronGordon,18,5,5,6,0,0,8,9,2,32,83.3,88.9,2,3,1,1,0,1,19,23,DenverNuggets
MichaelPorter,15,4,3,5,3,5,0,0,3,34,60.0,0,0,4,1,0,1,1,13,18,DenverNuggets
PeytonWatson,9,3,3,3,1,2,0,1,0,20,80.0,0.0,0,3,0,0,0,2,-14,10,DenverNuggets
ReggieJackson,8,2,4,8,0,5,0,0,3,16,30.8,0,0,2,1,0,0,4,-15,3,DenverNuggets
KentaviousCaldwell-Pope,3,5,0,4,1,2,0,0,4,30,16.7,0,1,4,1,2,0,3,15,8,DenverNuggets
ZekeNnaji,2,3,1,2,0,0,0,0,0,7,50.0,0,1,2,0,0,0,2,-9,4,DenverNuggets
DeAndreJordan,2,0,1,1,0,0,0,0,0,6,100.0,0,0,0,0,0,0,0,-9,2,DenverNuggets
ChristianBraun,2,0,0,2,0,1,2,2,1,16,0.0,100.0,0,0,0,0,0,1,-12,0,DenverNuggets
JulianStrawther,0,3,0,2,0,3,0,0,0,11,0.0,0,1,2,1,0,0,1,-10,-3,DenverNuggets
DenverNuggets,122,46,34,61,11,26,21,25,29,240,51.7,0,12,34,6,6,5,19,25,151,DenverNuggets
