PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
MikalBridges,29,6,8,13,1,4,10,10,7,33,54.5,80.0,2,4,1,1,1,2,6,35,BrooklynNets
CamThomas,20,2,6,13,1,3,5,5,3,28,45.0,75.0,0,2,2,1,0,3,4,15,BrooklynNets
CameronJohnson,18,2,4,5,2,5,4,4,2,28,88.9,0,0,2,1,2,0,3,6,19,BrooklynNets
SpencerDinwiddie,14,4,3,7,2,5,2,4,7,30,38.5,77.8,1,3,1,1,0,1,11,16,BrooklynNets
NicClaxton,11,7,4,8,0,0,3,4,2,30,83.3,100.0,2,5,2,2,2,2,5,17,BrooklynNets
Day&#039;RonSharpe,11,3,5,6,0,0,1,3,1,18,28.6,66.7,1,2,1,0,0,4,4,11,BrooklynNets
DorianFinney-Smith,10,6,2,2,2,4,0,0,1,27,50.0,50.0,0,6,0,2,0,1,22,17,BrooklynNets
DennisSmith,6,0,1,4,1,2,1,2,3,19,25.0,0,0,0,1,0,0,3,0,3,BrooklynNets
RoyceO&#039;Neale,5,6,1,2,1,1,0,0,5,19,0,0,0,6,1,1,0,1,13,15,BrooklynNets
JalenWilson,2,2,1,2,0,0,0,0,1,6,0.0,0,1,1,0,0,0,2,-4,4,BrooklynNets
TrendonWatford,0,0,0,0,0,0,0,0,0,1,49.4,0,0,0,0,0,0,0,-6,0,BrooklynNets
HarryGiles,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-6,0,BrooklynNets
BrooklynNets,126,40,35,62,10,24,26,32,32,240,52.3,0,8,32,10,10,3,22,55,152,BrooklynNets
JadenIvey,23,6,3,5,3,6,8,10,7,35,54.5,80.0,0,6,3,0,2,4,6,28,DetroitPistons
CadeCunningham,22,3,8,15,1,5,3,4,6,33,45.0,75.0,0,3,2,0,0,4,-5,17,DetroitPistons
IsaiahStewart,20,5,4,4,4,5,0,0,5,33,88.9,0,1,4,0,1,1,5,-2,31,DetroitPistons
BojanBogdanovic,19,8,3,6,2,7,7,9,4,39,38.5,77.8,2,6,4,2,0,4,0,19,DetroitPistons
KevinKnox,14,1,2,3,3,3,1,1,0,24,83.3,100.0,0,1,0,0,0,2,-11,14,DetroitPistons
AusarThompson,7,5,1,4,1,3,2,3,2,31,28.6,66.7,1,4,0,1,0,2,-4,9,DetroitPistons
MarvinBagley,5,5,2,4,0,0,1,2,0,15,50.0,50.0,2,3,1,0,0,0,-9,6,DetroitPistons
AlecBurks,5,1,1,3,1,5,0,0,2,16,25.0,0,0,1,1,1,0,2,-20,2,DetroitPistons
JoeHarris,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,-5,1,DetroitPistons
MarcusSasser,0,1,0,0,0,1,0,0,0,6,0.0,0,0,1,2,0,0,2,-5,-2,DetroitPistons
DetroitPistons,115,41,24,44,15,35,22,29,26,240,49.4,0,10,31,13,5,3,26,-55,125,DetroitPistons
