PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
CameronJohnson,20,4,4,8,4,6,0,1,2,28,45.0,88.9,0,4,0,0,0,3,-5,19,BrooklynNets
CamThomas,20,2,4,11,4,7,0,1,5,32,60.0,0,1,1,1,0,0,2,-25,15,BrooklynNets
MikalBridges,15,5,3,13,1,8,6,6,2,33,58.3,25.0,2,3,2,2,0,0,-17,5,BrooklynNets
DorianFinney-Smith,10,3,1,2,2,6,2,2,0,24,40.0,75.0,0,3,1,0,0,2,-9,7,BrooklynNets
SpencerDinwiddie,10,2,1,3,2,8,2,2,2,31,45.5,100.0,0,2,2,1,0,0,-27,5,BrooklynNets
Day&#039;RonSharpe,9,15,3,7,0,0,3,4,3,19,40.0,100.0,9,6,1,1,0,4,6,22,BrooklynNets
NicClaxton,6,8,3,5,0,0,0,0,2,26,28.6,0,4,4,0,0,4,5,-21,18,BrooklynNets
RoyceO&#039;Neale,6,6,0,1,2,10,0,0,6,28,66.7,0,1,5,2,1,3,2,-10,11,BrooklynNets
TrendonWatford,4,3,2,2,0,1,0,1,1,11,33.3,0,0,3,1,0,1,1,8,6,BrooklynNets
JalenWilson,2,1,1,1,0,1,0,0,2,6,50.0,0,0,1,0,1,0,0,-1,5,BrooklynNets
HarryGiles,0,0,0,1,0,0,0,0,0,4,0.0,0,0,0,1,0,1,1,6,-1,BrooklynNets
BrooklynNets,102,53,22,54,15,47,13,17,25,240,0.0,0,19,34,11,6,9,20,-95,112,BrooklynNets
JuliusRandle,26,7,9,16,0,4,8,9,4,34,45.0,88.9,2,5,1,0,0,3,27,24,NewYorkKnicks
DonteDiVincenzo,23,8,4,5,5,10,0,0,1,23,60.0,0,2,6,2,3,0,2,13,27,NewYorkKnicks
ImmanuelQuickley,19,0,3,6,4,6,1,4,2,24,58.3,25.0,0,0,1,1,1,0,6,14,NewYorkKnicks
JalenBrunson,16,7,5,12,1,3,3,4,8,32,40.0,75.0,1,6,3,1,0,0,18,19,NewYorkKnicks
R.J.Barrett,14,5,5,10,0,1,4,4,2,27,45.5,100.0,0,5,2,1,1,2,13,15,NewYorkKnicks
JoshHart,10,13,0,2,2,3,4,4,3,31,40.0,100.0,2,11,2,1,0,2,6,22,NewYorkKnicks
QuentinGrimes,5,1,1,3,1,4,0,0,0,18,28.6,0,0,1,0,1,1,1,-2,3,NewYorkKnicks
DaquanJeffries,4,0,2,3,0,0,0,0,0,3,66.7,0,0,0,0,0,0,1,-6,3,NewYorkKnicks
IsaiahHartenstein,2,10,1,3,0,0,0,0,3,30,33.3,0,5,5,0,0,2,1,21,15,NewYorkKnicks
TajGibson,2,2,1,2,0,0,0,0,0,13,50.0,0,0,2,0,0,2,3,5,5,NewYorkKnicks
RyanArcidiacono,0,1,0,0,0,1,0,0,1,2,0.0,0,0,1,0,0,0,0,-2,1,NewYorkKnicks
MilesMcBride,0,0,0,0,0,1,0,0,0,2,0.0,0,0,0,0,0,0,0,-4,-1,NewYorkKnicks
NewYorkKnicks,121,56,31,62,13,33,20,25,24,240,46.3,0,13,43,12,8,7,15,95,147,NewYorkKnicks
