PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
CamThomas,25,2,4,9,5,10,2,2,4,36,43.8,100.0,1,1,2,2,0,2,22,21,BrooklynNets
NicClaxton,20,11,10,14,0,1,0,0,0,27,50.0,100.0,3,8,0,1,2,3,12,29,BrooklynNets
DennisSchroder,15,3,3,8,3,5,0,0,12,27,35.0,100.0,0,3,2,0,0,4,10,21,BrooklynNets
DennisSmith,14,6,4,6,2,3,0,0,2,24,44.4,0,1,5,0,0,1,1,18,20,BrooklynNets
MikalBridges,14,6,1,5,3,6,3,3,3,33,40.0,100.0,0,6,1,1,1,0,17,17,BrooklynNets
BenSimmons,13,3,6,7,0,0,1,2,5,22,20.0,83.3,0,3,4,3,2,2,10,20,BrooklynNets
JalenWilson,8,6,1,1,2,3,0,0,2,30,66.7,100.0,2,4,0,0,0,4,14,15,BrooklynNets
TrendonWatford,6,1,2,2,0,0,2,2,0,8,66.7,100.0,1,0,0,0,0,1,0,7,BrooklynNets
DorianFinney-Smith,3,3,0,0,1,4,0,2,3,20,25.0,0,1,2,0,1,1,6,4,6,BrooklynNets
NoahClowney,3,0,0,0,1,1,0,0,0,4,20.0,0,0,0,1,0,0,0,-4,2,BrooklynNets
KeitaBates-Diop,2,0,1,1,0,0,0,0,0,4,100.0,0,0,0,0,0,0,0,-4,2,BrooklynNets
LonnieWalker,0,0,0,0,0,1,0,0,0,6,0.0,100.0,0,0,1,0,0,0,1,-2,BrooklynNets
BrooklynNets,123,41,32,53,17,34,8,11,31,240,39.6,0,9,32,11,8,7,23,100,158,BrooklynNets
VictorWembanyama,21,4,4,10,3,6,4,4,3,29,43.8,100.0,0,4,4,0,1,2,-20,16,SanAntonioSpurs
KeldonJohnson,19,4,4,8,3,6,2,2,1,30,50.0,100.0,1,3,2,0,1,2,-17,16,SanAntonioSpurs
DevinVassell,17,6,5,14,2,6,1,1,4,34,35.0,100.0,1,5,2,0,1,0,-18,13,SanAntonioSpurs
JeremySochan,8,5,4,7,0,2,0,0,3,29,44.4,0,1,4,0,1,0,0,-4,12,SanAntonioSpurs
CediOsman,8,5,0,2,2,3,2,2,0,12,40.0,100.0,1,4,1,0,0,0,-6,9,SanAntonioSpurs
DominickBarlow,7,9,1,5,0,0,5,6,0,12,20.0,83.3,7,2,0,0,0,0,-1,11,SanAntonioSpurs
BlakeWesley,6,0,2,2,0,1,2,2,3,16,66.7,100.0,0,0,0,2,0,2,-6,10,SanAntonioSpurs
TreJones,6,2,2,2,0,1,2,2,2,28,66.7,100.0,1,1,2,2,0,0,-22,9,SanAntonioSpurs
MalakiBranham,5,2,1,3,1,5,0,0,2,19,25.0,0,2,0,1,0,0,0,0,2,SanAntonioSpurs
JulianChampagnie,2,3,1,2,0,3,0,0,1,20,20.0,0,1,2,0,0,0,2,-9,2,SanAntonioSpurs
SandroMamukelashvili,2,0,1,1,0,0,0,0,0,4,100.0,0,0,0,0,0,0,0,4,2,SanAntonioSpurs
ZachCollins,2,1,0,1,0,1,2,2,1,7,0.0,100.0,0,1,2,0,0,3,-1,0,SanAntonioSpurs
SanAntonioSpurs,103,41,25,57,11,34,20,21,20,240,39.6,0,15,26,14,5,3,11,-100,102,SanAntonioSpurs
