PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
LaMeloBall,36,9,10,16,5,11,1,1,8,41,53.6,80.0,2,7,5,2,1,5,3,39,CharlotteHornets
GordonHayward,20,5,5,13,1,2,7,8,4,39,57.1,0,3,2,2,1,1,3,20,19,CharlotteHornets
MarkWilliams,18,16,8,14,0,0,2,2,2,33,35.7,60.0,8,8,1,1,3,4,33,33,CharlotteHornets
P.J.Washington,15,1,3,4,3,9,0,0,1,28,29.4,75.0,0,1,0,2,1,1,-21,13,CharlotteHornets
MilesBridges,14,15,1,6,2,7,6,6,5,45,45.5,0.0,0,15,1,1,0,1,-6,24,CharlotteHornets
BrandonMiller,9,7,3,8,1,4,0,0,4,40,100.0,0,4,3,2,2,1,2,22,13,CharlotteHornets
IshmaelSmith,6,2,3,4,0,0,0,0,3,20,50.0,0,0,2,1,0,0,0,-12,9,CharlotteHornets
BryceMcGowens,3,2,0,0,1,6,0,0,2,14,11.1,0,0,2,1,0,0,1,-17,1,CharlotteHornets
J.T.Thor,0,0,0,0,0,0,0,0,0,5,0,50.0,0,0,0,0,0,1,-7,0,CharlotteHornets
CharlotteHornets,121,57,33,65,13,39,16,17,29,265,43.3,0,17,40,13,9,7,18,15,151,CharlotteHornets
JaysonTatum,45,13,8,13,7,15,8,10,6,44,53.6,80.0,0,13,3,0,2,1,-5,48,BostonCeltics
PaytonPritchard,21,6,3,6,5,8,0,0,3,33,57.1,0,2,4,0,2,0,1,16,26,BostonCeltics
KristapsPorzingis,17,8,4,6,1,8,6,10,0,34,35.7,60.0,3,5,0,2,3,2,-26,17,BostonCeltics
JaylenBrown,13,4,5,12,0,5,3,4,3,34,29.4,75.0,1,3,2,0,0,5,-23,5,BostonCeltics
JrueHoliday,11,6,4,8,1,3,0,2,5,37,45.5,0.0,3,3,7,1,2,1,-4,10,BostonCeltics
LukeKornet,4,3,2,2,0,0,0,0,0,19,100.0,0,0,3,0,0,1,0,25,8,BostonCeltics
SviatoslavMykhailiuk,3,0,0,0,1,2,0,0,0,9,50.0,0,0,0,0,1,0,0,7,3,BostonCeltics
SamHauser,3,1,0,0,1,9,0,0,1,37,11.1,0,0,1,1,0,0,3,-22,-4,BostonCeltics
OshaeBrissett,1,7,0,0,0,0,1,2,1,17,0,50.0,2,5,0,0,0,2,17,8,BostonCeltics
BostonCeltics,118,48,26,47,16,50,18,28,19,265,43.3,0,11,37,13,6,8,15,-15,121,BostonCeltics
