PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
P.J.Washington,32,6,6,12,6,11,2,2,1,36,71.4,78.6,2,4,1,0,0,1,-2,27,CharlotteHornets
LaMeloBall,28,6,5,16,4,10,6,6,11,39,50.0,83.3,2,4,8,3,0,5,2,23,CharlotteHornets
BryceMcGowens,12,4,1,2,3,5,1,2,1,29,46.2,100.0,0,4,1,1,0,4,-3,13,CharlotteHornets
MarkWilliams,11,7,5,5,0,0,1,4,0,23,61.5,0,4,3,0,1,0,2,-11,16,CharlotteHornets
NickRichards,10,12,2,2,0,0,6,6,1,25,62.5,0,1,11,3,1,0,5,5,21,CharlotteHornets
J.T.Thor,5,4,1,4,1,2,0,0,1,28,20.0,100.0,3,1,0,0,0,1,-7,6,CharlotteHornets
NickSmith,3,1,0,1,1,1,0,0,0,15,0.0,75.0,0,1,0,0,0,1,-2,3,CharlotteHornets
IshmaelSmith,2,2,1,3,0,0,0,0,3,19,33.3,0,1,1,3,0,0,1,-11,2,CharlotteHornets
TheoMaledon,2,3,0,3,0,2,2,2,3,23,0.0,0,0,3,2,0,0,1,3,1,CharlotteHornets
LeakyBlack,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,-4,-2,CharlotteHornets
CharlotteHornets,105,45,21,49,15,32,18,22,21,240,48.2,0,13,32,18,6,0,21,-30,110,CharlotteHornets
JimmyButler,32,4,9,13,1,1,11,14,5,34,71.4,78.6,3,1,3,2,0,1,2,33,MiamiHeat
BamAdebayo,21,11,8,16,0,0,5,6,4,36,50.0,83.3,0,11,1,3,1,3,1,30,MiamiHeat
DuncanRobinson,18,8,2,3,4,10,2,2,5,36,46.2,100.0,0,8,1,1,1,2,1,25,MiamiHeat
JaimeJaquez,17,5,7,10,1,3,0,0,1,33,61.5,0,4,1,1,0,0,3,6,17,MiamiHeat
HaywoodHighsmith,12,4,3,3,2,5,0,0,2,33,62.5,0,1,3,0,5,2,1,6,22,MiamiHeat
JoshRichardson,6,5,2,4,0,6,2,2,6,33,20.0,100.0,1,4,1,1,1,2,11,10,MiamiHeat
KevinLove,3,3,0,0,0,5,3,4,1,14,0.0,75.0,0,3,0,0,0,1,2,1,MiamiHeat
ThomasBryant,2,1,1,3,0,0,0,0,0,3,33.3,0,1,0,0,0,0,0,5,1,MiamiHeat
KyleLowry,0,1,0,0,0,1,0,0,2,15,0.0,0,0,1,0,0,0,4,-5,2,MiamiHeat
DruSmith,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,MiamiHeat
MiamiHeat,111,42,32,52,8,31,23,28,26,240,48.2,0,10,32,7,12,5,19,30,141,MiamiHeat
