PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
MilesBridges,25,11,4,12,5,10,2,2,3,40,47.8,91.7,0,11,2,0,1,2,8,25,CharlotteHornets
BrandonMiller,23,7,6,7,2,10,5,5,3,35,46.7,85.7,2,5,1,0,1,1,-6,24,CharlotteHornets
TerryRozier,19,9,9,13,0,5,1,5,6,36,31.8,50.0,0,9,3,1,0,2,-10,19,CharlotteHornets
P.J.Washington,9,3,2,4,1,4,2,2,0,26,66.7,0,0,3,2,0,0,6,-24,5,CharlotteHornets
J.T.Thor,7,6,2,2,1,3,0,0,0,22,75.0,66.7,3,3,0,0,1,1,5,12,CharlotteHornets
CodyMartin,4,6,2,4,0,3,0,0,3,29,28.6,0,0,6,2,1,4,2,-11,11,CharlotteHornets
IshmaelSmith,2,2,1,4,0,0,0,0,5,19,50.0,0,0,2,2,0,0,0,4,4,CharlotteHornets
NathanMensah,0,3,0,0,0,0,0,0,2,18,50.0,0,2,1,3,0,0,6,9,2,CharlotteHornets
BryceMcGowens,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,CharlotteHornets
NickSmith,0,0,0,2,0,2,0,0,1,15,0,0,0,0,1,0,0,0,-20,-4,CharlotteHornets
CharlotteHornets,89,53,26,48,9,37,10,14,23,240,0.0,0,12,41,16,2,7,20,-40,98,CharlotteHornets
JoelEmbiid,33,10,11,22,0,1,11,12,5,37,47.8,91.7,1,9,3,0,3,2,-2,35,Philadelphia76ers
TobiasHarris,21,5,6,12,1,3,6,7,6,36,46.7,85.7,1,4,2,0,0,0,18,21,Philadelphia76ers
TyreseMaxey,16,3,6,13,1,9,1,2,8,42,31.8,50.0,0,3,0,2,0,2,18,13,Philadelphia76ers
NicolasBatum,9,5,3,3,1,3,0,0,1,29,66.7,0,3,2,0,2,2,1,11,17,Philadelphia76ers
DanuelHouse,9,3,2,3,1,1,2,3,0,27,75.0,66.7,0,3,2,1,1,3,7,10,Philadelphia76ers
KellyOubre,5,8,1,2,1,5,0,0,0,27,28.6,0,0,8,2,2,0,3,-5,8,Philadelphia76ers
PaulReed,2,8,1,2,0,0,0,0,0,11,50.0,0,1,7,0,0,0,0,10,9,Philadelphia76ers
FurkanKorkmaz,2,4,1,2,0,0,0,0,1,16,50.0,0,0,4,1,0,0,1,-4,5,Philadelphia76ers
TerquavionSmith,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-4,0,Philadelphia76ers
RickyCouncilIV,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-4,0,Philadelphia76ers
MarcusMorris,0,0,0,1,0,3,0,0,0,14,0.0,0,0,0,0,0,0,0,-5,-4,Philadelphia76ers
Philadelphia76ers,97,51,31,60,5,25,20,24,21,240,42.4,0,6,45,11,7,6,12,40,114,Philadelphia76ers
