PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DeMarDerozan,25,2,6,14,2,3,7,7,6,40,38.1,100.0,0,2,1,1,0,3,8,24,ChicagoBulls
AndreDrummond,24,25,11,13,0,0,2,2,1,39,35.3,85.7,10,15,2,3,2,4,4,51,ChicagoBulls
AyoDosunmu,19,7,4,10,2,4,5,6,4,35,40.0,75.0,4,3,0,3,0,1,11,24,ChicagoBulls
CobyWhite,19,5,7,15,0,7,5,8,5,37,50.0,100.0,0,5,1,0,0,2,7,10,ChicagoBulls
AlexCaruso,11,5,1,5,1,5,6,6,5,29,55.6,75.0,2,3,1,2,0,2,3,14,ChicagoBulls
JevonCarter,10,2,2,2,2,4,0,0,2,20,66.7,100.0,0,2,1,0,0,0,4,11,ChicagoBulls
PatrickWilliams,6,1,2,6,0,1,2,2,0,25,62.5,0,1,0,1,1,0,2,-4,2,ChicagoBulls
TerryTaylor,4,1,2,2,0,0,0,0,0,8,100.0,0,1,0,0,0,0,2,4,5,ChicagoBulls
DalenTerry,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,1,-12,-2,ChicagoBulls
ChicagoBulls,118,48,35,67,7,25,27,31,23,240,0,0,18,30,8,10,2,17,25,139,ChicagoBulls
BogdanBogdanovic,22,3,5,9,3,12,3,3,1,31,38.1,100.0,1,2,0,0,0,2,3,13,AtlantaHawks
TraeYoung,21,2,3,4,3,13,6,7,13,40,35.3,85.7,0,2,6,1,0,3,-3,19,AtlantaHawks
DejounteMurray,17,6,4,6,2,9,3,4,4,34,40.0,75.0,0,6,3,2,1,4,0,17,AtlantaHawks
SaddiqBey,13,8,3,4,2,6,1,1,0,34,50.0,100.0,4,4,0,1,0,1,-7,17,AtlantaHawks
ClintCapela,13,5,5,9,0,0,3,4,1,27,55.6,75.0,3,2,1,0,1,3,-7,14,AtlantaHawks
OnyekaOkongwu,11,6,3,4,1,2,2,2,0,21,66.7,100.0,1,5,1,1,0,3,2,15,AtlantaHawks
JalenT.Johnson,10,9,5,7,0,1,0,0,4,29,62.5,0,3,6,2,1,0,1,-9,19,AtlantaHawks
GarrisonMathews,6,1,0,0,2,2,0,0,0,13,100.0,0,0,1,0,0,0,3,-3,7,AtlantaHawks
WesleyMatthews,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,1,1,-1,1,AtlantaHawks
TrentForrest,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,AtlantaHawks
SethLundy,0,0,0,0,0,1,0,0,0,1,0.0,0,0,0,1,0,0,0,-4,-2,AtlantaHawks
AtlantaHawks,113,40,28,43,13,46,18,21,24,240,46.1,0,12,28,15,6,3,21,-25,120,AtlantaHawks
