PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ZachLaVine,24,7,9,15,1,6,3,4,5,38,57.1,0,1,6,2,1,1,2,8,24,ChicagoBulls
DeMarDerozan,24,1,7,16,2,4,4,4,4,33,47.1,50.0,1,0,0,0,0,0,-16,18,ChicagoBulls
CobyWhite,18,3,5,9,2,8,2,2,2,35,33.3,100.0,1,2,2,0,1,0,3,12,ChicagoBulls
NikolaVucevic,13,13,5,12,1,1,0,0,3,36,50.0,0,6,7,0,0,0,1,8,22,ChicagoBulls
PatrickWilliams,10,5,2,3,2,3,0,0,1,21,57.1,0,0,5,2,0,1,1,10,13,ChicagoBulls
AndreDrummond,7,4,3,3,0,0,1,4,0,12,30.0,0,0,4,1,1,0,1,-9,8,ChicagoBulls
JevonCarter,5,1,1,1,1,2,0,0,0,14,50.0,0,0,1,2,1,0,2,-11,4,ChicagoBulls
TorreyCraig,3,6,0,2,1,2,0,0,4,23,33.3,0,0,6,1,1,0,4,6,10,ChicagoBulls
AlexCaruso,3,2,0,0,1,2,0,0,2,26,100.0,0.0,0,2,0,0,1,2,-9,7,ChicagoBulls
ChicagoBulls,107,44,32,61,11,28,10,14,21,240,45.8,0,10,34,10,4,4,13,-10,118,ChicagoBulls
DorianFinney-Smith,21,3,3,5,5,9,0,0,0,33,57.1,0,2,1,0,0,1,1,-8,19,BrooklynNets
MikalBridges,20,2,5,9,3,8,1,2,3,33,47.1,50.0,0,2,0,0,0,0,-5,15,BrooklynNets
CamThomas,17,5,3,9,3,9,2,2,4,31,33.3,100.0,1,4,0,0,1,1,-5,15,BrooklynNets
LonnieWalker,11,1,4,6,1,4,0,0,1,16,50.0,0,0,1,0,0,1,2,9,9,BrooklynNets
SpencerDinwiddie,10,3,2,3,2,4,0,0,9,31,57.1,0,0,3,3,2,0,0,15,18,BrooklynNets
RoyceO&#039;Neale,9,5,0,1,3,9,0,0,8,32,30.0,0,0,5,0,0,1,4,-3,16,BrooklynNets
BenSimmons,8,9,4,8,0,0,0,0,6,33,50.0,0,3,6,4,1,0,3,-9,16,BrooklynNets
DennisSmith,7,1,2,7,1,2,0,0,1,16,33.3,0,1,0,1,1,0,0,8,3,BrooklynNets
Day&#039;RonSharpe,6,10,3,3,0,0,0,1,0,15,100.0,0.0,1,9,0,0,0,1,8,15,BrooklynNets
BrooklynNets,109,44,26,51,18,45,3,5,32,240,45.8,0,9,35,8,4,4,12,10,126,BrooklynNets
