PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DeMarDerozan,21,5,5,11,1,3,8,9,8,40,40.9,100.0,0,5,2,3,0,4,-8,26,ChicagoBulls
NikolaVucevic,20,12,5,6,2,5,4,4,4,34,66.7,70.0,1,11,1,1,1,1,-12,33,ChicagoBulls
CobyWhite,17,4,8,11,0,8,1,1,7,40,57.1,40.0,0,4,4,0,1,2,-5,14,ChicagoBulls
PatrickWilliams,13,2,3,6,2,5,1,1,2,35,33.3,85.7,0,2,2,0,1,3,0,10,ChicagoBulls
AlexCaruso,10,4,2,4,2,5,0,0,1,32,33.3,0,1,3,0,0,1,3,-10,11,ChicagoBulls
DalenTerry,6,1,2,2,0,1,2,2,0,17,25.0,0,0,1,0,1,0,1,-12,7,ChicagoBulls
AyoDosunmu,4,3,2,3,0,3,0,0,1,20,75.0,0,1,2,1,0,0,3,-8,3,ChicagoBulls
JevonCarter,3,0,0,2,1,5,0,0,0,9,50.0,100.0,0,0,1,0,1,1,-5,-3,ChicagoBulls
AndreDrummond,1,6,0,0,0,0,1,2,0,13,50.0,0,2,4,1,1,0,4,-10,6,ChicagoBulls
ChicagoBulls,95,39,27,45,8,35,17,19,23,240,44.3,0,6,33,12,6,5,22,-70,107,ChicagoBulls
MaxStrus,26,1,4,5,5,17,3,3,7,41,40.9,100.0,0,1,3,2,1,2,15,21,ClevelandCavaliers
JarrettAllen,19,17,6,8,0,1,7,10,7,35,66.7,70.0,8,9,0,1,1,0,6,39,ClevelandCavaliers
CraigPorter,19,7,7,11,1,3,2,5,8,39,57.1,40.0,1,6,3,1,1,1,14,24,ClevelandCavaliers
IsaacOkoro,12,3,3,4,0,5,6,7,3,35,33.3,85.7,0,3,1,0,0,2,6,10,ClevelandCavaliers
DeanWade,11,7,1,2,3,10,0,0,1,36,33.3,0,1,6,1,2,0,1,12,12,ClevelandCavaliers
GeorgesNiang,7,5,2,7,1,5,0,0,0,21,25.0,0,1,4,2,0,0,4,-4,1,ClevelandCavaliers
TristanThompson,6,6,3,4,0,0,0,0,1,13,75.0,0,4,2,1,0,0,1,8,11,ClevelandCavaliers
DamianJones,6,2,1,2,1,2,1,1,1,12,50.0,100.0,0,2,1,1,0,5,16,7,ClevelandCavaliers
EmoniBates,3,0,0,0,1,2,0,0,0,9,50.0,0,0,0,0,0,1,0,-3,3,ClevelandCavaliers
ClevelandCavaliers,109,53,27,43,12,45,19,26,28,240,44.3,0,19,34,12,7,4,17,70,128,ClevelandCavaliers
