PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
CobyWhite,31,9,2,4,8,13,3,3,6,40,66.7,77.8,2,7,3,1,0,4,6,37,ChicagoBulls
DeMarDerozan,24,5,8,14,2,4,2,2,10,40,66.7,50.0,0,5,2,0,0,3,2,29,ChicagoBulls
TorreyCraig,15,6,2,2,3,4,2,2,2,19,36.4,90.0,3,3,1,0,1,3,16,22,ChicagoBulls
AyoDosunmu,15,0,5,5,1,4,2,2,3,33,54.5,50.0,0,0,2,2,0,2,8,15,ChicagoBulls
PatrickWilliams,14,4,5,6,1,5,1,4,2,29,33.3,100.0,1,3,1,2,2,3,-10,15,ChicagoBulls
AlexCaruso,8,2,1,1,2,4,0,0,2,13,37.5,0,0,2,1,0,1,2,-3,10,ChicagoBulls
AndreDrummond,7,8,3,7,0,0,1,2,1,15,60.0,0,3,5,1,0,1,2,0,11,ChicagoBulls
NikolaVucevic,6,7,3,7,0,5,0,0,4,33,28.6,100.0,3,4,1,0,3,1,8,10,ChicagoBulls
JulianPhillips,2,0,1,1,0,0,0,0,0,4,25.0,100.0,0,0,0,1,0,0,5,3,ChicagoBulls
JevonCarter,2,0,1,1,0,1,0,0,2,15,0,0,0,0,1,0,0,1,-2,2,ChicagoBulls
ChicagoBulls,124,44,31,48,17,40,11,15,32,240,50.0,0,13,31,13,6,8,21,30,154,ChicagoBulls
ZionWilliamson,27,5,10,15,0,0,7,9,3,30,66.7,77.8,2,3,5,1,0,3,-12,24,NewOrleansPelicans
BrandonIngram,23,6,10,15,0,0,3,6,6,36,66.7,50.0,0,6,2,3,0,1,1,28,NewOrleansPelicans
HerbertJones,17,7,4,7,0,4,9,10,4,36,36.4,90.0,4,3,2,3,1,1,5,22,NewOrleansPelicans
JonasValanciunas,15,10,4,7,2,4,1,2,1,36,54.5,50.0,2,8,0,0,0,3,13,20,NewOrleansPelicans
JordanHawkins,10,1,0,1,2,5,4,4,0,25,33.3,100.0,0,1,0,0,0,2,-9,7,NewOrleansPelicans
JoseAlvarado,8,1,1,3,2,5,0,0,2,18,37.5,0,0,1,1,0,0,0,-7,5,NewOrleansPelicans
DysonDaniels,7,2,2,2,1,3,0,0,2,22,60.0,0,0,2,1,1,0,2,4,9,NewOrleansPelicans
NajiMarshall,7,3,1,3,1,4,2,2,2,27,28.6,100.0,2,1,1,1,0,3,-8,7,NewOrleansPelicans
CodyZeller,4,4,1,4,0,0,2,2,0,12,25.0,100.0,3,1,0,0,0,2,-17,5,NewOrleansPelicans
JeremiahRobinson-Earl,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NewOrleansPelicans
NewOrleansPelicans,118,42,33,57,8,25,28,35,20,240,50.0,0,15,27,12,9,1,17,-30,127,NewOrleansPelicans
