PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DonovanMitchell,40,11,11,14,3,11,9,9,5,35,41.7,100.0,2,9,6,3,1,3,29,43,ClevelandCavaliers
DariusGarland,19,2,5,10,2,5,3,4,8,38,37.5,100.0,1,1,2,2,0,1,22,20,ClevelandCavaliers
EvanMobley,17,19,7,10,1,1,0,0,1,34,60.0,100.0,5,14,1,0,7,4,25,40,ClevelandCavaliers
GeorgesNiang,12,7,2,3,2,6,2,2,1,19,62.5,100.0,0,7,1,0,0,3,-10,14,ClevelandCavaliers
JarrettAllen,11,8,5,6,0,0,1,1,2,30,50.0,80.0,1,7,0,0,0,4,16,20,ClevelandCavaliers
MaxStrus,11,3,1,4,3,7,0,0,7,35,21.4,83.3,2,1,0,2,2,2,30,18,ClevelandCavaliers
CarisLeVert,10,3,2,3,2,5,0,0,1,30,35.7,0,0,3,4,1,0,3,14,7,ClevelandCavaliers
IsaacOkoro,6,2,3,5,0,1,0,1,2,16,16.7,0,1,1,0,0,2,0,-3,8,ClevelandCavaliers
CraigPorter,2,0,1,2,0,0,0,0,0,3,0.0,0,0,0,2,0,0,0,-8,-1,ClevelandCavaliers
ClevelandCavaliers,128,63,37,57,13,36,15,17,27,240,0.0,0,14,49,19,8,12,21,115,169,ClevelandCavaliers
De&#039;AndreHunter,18,4,4,6,1,6,7,7,2,26,41.7,100.0,0,4,0,0,0,4,-18,17,AtlantaHawks
BogdanBogdanovic,18,6,2,6,4,10,2,2,1,31,37.5,100.0,1,5,1,2,0,2,-3,16,AtlantaHawks
ClintCapela,14,9,6,10,0,0,2,2,0,22,60.0,100.0,6,3,2,2,2,1,-24,21,AtlantaHawks
SaddiqBey,14,4,3,4,2,4,2,2,3,32,62.5,100.0,1,3,0,2,0,4,-22,20,AtlantaHawks
OnyekaOkongwu,13,9,3,7,1,1,4,5,2,22,50.0,80.0,2,7,0,0,0,0,1,19,AtlantaHawks
TraeYoung,13,1,1,6,2,8,5,6,10,32,21.4,83.3,0,1,3,1,0,3,-27,10,AtlantaHawks
DejounteMurray,13,3,2,7,3,7,0,0,1,31,35.7,0,1,2,3,2,1,0,-21,8,AtlantaHawks
BrunoFernando,2,3,1,6,0,0,0,0,0,4,16.7,0,2,1,1,0,0,1,0,-1,AtlantaHawks
WesleyMatthews,0,3,0,0,0,3,0,0,2,16,0.0,0,0,3,0,0,0,0,1,2,AtlantaHawks
GarrisonMathews,0,1,0,0,0,1,0,0,0,4,0.0,0,0,1,0,0,0,0,0,0,AtlantaHawks
TrentForrest,0,0,0,1,0,0,0,0,0,4,0.0,0,0,0,0,0,0,0,0,-1,AtlantaHawks
AJGriffin,0,1,0,4,0,4,0,0,0,15,0.0,0,1,0,0,0,0,1,-2,-7,AtlantaHawks
AtlantaHawks,105,46,22,57,13,44,22,24,21,240,34.7,0,15,31,11,9,3,16,-115,104,AtlantaHawks
