PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DonovanMitchell,31,2,6,8,5,11,4,4,7,34,50.0,83.3,1,1,4,2,0,3,6,30,ClevelandCavaliers
DariusGarland,24,3,6,12,0,5,12,13,7,30,45.5,100.0,0,3,6,0,0,3,15,16,ClevelandCavaliers
MaxStrus,15,4,3,3,3,10,0,0,4,36,35.7,100.0,0,4,0,1,0,3,4,17,ClevelandCavaliers
EvanMobley,13,16,6,9,0,1,1,4,2,29,35.7,80.0,5,11,5,0,1,4,8,20,ClevelandCavaliers
JarrettAllen,12,9,5,7,0,0,2,2,3,28,33.3,25.0,5,4,2,0,0,1,9,20,ClevelandCavaliers
CarisLeVert,8,5,3,3,0,3,2,2,2,32,66.7,20.0,0,5,1,2,0,0,6,13,ClevelandCavaliers
GeorgesNiang,6,6,0,2,2,4,0,0,1,25,28.6,0,0,6,0,0,0,4,1,9,ClevelandCavaliers
DeanWade,3,4,0,0,1,3,0,0,0,13,20.0,0,1,3,0,3,0,1,8,8,ClevelandCavaliers
TristanThompson,3,5,1,2,0,0,1,3,0,11,33.3,50.0,1,4,0,0,1,2,2,6,ClevelandCavaliers
DamianJones,0,0,0,0,0,0,0,0,0,1,50.0,0,0,0,0,0,0,0,-2,0,ClevelandCavaliers
SamMerrill,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,-2,0,ClevelandCavaliers
ClevelandCavaliers,115,54,30,46,11,37,22,28,26,240,0.0,0,13,41,18,8,2,21,55,139,ClevelandCavaliers
StephenCurry,28,2,1,5,7,11,5,6,4,31,50.0,83.3,0,2,6,1,0,0,-6,20,GoldenStateWarriors
DraymondGreen,18,3,3,8,2,3,6,6,8,29,45.5,100.0,0,3,1,3,1,0,-6,26,GoldenStateWarriors
KlayThompson,15,3,2,5,3,9,2,2,2,32,35.7,100.0,2,1,2,1,0,2,-12,10,GoldenStateWarriors
JonathanKuminga,15,3,4,10,1,4,4,5,0,20,35.7,80.0,1,2,1,0,2,2,-9,9,GoldenStateWarriors
AndrewWiggins,8,5,2,7,1,2,1,4,1,26,33.3,25.0,3,2,0,0,0,1,-5,5,GoldenStateWarriors
TrayceJackson-Davis,5,4,2,3,0,0,1,5,1,12,66.7,20.0,1,3,0,1,1,4,8,7,GoldenStateWarriors
GaryPaytonII,5,2,1,4,1,3,0,0,1,12,28.6,0,2,0,0,0,0,2,-10,3,GoldenStateWarriors
ChrisPaul,5,1,1,5,1,5,0,0,2,25,20.0,0,0,1,0,1,0,3,-12,1,GoldenStateWarriors
MosesMoody,3,3,1,1,0,2,1,2,0,14,33.3,50.0,1,2,0,1,0,1,-1,4,GoldenStateWarriors
KevonLooney,2,11,1,2,0,0,0,0,5,15,50.0,0,5,6,0,0,0,1,-6,17,GoldenStateWarriors
DarioSaric,0,5,0,2,0,1,0,0,0,13,0.0,0,1,4,1,0,0,2,-4,1,GoldenStateWarriors
BrandinPodziemski,0,2,0,1,0,1,0,0,2,8,0.0,0,1,1,2,1,0,0,5,1,GoldenStateWarriors
CoryJoseph,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,1,GoldenStateWarriors
GoldenStateWarriors,104,44,18,53,16,41,20,30,26,240,36.2,0,17,27,13,10,4,18,-55,105,GoldenStateWarriors
