PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
EvanMobley,33,14,11,21,1,1,8,10,3,33,62.5,50.0,5,9,2,0,3,4,-15,39,ClevelandCavaliers
CarisLeVert,31,5,8,18,4,10,3,9,8,44,43.8,100.0,2,3,2,1,0,2,-2,21,ClevelandCavaliers
MaxStrus,21,11,3,11,4,9,3,3,6,42,50.0,100.0,1,10,1,0,0,2,-5,24,ClevelandCavaliers
IsaacOkoro,11,5,5,8,0,0,1,2,3,35,71.4,50.0,2,3,0,0,1,3,-2,16,ClevelandCavaliers
GeorgesNiang,7,3,2,6,1,4,0,0,2,19,50.0,66.7,1,2,1,0,1,3,-16,5,ClevelandCavaliers
DeanWade,6,3,0,0,2,5,0,0,3,37,33.3,0,0,3,0,0,1,2,3,10,ClevelandCavaliers
TristanThompson,4,5,2,3,0,0,0,0,2,8,60.0,100.0,4,1,0,0,0,0,1,10,ClevelandCavaliers
DamianJones,0,3,0,0,0,0,0,0,0,6,37.5,0,2,1,0,0,0,0,-1,3,ClevelandCavaliers
SamMerrill,0,2,0,1,0,1,0,0,1,6,40.0,0,1,1,0,1,0,0,2,2,ClevelandCavaliers
CraigPorter,0,0,0,0,0,0,0,0,1,4,40.0,0,0,0,0,0,0,0,-10,1,ClevelandCavaliers
EmoniBates,0,0,0,0,0,1,0,0,0,7,49.0,0,0,0,0,0,0,0,-15,-1,ClevelandCavaliers
ClevelandCavaliers,113,51,31,68,12,31,15,24,29,240,43.4,0,18,33,6,2,6,16,-60,130,ClevelandCavaliers
AaronNesmith,26,9,5,7,5,9,1,2,0,30,62.5,50.0,4,5,0,0,0,1,18,28,IndianaPacers
TyreseHaliburton,21,8,3,9,4,7,3,3,13,32,43.8,100.0,1,7,1,0,0,2,-1,32,IndianaPacers
MylesTurner,20,12,6,9,1,5,5,5,1,29,50.0,100.0,1,11,2,0,2,5,-5,26,IndianaPacers
JalenSmith,13,6,3,4,2,3,1,2,3,19,71.4,50.0,2,4,1,0,0,2,17,18,IndianaPacers
BennedictMathurin,13,0,4,7,1,3,2,3,1,17,50.0,66.7,0,0,0,0,0,0,-11,8,IndianaPacers
BuddyHield,10,1,2,5,2,7,0,0,4,19,33.3,0,0,1,1,0,1,1,6,7,IndianaPacers
T.J.McConnell,8,2,3,5,0,0,2,2,8,19,60.0,100.0,1,1,0,0,0,1,21,16,IndianaPacers
BruceBrown,6,4,3,7,0,1,0,0,2,32,37.5,0,0,4,0,1,0,3,0,8,IndianaPacers
AndrewNembhard,4,2,2,3,0,2,0,0,4,25,40.0,0,0,2,1,2,0,4,21,8,IndianaPacers
ObiToppin,4,4,2,4,0,1,0,0,0,18,40.0,0,2,2,1,0,1,1,-6,5,IndianaPacers
IndianaPacers,125,48,33,60,15,38,14,17,36,240,49.0,0,11,37,7,3,4,20,60,156,IndianaPacers
