PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DonovanMitchell,26,3,11,17,0,3,4,4,3,29,35.7,70.0,2,1,2,3,0,2,-11,24,ClevelandCavaliers
IsaacOkoro,11,7,2,6,2,5,1,2,0,25,43.8,80.0,3,4,1,0,0,2,-9,9,ClevelandCavaliers
GeorgesNiang,11,3,1,3,3,9,0,0,1,24,54.5,100.0,0,3,2,0,0,3,-12,5,ClevelandCavaliers
CraigPorter,10,4,5,11,0,1,0,0,2,22,38.5,75.0,1,3,3,2,1,3,-9,9,ClevelandCavaliers
EmoniBates,9,6,1,3,2,5,1,2,1,23,50.0,100.0,1,5,1,0,1,1,-9,10,ClevelandCavaliers
EvanMobley,6,12,3,9,0,0,0,0,5,29,100.0,0,4,8,2,0,2,0,-19,17,ClevelandCavaliers
SamMerrill,6,1,0,0,2,4,0,0,2,14,33.3,0,0,1,1,1,0,0,-2,7,ClevelandCavaliers
MaxStrus,6,3,1,2,1,7,1,2,3,33,50.0,0,0,3,0,0,0,2,-12,4,ClevelandCavaliers
TristanThompson,4,2,1,1,0,0,2,2,1,19,33.3,0,1,1,2,0,2,2,-1,7,ClevelandCavaliers
DamianJones,2,1,1,1,0,0,0,0,0,5,50.0,0,0,1,0,0,0,0,2,3,ClevelandCavaliers
IsaiahMobley,0,1,0,0,0,0,0,0,0,1,0.0,0,0,1,0,0,0,1,-3,1,ClevelandCavaliers
DeanWade,0,3,0,1,0,4,0,0,1,16,0,0,2,1,1,0,0,3,-5,-2,ClevelandCavaliers
ClevelandCavaliers,91,46,26,54,10,38,9,12,19,240,0.0,0,14,32,15,6,6,19,-90,94,ClevelandCavaliers
JuliusRandle,19,10,3,9,2,5,7,10,2,31,35.7,70.0,3,7,1,1,0,1,18,19,NewYorkKnicks
JalenBrunson,19,5,6,13,1,3,4,5,2,34,43.8,80.0,0,5,5,2,0,1,21,13,NewYorkKnicks
ImmanuelQuickley,18,3,3,5,3,6,3,3,2,24,54.5,100.0,0,3,3,0,0,0,9,15,NewYorkKnicks
R.J.Barrett,16,3,2,8,3,5,3,4,0,25,38.5,75.0,1,2,1,0,0,2,14,9,NewYorkKnicks
IsaiahHartenstein,13,7,5,8,0,2,3,3,1,23,50.0,100.0,4,3,1,2,1,3,12,18,NewYorkKnicks
MitchellRobinson,8,7,4,4,0,0,0,0,0,22,100.0,0,3,4,1,1,0,0,6,15,NewYorkKnicks
JoshHart,5,7,1,3,1,3,0,0,3,28,33.3,0,0,7,1,0,0,2,2,10,NewYorkKnicks
QuentinGrimes,5,1,1,1,1,3,0,0,1,22,50.0,0,0,1,0,2,0,3,8,7,NewYorkKnicks
DonteDiVincenzo,3,2,0,0,1,3,0,0,6,15,33.3,0,0,2,1,1,0,3,9,9,NewYorkKnicks
MilesMcBride,3,0,0,0,1,2,0,0,0,4,50.0,0,0,0,0,0,0,1,-5,2,NewYorkKnicks
JerichoSims,0,1,0,1,0,0,0,0,1,3,0.0,0,1,0,0,0,0,0,0,1,NewYorkKnicks
RyanArcidiacono,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,NewYorkKnicks
DylanWindler,0,1,0,0,0,1,0,0,0,3,0.0,0,0,1,0,0,0,0,0,0,NewYorkKnicks
DaquanJeffries,0,0,0,0,0,1,0,0,0,4,0.0,0,0,0,0,0,0,1,-5,-1,NewYorkKnicks
NewYorkKnicks,109,48,25,52,13,34,20,25,18,240,44.2,0,12,36,14,9,1,17,90,118,NewYorkKnicks
