PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
LukaDoncic,44,6,11,12,6,9,4,4,6,32,53.3,100.0,0,6,1,1,0,1,32,52,DallasMavericks
KyrieIrving,27,6,3,10,5,9,6,6,3,28,55.6,100.0,3,3,2,2,0,1,12,25,DallasMavericks
TimHardawayJr.,17,3,4,5,2,8,3,3,3,27,50.0,100.0,0,3,0,0,0,0,20,16,DallasMavericks
DerrickJones,11,10,3,6,1,4,2,2,3,29,45.5,80.0,4,6,0,3,0,1,36,21,DallasMavericks
JadenHardy,11,2,4,6,1,2,0,1,0,12,55.6,50.0,0,2,2,0,0,1,-8,7,DallasMavericks
DwightPowell,9,5,2,3,0,0,5,5,4,22,66.7,75.0,4,1,1,1,0,3,3,17,DallasMavericks
DanteExum,8,2,1,4,2,3,0,0,6,18,62.5,0,1,1,0,0,0,3,7,12,DallasMavericks
DereckLively,6,4,3,8,0,0,0,0,1,26,25.0,100.0,2,2,1,0,1,6,15,6,DallasMavericks
SethCurry,5,0,0,0,1,2,2,3,0,7,75.0,0,0,0,0,0,0,0,-2,3,DallasMavericks
JoshGreen,3,0,0,0,1,4,0,0,3,18,33.3,100.0,0,0,0,0,0,2,-15,3,DallasMavericks
GrantWilliams,2,2,1,1,0,1,0,0,1,16,0.0,0,0,2,1,0,0,4,3,3,DallasMavericks
Olivier-MaxenceProsper,1,1,0,1,0,0,1,2,0,5,0.0,0,1,0,0,0,0,1,-13,0,DallasMavericks
DallasMavericks,144,42,32,56,19,42,23,26,30,240,48.9,0,16,26,8,7,1,23,90,165,DallasMavericks
KawhiLeonard,26,3,6,11,2,4,8,8,4,29,53.3,100.0,1,2,2,0,0,2,-8,24,LAClippers
BonesHyland,17,4,4,4,1,5,6,6,6,29,55.6,100.0,1,3,2,1,0,5,8,22,LAClippers
JamesHarden,14,5,1,3,2,3,6,6,3,29,50.0,100.0,0,5,2,2,0,0,-6,19,LAClippers
RussellWestbrook,14,5,5,10,0,1,4,5,2,20,45.5,80.0,2,3,2,3,0,1,-26,15,LAClippers
IvicaZubac,12,8,5,9,0,0,2,4,1,22,55.6,50.0,5,3,1,0,2,3,1,16,LAClippers
MoussaDiabate,11,10,4,6,0,0,3,4,0,16,66.7,75.0,7,3,0,0,1,3,2,19,LAClippers
TeranceMann,11,6,4,5,1,3,0,0,3,29,62.5,0,3,3,0,0,0,4,-10,17,LAClippers
PaulGeorge,8,3,2,5,1,7,1,1,2,23,25.0,100.0,0,3,2,1,0,3,-14,3,LAClippers
KobeBrown,7,0,2,3,1,1,0,0,0,13,75.0,0,0,0,1,0,0,2,10,5,LAClippers
AmirCoffey,6,2,2,4,0,2,2,2,0,13,33.3,100.0,0,2,0,0,0,1,8,4,LAClippers
P.J.Tucker,0,1,0,0,0,1,0,0,0,6,0.0,0,0,1,0,0,0,2,-20,0,LAClippers
NormanPowell,0,0,0,1,0,0,0,0,0,11,0.0,0,0,0,2,0,0,1,-35,-3,LAClippers
LAClippers,126,51,35,61,8,27,32,36,21,240,48.9,0,21,30,15,7,3,27,-90,141,LAClippers
