PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
LukaDoncic,33,6,9,18,3,10,6,6,17,43,71.4,60.0,0,6,4,1,0,0,10,37,DallasMavericks
TimHardawayJr.,32,3,5,11,5,10,7,8,3,37,51.9,66.7,1,2,0,1,0,2,-6,27,DallasMavericks
DanteExum,26,4,1,1,7,9,3,4,3,36,50.0,80.0,2,2,1,1,1,2,7,31,DallasMavericks
GrantWilliams,19,3,2,2,5,7,0,0,1,40,83.3,0,1,2,1,1,0,4,7,21,DallasMavericks
DereckLively,8,8,4,7,0,0,0,0,0,30,33.3,0,4,4,1,2,3,4,8,17,DallasMavericks
RichaunHolmes,4,7,1,3,0,0,2,3,2,15,33.3,0,3,4,2,0,0,3,-4,8,DallasMavericks
SethCurry,3,2,0,0,1,2,0,0,0,12,50.0,0,1,1,0,0,1,0,4,5,DallasMavericks
JadenHardy,2,1,1,4,0,3,0,0,1,19,0.0,0,0,1,1,0,0,2,0,-3,DallasMavericks
MarkieffMorris,0,2,0,0,0,2,0,0,1,6,0,0,0,2,0,1,0,0,-10,2,DallasMavericks
A.J.Lawson,0,0,0,0,0,0,0,0,0,1,53.8,0,0,0,0,0,0,0,-3,0,DallasMavericks
Olivier-MaxenceProsper,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3,0,DallasMavericks
DallasMavericks,127,36,23,46,21,43,18,21,28,240,49.4,0,12,24,10,7,5,17,10,145,DallasMavericks
AnthonyDavis,37,11,14,19,1,2,6,10,0,37,71.4,60.0,5,6,2,0,2,2,0,38,LosAngelesLakers
LeBronJames,33,8,11,19,3,8,2,3,9,40,51.9,66.7,2,6,4,3,1,1,-4,36,LosAngelesLakers
AustinReaves,22,5,3,7,4,7,4,5,8,32,50.0,80.0,0,5,3,0,0,2,4,24,LosAngelesLakers
TaureanPrince,15,4,0,0,5,6,0,0,4,37,83.3,0,0,4,1,0,0,0,5,21,LosAngelesLakers
D&#039;AngeloRussell,7,2,2,5,1,4,0,0,7,25,33.3,0,0,2,2,0,0,4,-6,8,LosAngelesLakers
RuiHachimura,7,3,2,7,1,2,0,0,2,29,33.3,0,0,3,1,1,0,3,-3,6,LosAngelesLakers
CameronReddish,4,3,2,4,0,0,0,0,2,22,50.0,0,1,2,2,0,1,3,-10,6,LosAngelesLakers
JaxsonHayes,0,4,0,1,0,0,0,0,1,13,0.0,0,2,2,0,0,0,4,-1,4,LosAngelesLakers
MaxChristie,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,5,1,LosAngelesLakers
LosAngelesLakers,125,40,34,62,15,29,12,18,34,240,53.8,0,10,30,15,4,4,20,-10,144,LosAngelesLakers
