PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
LukaDoncic,32,8,5,6,4,8,10,13,9,31,56.3,87.5,0,8,3,0,0,3,18,38,DallasMavericks
KyrieIrving,25,6,9,12,2,7,1,2,8,33,45.5,100.0,1,5,1,1,0,2,32,30,DallasMavericks
DanielGafford,19,9,7,11,0,0,5,6,0,17,57.1,75.0,4,5,0,0,1,2,9,24,DallasMavericks
P.J.Washington,14,5,5,6,1,4,1,2,1,24,21.4,100.0,1,4,2,1,0,3,24,14,DallasMavericks
MaximilianKleber,12,12,1,2,2,4,4,4,3,25,40.0,0,3,9,0,1,1,1,26,26,DallasMavericks
JadenHardy,11,0,2,2,2,3,1,2,3,10,50.0,0,0,0,0,1,0,1,-5,13,DallasMavericks
TimHardawayJr.,10,1,2,3,2,6,0,0,1,25,75.0,66.7,0,1,1,1,0,2,28,7,DallasMavericks
DerrickJones,8,4,2,2,1,2,1,2,1,23,50.0,100.0,0,4,3,1,0,3,23,9,DallasMavericks
JoshGreen,6,2,2,3,0,1,2,2,2,27,33.3,0,0,2,1,2,0,3,20,9,DallasMavericks
A.J.Lawson,5,2,1,2,1,2,0,0,0,6,28.6,0,1,1,0,0,0,2,0,5,DallasMavericks
DwightPowell,2,1,1,1,0,0,0,0,0,6,11.1,0,0,1,0,0,1,1,0,4,DallasMavericks
Olivier-MaxenceProsper,2,2,1,1,0,1,0,0,0,6,0.0,0,0,2,0,0,0,0,0,3,DallasMavericks
BrandonWilliams,0,2,0,2,0,0,0,0,2,6,0.0,0,1,1,1,0,0,0,0,1,DallasMavericks
DallasMavericks,146,54,38,53,15,38,25,33,30,240,0.0,0,11,43,12,8,3,23,175,183,DallasMavericks
ShaiGilgeous-Alexander,25,6,9,16,0,0,7,8,5,29,56.3,87.5,2,4,3,0,1,1,-31,26,OklahomaCityThunder
CasonWallace,15,2,2,4,3,7,2,2,0,25,45.5,100.0,0,2,1,1,0,2,-18,11,OklahomaCityThunder
ChetHolmgren,13,12,2,4,2,3,3,4,0,22,57.1,75.0,4,8,0,0,1,4,-3,22,OklahomaCityThunder
JoshGiddey,11,3,0,5,3,9,2,2,3,23,21.4,100.0,1,2,1,1,0,1,-23,6,OklahomaCityThunder
JalenWilliams,9,3,3,7,1,3,0,0,7,27,40.0,0,1,2,2,0,0,2,-17,11,OklahomaCityThunder
LindyWaters,9,3,0,1,3,5,0,0,1,14,50.0,0,0,3,0,0,1,2,-19,11,OklahomaCityThunder
OlivierSarr,8,3,3,4,0,0,2,3,0,8,75.0,66.7,2,1,0,0,0,0,-5,9,OklahomaCityThunder
AaronWiggins,7,4,1,2,1,2,2,2,0,22,50.0,100.0,1,3,0,2,0,3,-11,11,OklahomaCityThunder
IsaiahJoe,6,1,0,2,2,4,0,0,1,16,33.3,0,0,1,0,0,0,0,-12,4,OklahomaCityThunder
LuguentzDort,5,0,1,1,1,6,0,0,2,18,28.6,0,0,0,2,0,0,3,-8,0,OklahomaCityThunder
OusmaneDieng,3,0,0,4,1,5,0,0,2,14,11.1,0,0,0,1,0,1,0,-4,-3,OklahomaCityThunder
JaylinWilliams,0,2,0,0,0,1,0,0,0,4,0.0,0,0,2,0,1,0,0,-6,2,OklahomaCityThunder
KenrichWilliams,0,1,0,1,0,1,0,0,2,13,0.0,0,1,0,0,0,0,5,-18,1,OklahomaCityThunder
AleksejPokusevski,0,0,0,0,0,1,0,0,0,6,0.0,0,0,0,0,0,0,0,0,-1,OklahomaCityThunder
OklahomaCityThunder,111,40,21,51,17,47,18,21,23,240,38.8,0,12,28,10,5,4,23,-175,110,OklahomaCityThunder
