PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KyrieIrving,34,9,11,13,4,9,0,0,7,33,47.6,80.0,1,8,1,2,1,1,17,45,DallasMavericks
LukaDoncic,27,9,10,12,1,8,4,4,8,31,63.6,100.0,0,9,5,2,1,2,25,33,DallasMavericks
JadenHardy,13,2,5,9,1,3,0,0,1,20,25.0,66.7,0,2,0,0,1,0,7,11,DallasMavericks
DanielGafford,10,10,5,7,0,0,0,0,2,23,40.0,50.0,2,8,2,0,1,4,2,19,DallasMavericks
DereckLively,8,5,3,5,0,0,2,2,1,17,50.0,75.0,1,4,0,0,4,0,27,16,DallasMavericks
JoshGreen,8,3,1,2,2,2,0,0,2,18,33.3,0,1,2,0,0,0,2,12,12,DallasMavericks
TimHardawayJr.,8,2,1,3,2,4,0,0,5,26,50.0,0,0,2,3,1,0,2,11,9,DallasMavericks
P.J.Washington,3,6,0,3,1,3,0,2,2,28,25.0,0,1,5,1,0,1,2,19,4,DallasMavericks
DwightPowell,3,2,1,2,0,0,1,2,0,8,9.1,0,0,2,1,0,0,0,-6,2,DallasMavericks
Olivier-MaxenceProsper,2,2,1,2,0,0,0,0,0,5,0.0,0,1,1,1,1,0,0,-2,3,DallasMavericks
A.J.Lawson,0,2,0,1,0,0,0,0,0,5,0.0,0,0,2,0,0,0,0,-2,1,DallasMavericks
DerrickJones,0,3,0,1,0,1,0,0,0,19,0.0,0,1,2,1,0,0,0,7,0,DallasMavericks
BrandonWilliams,0,0,0,2,0,0,0,0,0,5,36.4,0,0,0,0,0,0,1,-2,-2,DallasMavericks
DallasMavericks,116,61,38,62,11,30,7,10,28,240,53.3,0,11,50,16,6,9,14,115,153,DallasMavericks
VictorWembanyama,26,9,8,15,2,6,4,5,5,27,47.6,80.0,3,6,2,1,3,0,-9,30,SanAntonioSpurs
MalakiBranham,19,3,3,6,4,5,1,1,1,21,63.6,100.0,1,2,1,0,0,0,-2,18,SanAntonioSpurs
DevinVassell,11,4,3,12,1,4,2,3,6,31,25.0,66.7,0,4,1,3,0,1,-19,10,SanAntonioSpurs
JeremySochan,10,4,3,8,1,2,1,2,1,25,40.0,50.0,3,1,2,3,0,2,-22,9,SanAntonioSpurs
BlakeWesley,9,1,3,4,0,2,3,4,6,28,50.0,75.0,0,1,3,0,0,0,-8,9,SanAntonioSpurs
ZachCollins,6,12,3,5,0,4,0,0,4,21,33.3,0,5,7,1,0,3,2,-14,18,SanAntonioSpurs
JulianChampagnie,5,2,1,1,1,3,0,0,1,18,50.0,0,0,2,0,1,0,0,0,7,SanAntonioSpurs
TreJones,4,4,2,4,0,4,0,0,2,20,25.0,0,0,4,0,0,0,2,-15,4,SanAntonioSpurs
KeldonJohnson,3,2,0,3,1,8,0,0,0,20,9.1,0,0,2,1,0,1,1,-27,-5,SanAntonioSpurs
CediOsman,0,1,0,0,0,1,0,0,3,18,0.0,0,0,1,0,0,0,1,-3,3,SanAntonioSpurs
DevonteGraham,0,1,0,0,0,1,0,0,0,5,0.0,0,0,1,0,0,0,0,2,0,SanAntonioSpurs
SandroMamukelashvili,0,0,0,1,0,0,0,0,0,5,0.0,0,0,0,0,0,0,0,2,-1,SanAntonioSpurs
SanAntonioSpurs,93,47,26,59,10,40,11,15,29,240,36.4,0,13,34,13,8,7,9,-115,102,SanAntonioSpurs
