PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
NikolaJokic,23,16,8,24,1,2,4,7,5,34,35.3,76.9,7,9,3,0,2,5,3,23,DenverNuggets
JamalMurray,21,5,2,9,4,8,5,5,3,32,47.1,77.8,0,5,1,0,0,2,4,17,DenverNuggets
MichaelPorter,20,8,5,6,3,6,1,1,0,40,50.0,60.0,1,7,2,0,2,3,11,24,DenverNuggets
KentaviousCaldwell-Pope,14,0,3,3,2,3,2,2,0,25,50.0,0,0,0,0,0,1,1,-16,14,DenverNuggets
PeytonWatson,13,4,4,8,0,1,5,5,2,26,33.3,75.0,1,3,1,0,0,3,4,13,DenverNuggets
ReggieJackson,6,3,2,4,0,4,2,2,6,25,60.0,0.0,1,2,0,0,0,2,4,9,DenverNuggets
AaronGordon,3,6,1,3,0,2,1,5,3,22,0.0,83.3,1,5,1,0,0,1,-12,3,DenverNuggets
DeAndreJordan,2,4,1,2,0,0,0,0,2,12,66.7,0,1,3,1,1,0,2,-2,7,DenverNuggets
JustinHoliday,2,0,1,1,0,0,0,0,0,6,0.0,75.0,0,0,0,1,0,1,-12,3,DenverNuggets
ChristianBraun,2,1,1,2,0,2,0,0,1,14,42.7,0,0,1,1,2,0,3,-9,2,DenverNuggets
JulianStrawther,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,-15,0,DenverNuggets
DenverNuggets,106,47,28,62,10,28,20,27,22,240,42.2,0,12,35,10,4,5,24,-40,115,DenverNuggets
FredVanVleet,26,4,2,7,4,10,10,13,3,40,35.3,76.9,1,3,1,0,1,3,16,19,HoustonRockets
JalenGreen,25,3,6,8,2,9,7,9,1,35,47.1,77.8,0,3,1,0,0,0,-8,17,HoustonRockets
AlperenSengun,17,10,7,13,0,1,3,5,7,34,50.0,60.0,2,8,1,0,1,3,11,25,HoustonRockets
DillonBrooks,16,5,2,2,4,10,0,0,1,33,50.0,0,1,4,3,2,0,5,2,15,HoustonRockets
JabariSmithJr.,9,10,3,7,0,2,3,4,5,25,33.3,75.0,4,6,1,0,0,1,-2,16,HoustonRockets
AaronHoliday,8,1,1,3,2,2,0,1,1,16,60.0,0.0,0,1,2,0,0,1,19,5,HoustonRockets
JeffGreen,5,4,0,0,0,1,5,6,1,27,0.0,83.3,2,2,0,1,1,4,2,10,HoustonRockets
Jae&#039;SeanTate,5,2,1,1,1,2,0,0,0,13,66.7,0,0,2,0,0,0,2,2,6,HoustonRockets
TariEason,3,8,0,2,0,2,3,4,2,17,0.0,75.0,1,7,0,0,0,1,-2,8,HoustonRockets
HoustonRockets,114,47,22,43,13,39,31,42,21,240,42.7,0,11,36,9,3,3,20,40,121,HoustonRockets
