PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
NikolaJokic,29,8,11,17,1,3,4,5,7,34,60.0,80.0,1,7,2,2,0,1,-5,35,DenverNuggets
JamalMurray,21,5,4,10,4,6,1,2,10,34,50.0,50.0,2,3,1,1,2,2,16,29,DenverNuggets
PeytonWatson,12,6,3,3,2,3,0,0,1,30,83.3,0.0,3,3,1,2,1,1,14,20,DenverNuggets
AaronGordon,12,7,4,7,0,1,4,4,2,30,50.0,100.0,3,4,0,0,0,3,-2,17,DenverNuggets
MichaelPorter,12,5,2,4,2,6,2,2,3,24,40.0,100.0,3,2,3,0,3,1,-2,14,DenverNuggets
KentaviousCaldwell-Pope,11,3,1,4,2,5,3,3,0,31,33.3,100.0,0,3,1,1,0,0,-5,8,DenverNuggets
ReggieJackson,7,4,2,7,1,4,0,0,1,21,27.3,0.0,0,4,0,1,0,2,6,5,DenverNuggets
ChristianBraun,4,3,1,4,0,0,2,3,2,28,25.0,66.7,2,1,0,1,0,0,18,6,DenverNuggets
DeAndreJordan,4,1,2,2,0,0,0,0,0,8,100.0,0.0,0,1,0,0,0,1,5,5,DenverNuggets
DenverNuggets,112,42,30,58,12,28,16,19,26,240,48.8,0.0,14,28,8,8,6,11,45,139,DenverNuggets
DeandreAyton,27,9,13,19,0,0,1,1,4,39,68.4,100.0,4,5,1,1,2,1,5,36,PortlandTrailBlazers
AnferneeSimons,26,6,4,10,4,8,6,6,9,39,44.4,100.0,0,6,4,1,0,0,-1,28,PortlandTrailBlazers
ScootHenderson,14,8,1,10,2,6,6,6,9,33,18.8,100.0,4,4,3,0,0,4,-7,15,PortlandTrailBlazers
ToumaniCamara,10,6,2,3,2,3,0,0,0,23,66.7,0.0,2,4,1,0,0,4,10,13,PortlandTrailBlazers
KrisMurray,8,2,4,5,0,2,0,0,2,20,57.1,0.0,0,2,2,1,2,2,-15,10,PortlandTrailBlazers
DuopReath,8,1,1,1,2,2,0,0,1,13,100.0,0.0,0,1,1,0,0,3,-16,9,PortlandTrailBlazers
MatisseThybulle,6,1,1,2,1,5,1,2,3,34,28.6,50.0,0,1,0,3,0,1,4,7,PortlandTrailBlazers
JabariWalker,4,7,2,3,0,5,0,0,0,30,25.0,0.0,3,4,1,0,0,1,-22,4,PortlandTrailBlazers
JustinMinaya,0,2,0,1,0,0,0,0,1,10,0.0,0.0,2,0,0,0,0,0,-3,2,PortlandTrailBlazers
PortlandTrailBlazers,103,42,28,54,11,31,14,15,29,240,45.9,0.0,15,27,13,6,4,16,-45,124,PortlandTrailBlazers
