PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
CadeCunningham,27,2,5,13,2,4,11,11,9,38,60.0,66.7,0,2,5,3,1,2,7,27,DetroitPistons
MarvinBagley,18,8,7,13,0,0,4,5,1,26,47.1,100.0,3,5,1,0,0,4,8,19,DetroitPistons
JadenIvey,17,4,6,7,1,1,2,2,3,30,50.0,75.0,1,3,4,1,0,2,8,20,DetroitPistons
IsaiahStewart,11,11,3,6,1,2,2,2,1,35,33.3,0.0,1,10,1,0,2,3,-1,20,DetroitPistons
StanleyUmude,11,1,1,3,3,5,0,0,2,18,36.4,75.0,0,1,1,0,0,1,-2,9,DetroitPistons
AusarThompson,8,7,4,10,0,0,0,0,0,24,50.0,0,3,4,0,0,2,5,-7,11,DetroitPistons
IsaiahLivers,6,4,1,4,0,3,4,4,1,23,66.7,66.7,2,2,2,0,0,2,-7,3,DetroitPistons
AlecBurks,3,3,1,1,0,4,1,2,2,17,50.0,100.0,0,3,1,1,0,1,-13,3,DetroitPistons
MarcusSasser,2,0,1,1,0,1,0,0,0,5,20.0,100.0,0,0,0,0,0,0,2,1,DetroitPistons
JamesWiseman,0,3,0,1,0,0,0,0,0,10,100.0,0,1,2,1,0,0,2,-10,1,DetroitPistons
KillianHayes,0,0,0,1,0,1,0,0,2,14,46.0,0,0,0,2,2,0,2,-5,0,DetroitPistons
DetroitPistons,103,43,29,60,7,21,24,26,21,240,44.4,0,11,32,18,7,5,24,-20,114,DetroitPistons
ReggieJackson,21,3,8,12,1,3,2,3,6,32,60.0,66.7,0,3,0,1,1,2,3,25,DenverNuggets
KentaviousCaldwell-Pope,20,3,6,12,2,5,2,2,3,36,47.1,100.0,1,2,3,2,1,2,3,17,DenverNuggets
ChristianBraun,15,6,3,8,2,2,3,4,2,32,50.0,75.0,1,5,2,1,1,2,21,17,DenverNuggets
MichaelPorter,14,11,1,6,4,9,0,1,2,38,33.3,0.0,2,9,4,0,1,3,-1,13,DenverNuggets
AaronGordon,11,9,4,10,0,1,3,4,7,37,36.4,75.0,5,4,2,1,0,1,-2,18,DenverNuggets
NikolaJokic,9,5,3,4,1,4,0,0,5,15,50.0,0,0,5,1,0,1,1,-4,15,DenverNuggets
ZekeNnaji,7,1,1,2,1,1,2,3,0,14,66.7,66.7,1,0,1,1,1,3,2,7,DenverNuggets
PeytonWatson,4,1,1,2,0,0,2,2,2,13,50.0,100.0,0,1,1,0,2,1,5,7,DenverNuggets
JulianStrawther,4,2,1,2,0,3,2,2,2,15,20.0,100.0,0,2,0,0,0,1,-8,4,DenverNuggets
JalenPickett,2,2,1,1,0,0,0,0,1,7,100.0,0,1,1,0,1,0,1,1,6,DenverNuggets
DenverNuggets,107,43,29,59,11,28,16,21,30,240,46.0,0,11,32,14,7,8,17,20,129,DenverNuggets
