PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
CadeCunningham,23,6,10,15,1,6,0,0,7,38,58.8,87.5,0,6,3,1,0,3,-8,24,DetroitPistons
AusarThompson,20,6,7,8,1,2,3,5,2,33,66.7,50.0,2,4,1,1,1,4,-8,25,DetroitPistons
JadenIvey,18,3,7,12,0,3,4,4,2,34,66.7,0,1,2,2,1,0,2,-4,14,DetroitPistons
BojanBogdanovic,17,1,2,5,3,9,4,7,2,34,41.7,100.0,0,1,2,3,0,2,-12,9,DetroitPistons
AlecBurks,14,0,2,3,2,3,4,4,0,13,71.4,0,0,0,1,1,0,0,-2,12,DetroitPistons
IsaiahStewart,13,7,4,4,1,1,2,4,2,34,36.4,75.0,1,6,2,0,0,3,-10,18,DetroitPistons
IsaiahLivers,8,2,0,0,2,5,2,2,3,17,83.3,0,0,2,0,2,0,1,6,12,DetroitPistons
KillianHayes,6,1,2,4,0,0,2,2,7,23,40.0,0,0,1,2,1,0,0,-4,11,DetroitPistons
JamesWiseman,4,4,1,1,0,0,2,2,1,13,60.0,0,2,2,1,1,3,3,4,12,DetroitPistons
KevinKnox,0,0,0,0,0,0,0,0,0,1,56.5,0,0,0,0,0,0,0,-2,0,DetroitPistons
DetroitPistons,123,35,35,52,10,29,23,30,26,240,55.6,0,10,25,14,11,4,21,-40,137,DetroitPistons
BennedictMathurin,30,7,7,12,3,5,7,8,8,37,58.8,87.5,3,4,2,2,0,3,8,37,IndianaPacers
MylesTurner,23,8,10,13,0,2,3,6,1,31,66.7,50.0,3,5,2,1,3,2,12,26,IndianaPacers
BuddyHield,16,4,2,2,4,7,0,0,2,31,66.7,0,0,4,0,1,0,1,2,20,IndianaPacers
TyreseHaliburton,14,4,2,6,3,6,1,1,16,33,41.7,100.0,0,4,7,1,2,2,8,23,IndianaPacers
AaronNesmith,13,1,2,3,3,4,0,0,1,27,71.4,0,0,1,2,0,0,3,6,11,IndianaPacers
BruceBrown,11,9,4,7,0,4,3,4,0,37,36.4,75.0,3,6,1,2,0,3,8,13,IndianaPacers
IsaiahJackson,10,5,5,6,0,0,0,0,0,17,83.3,0,2,3,0,0,0,3,-4,14,IndianaPacers
T.J.McConnell,8,2,4,9,0,1,0,0,5,15,40.0,0,0,2,2,1,0,2,0,8,IndianaPacers
ObiToppin,6,3,3,3,0,2,0,0,0,12,60.0,0,0,3,2,0,0,1,0,5,IndianaPacers
IndianaPacers,131,51,39,61,13,31,14,19,33,240,56.5,0,11,40,18,8,5,20,40,157,IndianaPacers
