PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
CadeCunningham,26,5,8,15,2,7,4,4,7,32,43.5,90.9,1,4,1,1,0,2,-12,26,DetroitPistons
AusarThompson,16,4,8,12,0,2,0,0,2,28,66.7,100.0,0,4,1,2,1,4,-3,18,DetroitPistons
JadenIvey,15,7,4,9,2,3,1,2,7,33,62.5,100.0,2,5,3,1,1,3,2,21,DetroitPistons
JalenDuren,12,14,5,8,0,0,2,5,3,33,57.1,100.0,7,7,6,1,5,5,-4,23,DetroitPistons
JamesWiseman,8,4,3,4,0,0,2,4,0,9,55.6,50.0,3,1,1,0,0,0,-12,8,DetroitPistons
IsaiahLivers,8,1,1,3,2,8,0,0,3,23,80.0,100.0,0,1,2,1,0,1,-26,3,DetroitPistons
AlecBurks,8,0,2,3,0,5,4,4,1,13,33.3,100.0,0,0,0,0,0,1,-12,3,DetroitPistons
IsaiahStewart,7,8,2,4,1,7,0,0,0,29,57.1,0,2,6,0,1,0,2,-2,8,DetroitPistons
MarcusSasser,7,1,2,5,1,5,0,0,3,22,33.3,100.0,1,0,1,0,1,1,-15,4,DetroitPistons
KillianHayes,0,4,0,1,0,0,0,0,3,16,33.3,0,1,3,0,0,3,1,-10,9,DetroitPistons
StanleyUmude,0,1,0,0,0,1,0,0,0,2,50.0,0,1,0,1,0,0,2,-1,-1,DetroitPistons
DetroitPistons,107,49,35,64,8,38,13,19,29,240,0.0,0,18,31,16,7,11,22,-95,122,DetroitPistons
KyleKuzma,32,12,8,16,2,7,10,11,8,35,43.5,90.9,0,12,1,0,0,0,18,37,WashingtonWizards
DeniAvdija,16,6,5,6,1,3,3,3,5,26,66.7,100.0,0,6,3,0,0,3,1,21,WashingtonWizards
DaniloGallinari,16,2,2,2,3,6,3,3,2,19,62.5,100.0,0,2,1,0,0,2,9,16,WashingtonWizards
LandryShamet,12,2,2,4,2,3,2,2,4,22,57.1,100.0,0,2,1,2,1,2,8,17,WashingtonWizards
TyusJones,12,3,4,6,1,3,1,2,4,26,55.6,50.0,1,2,0,0,0,0,7,14,WashingtonWizards
DanielGafford,10,9,4,5,0,0,2,2,2,27,80.0,100.0,3,6,2,2,4,2,10,24,WashingtonWizards
JordanPoole,10,0,3,7,0,2,4,4,3,25,33.3,100.0,0,0,4,1,0,3,10,4,WashingtonWizards
CoreyKispert,8,5,4,6,0,1,0,0,1,19,57.1,0,0,5,0,1,0,4,13,12,WashingtonWizards
BilalCoulibaly,5,4,2,4,0,2,1,1,0,28,33.3,100.0,0,4,2,2,1,1,19,6,WashingtonWizards
EugeneOmoruyi,3,2,0,2,1,1,0,0,0,2,33.3,0,2,0,0,0,0,0,0,3,WashingtonWizards
JonathanDavis,2,0,1,2,0,0,0,0,0,7,50.0,0,0,0,1,0,0,0,0,0,WashingtonWizards
JaredButler,0,1,0,0,0,1,0,0,0,2,0.0,0,0,1,0,0,0,1,0,0,WashingtonWizards
AnthonyGill,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,WashingtonWizards
WashingtonWizards,126,46,35,60,10,29,26,28,29,240,50.6,0,6,40,15,8,6,18,95,154,WashingtonWizards
