PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
StephenCurry,30,3,5,10,4,14,8,8,2,33,44.4,80.0,1,2,4,1,1,1,-8,18,GoldenStateWarriors
KlayThompson,14,5,3,11,2,5,2,2,1,28,31.8,100.0,1,4,3,0,1,3,-7,7,GoldenStateWarriors
AndrewWiggins,13,5,5,8,1,4,0,2,3,29,60.0,100.0,3,2,3,0,0,2,-13,10,GoldenStateWarriors
JonathanKuminga,12,3,2,6,0,1,8,11,0,21,46.2,66.7,0,3,0,0,0,4,-1,7,GoldenStateWarriors
ChrisPaul,9,3,3,5,1,2,0,0,9,26,66.7,100.0,0,3,3,3,0,2,-12,18,GoldenStateWarriors
DraymondGreen,8,5,1,1,2,3,0,0,4,18,33.3,88.9,2,3,1,0,0,3,-2,15,GoldenStateWarriors
MosesMoody,8,5,0,1,2,3,2,2,1,18,50.0,100.0,1,4,1,0,0,3,2,11,GoldenStateWarriors
DarioSaric,5,5,2,2,0,3,1,1,1,16,0,16.7,0,5,0,0,1,3,0,9,GoldenStateWarriors
GaryPaytonII,3,5,1,3,0,1,1,2,0,11,0,0,2,3,1,0,0,0,-11,3,GoldenStateWarriors
CoryJoseph,3,0,0,0,1,2,0,0,1,2,0,0,0,0,2,0,0,1,6,1,GoldenStateWarriors
KevonLooney,2,13,1,2,0,0,0,0,2,24,0,0,3,10,1,0,0,5,-3,15,GoldenStateWarriors
BrandinPodziemski,2,2,1,2,0,0,0,0,2,8,0.0,0,1,1,1,1,0,1,5,5,GoldenStateWarriors
TrayceJackson-Davis,1,1,0,1,0,0,1,2,0,6,43.0,0,1,0,0,0,0,1,4,0,GoldenStateWarriors
GoldenStateWarriors,110,62,24,52,13,38,23,30,26,240,41.1,0,22,40,21,5,3,29,-40,119,GoldenStateWarriors
CarisLeVert,22,5,6,11,2,7,4,5,3,36,44.4,80.0,2,3,0,4,1,1,23,24,ClevelandCavaliers
DonovanMitchell,21,7,5,16,2,6,5,5,5,36,31.8,100.0,1,6,2,2,1,4,15,19,ClevelandCavaliers
EvanMobley,19,5,6,9,0,1,7,7,2,31,60.0,100.0,1,4,2,1,1,4,-4,22,ClevelandCavaliers
DariusGarland,19,6,3,8,3,5,4,6,4,36,46.2,66.7,2,4,4,5,0,2,5,21,ClevelandCavaliers
MaxStrus,16,8,4,6,2,3,2,2,4,33,66.7,100.0,1,7,0,1,0,2,6,26,ClevelandCavaliers
JarrettAllen,12,5,2,6,0,0,8,9,4,28,33.3,88.9,3,2,1,0,0,4,13,15,ClevelandCavaliers
DeanWade,8,7,0,0,2,4,2,2,0,17,50.0,100.0,0,7,0,0,0,6,20,13,ClevelandCavaliers
CraigPorter,1,0,0,0,0,0,1,6,0,2,0,16.7,0,0,0,0,0,0,-8,-4,ClevelandCavaliers
EmoniBates,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-6,0,ClevelandCavaliers
DamianJones,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-6,0,ClevelandCavaliers
TristanThompson,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-8,0,ClevelandCavaliers
GeorgesNiang,0,2,0,0,0,4,0,0,1,19,0.0,0,1,1,1,0,0,1,-10,-2,ClevelandCavaliers
ClevelandCavaliers,118,50,26,56,11,30,33,42,23,240,43.0,0,12,38,11,13,3,26,40,134,ClevelandCavaliers
