PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
MosesMoody,21,2,4,10,4,8,1,1,0,25,69.2,50.0,1,1,0,1,0,3,-7,14,GoldenStateWarriors
TrayceJackson-Davis,19,5,9,11,0,0,1,1,1,22,66.7,60.0,3,2,1,1,1,1,-16,24,GoldenStateWarriors
StephenCurry,15,1,1,5,3,8,4,4,6,25,46.2,0,0,1,3,1,0,0,-4,11,GoldenStateWarriors
KlayThompson,13,4,2,3,3,7,0,0,2,24,38.5,100.0,1,3,3,0,1,1,-17,12,GoldenStateWarriors
JonathanKuminga,12,3,4,6,0,1,4,6,4,28,55.6,0,0,3,3,0,1,3,-20,12,GoldenStateWarriors
KevonLooney,7,7,3,3,0,0,1,2,0,19,41.7,100.0,2,5,0,0,1,4,-3,14,GoldenStateWarriors
AndrewWiggins,5,2,1,5,1,3,0,0,2,23,57.1,0,0,2,1,0,0,2,-29,2,GoldenStateWarriors
DarioSaric,4,3,1,1,0,2,2,2,3,13,83.3,100.0,1,2,2,1,0,2,-24,7,GoldenStateWarriors
LesterQuinones,3,1,0,1,1,3,0,0,1,8,75.0,50.0,1,0,0,0,0,0,-1,2,GoldenStateWarriors
BrandinPodziemski,2,9,1,4,0,2,0,0,2,25,100.0,75.0,3,6,2,0,0,1,-31,6,GoldenStateWarriors
CoryJoseph,2,3,1,1,0,2,0,0,2,17,100.0,0,2,1,2,0,0,2,-22,3,GoldenStateWarriors
GuiSantos,2,3,0,0,0,3,2,2,1,10,0,0,0,3,0,0,0,0,-6,3,GoldenStateWarriors
GoldenStateWarriors,105,45,27,50,12,39,15,18,24,240,0.0,0,15,30,18,4,4,19,-180,110,GoldenStateWarriors
JonasValanciunas,21,9,7,10,2,3,1,2,2,21,69.2,50.0,4,5,0,2,1,4,18,30,NewOrleansPelicans
ZionWilliamson,19,5,8,12,0,0,3,5,7,30,66.7,60.0,1,4,4,1,0,2,23,22,NewOrleansPelicans
TreyMurphyIII,16,4,2,2,4,11,0,0,6,24,46.2,0,3,1,0,0,1,2,38,20,NewOrleansPelicans
C.J.McCollum,14,3,3,6,2,7,2,2,8,26,38.5,100.0,0,3,0,2,1,0,22,20,NewOrleansPelicans
JordanHawkins,14,1,1,4,4,5,0,0,2,21,55.6,0,0,1,0,0,0,1,25,13,NewOrleansPelicans
BrandonIngram,13,5,4,9,1,3,2,2,1,23,41.7,100.0,1,4,2,1,0,4,7,11,NewOrleansPelicans
HerbertJones,12,5,0,0,4,7,0,0,4,23,57.1,0,1,4,1,1,2,1,10,20,NewOrleansPelicans
NajiMarshall,12,3,5,6,0,0,2,2,2,13,83.3,100.0,0,3,1,1,0,1,1,16,NewOrleansPelicans
DysonDaniels,8,3,2,2,1,2,1,2,3,22,75.0,50.0,0,3,1,1,0,2,25,12,NewOrleansPelicans
LarryNance,6,5,0,0,1,1,3,4,1,19,100.0,75.0,1,4,1,2,1,0,17,13,NewOrleansPelicans
CodyZeller,6,3,3,3,0,0,0,0,1,8,100.0,0,2,1,1,0,0,2,1,9,NewOrleansPelicans
JeremiahRobinson-Earl,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,0,-5,2,NewOrleansPelicans
E.J.Liddell,0,0,0,0,0,1,0,0,0,3,0.0,0,0,0,0,0,0,0,-2,-1,NewOrleansPelicans
NewOrleansPelicans,141,50,35,54,19,40,14,19,37,240,57.4,0,13,37,12,11,7,19,180,187,NewOrleansPelicans
