PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
StephenCurry,33,6,7,12,6,14,1,1,2,36,58.3,100.0,1,5,2,1,0,0,-8,27,GoldenStateWarriors
JonathanKuminga,31,3,10,15,2,4,5,6,3,30,56.3,100.0,1,2,2,2,0,2,16,29,GoldenStateWarriors
AndrewWiggins,17,4,4,5,2,3,3,4,4,31,72.7,0,0,4,2,0,0,2,-4,20,GoldenStateWarriors
KlayThompson,16,1,3,7,2,7,4,4,1,31,41.7,100.0,0,1,1,1,1,5,-1,10,GoldenStateWarriors
DarioSaric,14,4,1,2,4,4,0,0,5,20,40.0,33.3,2,2,2,0,0,2,-15,20,GoldenStateWarriors
BrandinPodziemski,7,3,2,3,1,2,0,0,2,27,60.0,50.0,1,2,1,0,0,2,5,9,GoldenStateWarriors
CoryJoseph,6,5,0,1,2,2,0,0,0,17,42.9,0,1,4,0,0,0,1,3,10,GoldenStateWarriors
DraymondGreen,5,4,0,2,0,1,5,8,11,31,40.0,0,0,4,2,3,1,3,14,16,GoldenStateWarriors
KevonLooney,4,3,2,2,0,0,0,0,2,16,0.0,0,0,3,1,0,1,2,-15,9,GoldenStateWarriors
GoldenStateWarriors,133,40,29,49,19,37,18,23,30,240,0,0,9,31,15,7,3,19,-5,150,GoldenStateWarriors
HarrisonBarnes,39,4,7,12,7,12,4,4,0,40,58.3,100.0,1,3,1,2,1,0,2,35,SacramentoKings
De&#039;AaronFox,29,1,6,9,3,7,8,8,5,36,56.3,100.0,0,1,1,1,1,3,-12,29,SacramentoKings
DomantasSabonis,18,8,6,9,2,2,0,0,13,35,72.7,0,1,7,3,0,1,5,8,34,SacramentoKings
KeeganMurray,14,6,3,5,2,7,2,2,1,38,41.7,100.0,1,5,0,1,2,2,11,17,SacramentoKings
KevinHuerter,12,10,1,2,3,8,1,3,4,33,40.0,33.3,3,7,2,3,0,4,8,19,SacramentoKings
DavionMitchell,10,2,0,0,3,5,1,2,4,15,60.0,50.0,1,1,0,0,0,2,13,13,SacramentoKings
TreyLyles,8,0,1,3,2,4,0,0,2,15,42.9,0,0,0,0,1,0,1,-9,7,SacramentoKings
MalikMonk,4,2,2,3,0,2,0,0,3,19,40.0,0,1,1,3,0,0,3,-11,3,SacramentoKings
KesslerEdwards,0,1,0,0,0,1,0,0,1,6,0.0,0,0,1,0,0,0,1,-1,1,SacramentoKings
ChrisDuarte,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-4,0,SacramentoKings
SacramentoKings,134,37,26,43,22,48,16,19,33,240,52.7,0,11,26,11,8,5,21,5,158,SacramentoKings
