PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
StephenCurry,35,3,4,7,7,13,6,6,6,35,52.6,0,0,3,6,1,0,2,4,30,GoldenStateWarriors
DarioSaric,20,7,3,4,4,7,2,2,4,26,61.5,60.0,2,5,3,2,0,3,13,26,GoldenStateWarriors
KlayThompson,15,3,0,4,3,7,6,7,6,29,44.4,100.0,1,2,2,1,0,3,7,14,GoldenStateWarriors
JonathanKuminga,12,1,4,5,1,2,1,2,2,20,45.5,0,0,1,1,0,0,0,-1,11,GoldenStateWarriors
AndrewWiggins,10,4,2,6,2,4,0,0,0,25,60.0,0,0,4,3,0,0,3,-1,5,GoldenStateWarriors
MosesMoody,9,4,3,3,1,1,0,2,1,17,50.0,0,2,2,2,0,0,0,-6,10,GoldenStateWarriors
KevonLooney,6,8,2,3,0,0,2,3,4,24,42.9,0,1,7,2,2,0,3,-3,16,GoldenStateWarriors
ChrisPaul,5,5,1,3,1,3,0,0,10,29,16.7,100.0,0,5,1,0,0,2,16,15,GoldenStateWarriors
GaryPaytonII,4,3,2,2,0,1,0,0,0,19,33.3,0,0,3,2,1,1,4,0,6,GoldenStateWarriors
TrayceJackson-Davis,2,0,0,1,0,0,2,2,0,5,0,0,0,0,1,0,1,1,1,1,GoldenStateWarriors
BrandinPodziemski,0,3,0,3,0,2,0,0,2,12,45.0,0,1,2,1,0,0,0,0,-1,GoldenStateWarriors
GoldenStateWarriors,118,46,21,41,19,40,19,24,35,240,49.4,0,9,37,24,7,2,21,30,133,GoldenStateWarriors
DevinVassell,24,4,6,9,4,10,0,0,1,27,52.6,0,1,3,2,1,0,2,-9,19,SanAntonioSpurs
KeldonJohnson,22,12,5,6,3,7,3,5,4,34,61.5,60.0,4,8,3,2,0,3,5,30,SanAntonioSpurs
VictorWembanyama,22,9,7,12,1,6,5,5,4,35,44.4,100.0,2,7,6,1,2,2,2,22,SanAntonioSpurs
CediOsman,11,1,4,5,1,6,0,0,0,18,45.5,0,1,0,1,0,0,3,-3,5,SanAntonioSpurs
TreJones,7,5,2,4,1,1,0,0,2,17,60.0,0,0,5,1,2,0,1,-10,13,SanAntonioSpurs
DougMcDermott,7,1,2,3,1,3,0,0,4,19,50.0,0,1,0,0,3,0,0,-1,12,SanAntonioSpurs
JeremySochan,7,6,2,5,1,2,0,0,4,33,42.9,0,3,3,2,0,0,2,1,11,SanAntonioSpurs
ZachCollins,6,8,2,5,0,7,2,2,6,31,16.7,100.0,3,5,3,0,0,3,-7,7,SanAntonioSpurs
MalakiBranham,6,0,3,4,0,5,0,0,1,19,33.3,0,0,0,1,1,0,2,-8,1,SanAntonioSpurs
CharlesBassey,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,1,0,0,3,SanAntonioSpurs
SanAntonioSpurs,112,51,33,53,12,47,10,12,28,240,45.0,0,17,34,20,10,3,18,-30,123,SanAntonioSpurs
