PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
StephenCurry,30,4,1,5,8,13,4,5,7,27,33.3,88.9,0,4,2,0,1,0,-1,30,GoldenStateWarriors
JonathanKuminga,22,4,8,9,1,2,3,3,3,27,46.7,100.0,2,2,1,1,0,2,9,27,GoldenStateWarriors
KlayThompson,20,3,4,7,4,10,0,0,2,27,71.4,83.3,0,3,2,0,0,0,7,14,GoldenStateWarriors
DarioSaric,13,3,4,7,1,4,2,2,1,20,75.0,0,0,3,0,0,0,1,17,11,GoldenStateWarriors
TrayceJackson-Davis,10,15,5,7,0,0,0,0,3,25,80.0,0,5,10,1,0,1,2,10,26,GoldenStateWarriors
BrandinPodziemski,10,7,1,4,2,5,2,2,5,29,60.0,50.0,3,4,1,1,0,2,16,16,GoldenStateWarriors
GuiSantos,7,2,1,1,1,2,2,2,0,6,40.0,100.0,1,1,0,0,0,1,-12,8,GoldenStateWarriors
KevonLooney,5,5,2,3,0,0,1,1,0,11,75.0,0.0,2,3,0,0,0,2,1,9,GoldenStateWarriors
MosesMoody,5,3,1,1,0,3,3,4,0,19,27.3,0.0,1,2,2,1,0,1,8,3,GoldenStateWarriors
ChrisPaul,4,7,2,4,0,3,0,1,10,25,37.5,0,0,7,1,1,0,2,27,15,GoldenStateWarriors
LesterQuinones,3,3,0,1,1,2,0,0,1,6,20.0,0,0,3,1,0,0,1,-12,4,GoldenStateWarriors
UsmanGaruba,0,0,0,1,0,0,0,0,1,2,0.0,0,0,0,0,0,0,0,-4,0,GoldenStateWarriors
JeromeRobinson,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,-4,0,GoldenStateWarriors
CoryJoseph,0,1,0,2,0,1,0,0,0,14,45.4,0,0,1,1,1,0,3,-7,-2,GoldenStateWarriors
GoldenStateWarriors,129,61,29,52,18,45,17,20,33,240,48.5,0,15,46,12,5,2,17,55,161,GoldenStateWarriors
JordanPoole,25,3,4,9,3,12,8,9,3,27,33.3,88.9,1,2,1,2,0,3,-9,17,WashingtonWizards
CoreyKispert,18,1,5,8,2,7,2,2,0,25,46.7,100.0,0,1,1,0,1,3,-20,11,WashingtonWizards
DanielGafford,15,4,5,7,0,0,5,6,1,23,71.4,83.3,1,3,1,1,0,1,-3,17,WashingtonWizards
TyusJones,14,3,4,6,2,2,0,0,6,25,75.0,0,1,2,0,1,0,0,-12,22,WashingtonWizards
AnthonyGill,8,3,4,4,0,1,0,0,0,11,80.0,0,2,1,0,0,1,0,10,11,WashingtonWizards
JaredButler,8,1,2,2,1,3,1,2,4,7,60.0,50.0,0,1,0,1,0,0,10,11,WashingtonWizards
DeniAvdija,7,4,2,5,0,0,3,3,4,20,40.0,100.0,2,2,0,1,0,1,0,13,WashingtonWizards
RyanRollins,7,1,2,3,1,1,0,1,1,11,75.0,0.0,0,1,0,0,1,1,10,8,WashingtonWizards
KyleKuzma,7,9,2,6,1,5,0,1,3,25,27.3,0.0,0,9,3,0,0,2,-5,7,WashingtonWizards
BilalCoulibaly,7,3,2,6,1,2,0,0,2,32,37.5,0,0,3,2,1,1,1,-12,7,WashingtonWizards
MikeMuscala,2,6,1,4,0,1,0,0,0,14,20.0,0,2,4,1,0,0,2,-18,3,WashingtonWizards
PatrickBaldwinJr.,0,1,0,1,0,0,0,0,0,7,0.0,0,0,1,0,0,0,0,10,0,WashingtonWizards
LandryShamet,0,0,0,1,0,1,0,0,1,13,0.0,0,0,0,0,0,0,2,-16,-1,WashingtonWizards
WashingtonWizards,118,44,33,62,11,35,19,24,25,240,45.4,0,13,31,10,7,4,16,-55,126,WashingtonWizards
