PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JabariSmithJr.,34,13,4,7,4,7,14,14,1,42,55.6,71.4,5,8,0,0,4,3,3,46,HoustonRockets
FredVanVleet,32,4,7,13,3,7,9,9,15,44,57.1,100.0,0,4,2,1,0,3,-2,40,HoustonRockets
DillonBrooks,19,2,2,3,5,6,0,0,1,30,46.7,80.0,0,2,0,2,0,5,1,22,HoustonRockets
JalenGreen,16,4,5,12,2,7,0,0,2,32,72.7,75.0,1,3,1,1,1,1,-7,11,HoustonRockets
AlperenSengun,14,9,7,12,0,0,0,0,5,27,66.7,100.0,2,7,0,0,1,2,-10,24,HoustonRockets
AaronHoliday,8,2,1,3,2,5,0,0,0,26,50.0,0,0,2,2,0,0,1,2,3,HoustonRockets
AmenThompson,2,2,1,2,0,0,0,0,0,8,27.3,100.0,0,2,0,0,0,1,-10,3,HoustonRockets
JeffGreen,2,1,1,1,0,1,0,0,0,12,50.0,0,0,1,3,0,0,4,-10,-1,HoustonRockets
Jae&#039;SeanTate,0,0,0,2,0,1,0,0,1,19,0.0,50.0,0,0,0,0,0,3,-2,-2,HoustonRockets
HoustonRockets,127,40,28,55,16,34,23,23,25,240,51.6,0,10,30,8,4,6,23,-35,146,HoustonRockets
TraeYoung,30,4,5,10,5,8,5,7,14,36,55.6,71.4,0,4,4,1,0,4,11,35,AtlantaHawks
BogdanBogdanovic,22,4,4,6,4,8,2,2,5,30,57.1,100.0,0,4,0,1,1,3,14,27,AtlantaHawks
DejounteMurray,21,3,4,7,3,8,4,5,5,35,46.7,80.0,2,1,3,0,1,2,-8,18,AtlantaHawks
OnyekaOkongwu,19,11,8,10,0,1,3,4,2,33,72.7,75.0,1,10,0,0,0,1,12,28,AtlantaHawks
ClintCapela,15,9,4,6,0,0,7,7,2,21,66.7,100.0,5,4,0,2,1,3,-9,27,AtlantaHawks
De&#039;AndreHunter,11,1,4,6,1,4,0,0,3,28,50.0,0,0,1,0,0,0,2,-19,10,AtlantaHawks
SaddiqBey,9,9,1,5,2,6,1,1,0,32,27.3,100.0,4,5,1,0,0,1,16,9,AtlantaHawks
GarrisonMathews,6,1,0,0,2,4,0,0,0,17,50.0,0,0,1,1,0,0,1,16,4,AtlantaHawks
WesleyMatthews,1,2,0,1,0,1,1,2,0,8,0.0,50.0,0,2,0,0,0,1,2,0,AtlantaHawks
AtlantaHawks,134,49,30,51,17,40,23,28,31,240,51.6,0,15,34,10,4,3,18,35,158,AtlantaHawks
