PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JalenGreen,25,5,7,10,3,8,2,3,2,36,45.2,63.6,0,5,3,3,0,0,0,23,HoustonRockets
AlperenSengun,21,15,8,15,0,4,5,6,8,43,46.7,100.0,1,14,5,2,1,4,12,30,HoustonRockets
FredVanVleet,17,6,3,7,3,5,2,2,11,39,42.9,0,0,6,1,1,2,3,30,30,HoustonRockets
JabariSmithJr.,16,15,4,6,2,3,2,2,1,38,33.3,100.0,3,12,2,1,1,2,16,29,HoustonRockets
DillonBrooks,8,1,0,5,2,3,2,2,2,30,50.0,0,1,0,2,0,0,4,8,3,HoustonRockets
TariEason,7,4,2,4,1,2,0,0,1,16,14.3,0,1,3,0,1,0,2,9,10,HoustonRockets
AaronHoliday,7,0,2,3,1,1,0,0,0,15,0.0,50.0,0,0,0,1,1,2,2,8,HoustonRockets
Jae&#039;SeanTate,4,3,2,3,0,1,0,0,0,16,0,0,0,3,1,0,1,4,6,5,HoustonRockets
JeffGreen,0,0,0,0,0,2,0,0,0,8,0.0,0,0,0,0,0,3,0,12,1,HoustonRockets
HoustonRockets,105,51,28,53,12,29,13,15,25,240,0,0,8,43,14,9,9,21,95,139,HoustonRockets
NikolaJokic,38,19,11,23,3,8,7,11,8,42,45.2,63.6,6,13,3,3,0,3,-12,44,DenverNuggets
KentaviousCaldwell-Pope,20,5,6,10,1,5,5,5,3,39,46.7,100.0,3,2,2,3,0,4,-7,21,DenverNuggets
MichaelPorter,14,7,4,6,2,8,0,0,1,37,42.9,0,1,6,1,1,2,1,-8,16,DenverNuggets
ChristianBraun,7,3,3,9,0,0,1,1,0,26,33.3,100.0,0,3,0,0,0,1,-2,4,DenverNuggets
JustinHoliday,3,0,0,0,1,2,0,0,0,13,50.0,0,0,0,0,1,0,2,9,3,DenverNuggets
ReggieJackson,2,4,1,5,0,2,0,0,3,25,14.3,0,2,2,6,0,1,0,-26,-2,DenverNuggets
AaronGordon,2,7,0,8,0,4,2,4,2,39,0.0,50.0,3,4,1,0,0,1,-9,-4,DenverNuggets
JulianStrawther,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,-15,0,DenverNuggets
PeytonWatson,0,1,0,2,0,1,0,0,0,6,0.0,0,1,0,0,0,1,1,-18,-1,DenverNuggets
CollinGillespie,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,-7,-1,DenverNuggets
ZekeNnaji,0,0,0,1,0,0,0,0,0,4,0.0,0,0,0,1,0,0,0,0,-2,DenverNuggets
DenverNuggets,86,52,25,64,7,30,15,21,17,240,34.0,0,19,33,18,8,4,14,-95,78,DenverNuggets
