PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JalenGreen,20,5,3,8,4,8,2,4,2,31,47.1,100.0,1,4,2,0,0,1,-9,14,HoustonRockets
AlperenSengun,19,5,8,16,0,1,3,3,1,33,47.1,100.0,1,4,2,0,0,3,-16,14,HoustonRockets
JabariSmithJr.,16,9,3,8,3,5,1,2,2,32,54.5,50.0,1,8,4,0,0,3,-12,15,HoustonRockets
CamWhitmore,11,2,3,6,1,4,2,2,0,15,70.0,0,0,2,4,2,0,1,-9,5,HoustonRockets
FredVanVleet,7,1,0,4,2,5,1,1,8,31,85.7,33.3,0,1,1,1,1,0,-13,10,HoustonRockets
AmenThompson,6,6,2,7,0,2,2,3,1,20,66.7,50.0,1,5,2,3,0,3,-20,6,HoustonRockets
AaronHoliday,5,2,1,2,1,1,0,0,2,19,37.5,0,0,2,0,0,0,0,-14,8,HoustonRockets
ReggieBullock,5,1,1,2,1,2,0,0,0,8,100.0,0,0,1,0,0,0,1,-5,4,HoustonRockets
JeffGreen,4,1,2,2,0,2,0,0,0,21,50.0,0,1,0,0,0,0,2,-17,3,HoustonRockets
BobanMarjanovic,2,3,1,3,0,0,0,0,0,4,25.0,0,2,1,0,0,0,0,-3,3,HoustonRockets
Jae&#039;SeanTate,0,3,0,0,0,1,0,0,2,21,0,100.0,0,3,0,1,0,1,-13,5,HoustonRockets
JockLandale,0,0,0,0,0,1,0,0,0,5,25.0,0,0,0,0,0,1,0,-4,0,HoustonRockets
HoustonRockets,95,38,24,58,12,32,11,15,18,240,0,0,7,31,15,7,2,15,-135,87,HoustonRockets
AnthonyEdwards,24,3,6,12,2,5,6,6,5,33,47.1,100.0,0,3,5,2,0,2,14,20,MinnesotaTimberwolves
Karl-AnthonyTowns,22,8,7,13,1,4,5,5,6,31,47.1,100.0,2,6,4,0,1,2,11,24,MinnesotaTimberwolves
NazReid,16,7,3,5,3,6,1,2,2,25,54.5,50.0,1,6,0,0,1,1,21,20,MinnesotaTimberwolves
JadenMcDaniels,16,3,5,7,2,3,0,0,0,30,70.0,0,0,3,0,1,0,1,14,17,MinnesotaTimberwolves
RudyGobert,13,12,6,7,0,0,1,3,1,33,85.7,33.3,3,9,1,2,2,2,22,26,MinnesotaTimberwolves
NickeilAlexander-Walker,11,3,2,2,2,4,1,2,3,18,66.7,50.0,1,2,0,2,2,2,17,18,MinnesotaTimberwolves
MikeConley,8,2,1,3,2,5,0,0,5,25,37.5,0,0,2,0,0,0,3,13,10,MinnesotaTimberwolves
JordanMcLaughlin,3,3,0,0,1,1,0,0,3,13,100.0,0,0,3,0,2,0,0,19,11,MinnesotaTimberwolves
TroyBrown,3,1,0,0,1,2,0,0,1,3,50.0,0,0,1,0,0,0,0,0,4,MinnesotaTimberwolves
KyleAnderson,2,7,1,4,0,0,0,0,5,18,25.0,0,1,6,2,3,0,3,16,12,MinnesotaTimberwolves
JoshMinott,2,0,0,0,0,0,2,2,0,3,0,100.0,0,0,0,0,0,0,-6,2,MinnesotaTimberwolves
LukaGarza,2,1,1,2,0,2,0,0,0,3,25.0,0,1,0,1,0,0,1,0,-1,MinnesotaTimberwolves
WendellMoore,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,-6,3,MinnesotaTimberwolves
ShakeMilton,0,0,0,0,0,1,0,0,0,3,0.0,0,0,0,1,0,0,1,0,-2,MinnesotaTimberwolves
MinnesotaTimberwolves,122,52,32,55,14,33,16,20,31,240,52.3,0,9,43,14,12,7,18,135,164,MinnesotaTimberwolves
