PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
AlperenSengun,30,10,10,15,1,2,7,8,8,40,65.0,100.0,4,6,2,1,0,5,-9,40,HoustonRockets
JalenGreen,29,0,10,17,2,7,3,4,3,39,41.7,81.8,0,0,1,1,1,1,-6,20,HoustonRockets
FredVanVleet,18,6,6,7,2,10,0,0,7,46,42.1,0,0,6,2,3,3,1,-6,26,HoustonRockets
DillonBrooks,14,4,2,5,3,6,1,1,4,32,61.5,100.0,0,4,3,0,0,3,-6,13,HoustonRockets
AaronHoliday,12,3,0,1,2,3,6,6,2,30,71.4,0,0,3,0,1,0,0,4,16,HoustonRockets
CamWhitmore,12,4,3,4,2,6,0,0,0,14,33.3,100.0,0,4,0,0,0,2,-5,11,HoustonRockets
JockLandale,6,3,2,2,0,0,2,3,2,13,50.0,100.0,3,0,0,0,0,2,8,10,HoustonRockets
AmenThompson,6,3,3,5,0,0,0,0,2,14,57.1,0,1,2,0,0,1,3,4,10,HoustonRockets
JeffGreen,4,4,2,2,0,2,0,0,1,38,25.0,100.0,0,4,0,2,1,2,-11,10,HoustonRockets
BobanMarjanovic,0,0,0,0,0,0,0,0,0,1,51.0,0,0,0,0,0,0,0,-3,0,HoustonRockets
HoustonRockets,131,40,38,58,12,36,19,22,29,265,53.2,0,10,30,8,8,6,19,-30,156,HoustonRockets
AnferneeSimons,33,6,9,11,4,9,3,3,5,41,65.0,100.0,2,4,3,0,0,3,15,34,PortlandTrailBlazers
JeramiGrant,21,5,3,7,2,5,9,11,9,43,41.7,81.8,0,5,1,0,2,0,15,27,PortlandTrailBlazers
MalcolmBrogdon,19,2,5,12,3,7,0,0,6,41,42.1,0,1,1,2,0,0,2,2,14,PortlandTrailBlazers
DeandreAyton,18,17,8,13,0,0,2,2,3,41,61.5,100.0,6,11,1,1,2,3,15,35,PortlandTrailBlazers
MatisseThybulle,13,4,2,3,3,4,0,0,1,22,71.4,0,1,3,1,3,0,3,-9,18,PortlandTrailBlazers
ScootHenderson,11,1,3,7,1,5,2,2,3,24,33.3,100.0,0,1,2,0,0,0,-5,5,PortlandTrailBlazers
JabariWalker,9,7,1,2,1,2,4,4,1,24,50.0,100.0,1,6,2,0,0,4,7,13,PortlandTrailBlazers
DuopReath,9,2,3,4,1,3,0,0,2,12,57.1,0,1,1,0,0,0,0,-9,10,PortlandTrailBlazers
ToumaniCamara,4,4,1,4,0,0,2,2,1,17,25.0,100.0,1,3,0,2,0,3,-1,8,PortlandTrailBlazers
PortlandTrailBlazers,137,51,35,63,15,35,22,24,31,265,51.0,0,15,36,14,6,4,18,30,164,PortlandTrailBlazers
