PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
BuddyHield,25,4,4,5,4,8,5,5,3,26,61.5,100.0,2,2,2,1,3,2,10,29,IndianaPacers
TyreseHaliburton,19,3,3,5,3,9,4,4,13,28,42.9,100.0,1,2,4,1,1,0,32,25,IndianaPacers
AaronNesmith,19,2,2,2,4,4,3,3,1,23,100.0,100.0,0,2,1,1,0,1,8,22,IndianaPacers
MylesTurner,18,6,4,5,1,4,7,7,0,25,55.6,100.0,1,5,1,0,2,2,19,21,IndianaPacers
BennedictMathurin,14,2,1,1,4,6,0,0,1,28,71.4,0.0,0,2,2,1,0,2,10,14,IndianaPacers
JalenSmith,10,4,2,2,2,2,0,0,0,8,100.0,0.0,2,2,0,0,0,2,3,14,IndianaPacers
IsaiahJackson,10,3,4,6,0,1,2,3,1,15,57.1,66.7,1,2,1,1,2,3,9,12,IndianaPacers
T.J.McConnell,9,5,3,3,0,0,3,4,9,20,100.0,75.0,1,4,1,1,0,1,-1,22,IndianaPacers
BruceBrown,6,5,3,5,0,1,0,0,6,28,50.0,0.0,0,5,0,0,0,3,34,14,IndianaPacers
ObiToppin,6,4,2,2,0,3,2,2,0,23,40.0,100.0,0,4,1,0,0,1,25,6,IndianaPacers
JordanNwora,6,0,2,4,0,1,2,2,1,9,40.0,100.0,0,0,0,0,0,3,1,4,IndianaPacers
JamesJohnson,2,0,1,1,0,0,0,0,2,6,100.0,0.0,0,0,0,0,0,0,5,4,IndianaPacers
IndianaPacers,144,42,31,41,18,39,28,30,37,240,61.3,0.0,10,32,13,6,8,20,155,187,IndianaPacers
TerryRozier,25,9,8,16,2,10,3,3,7,35,38.5,100.0,2,7,1,1,0,0,-21,25,CharlotteHornets
BrandonMiller,21,6,7,13,2,4,1,2,3,33,52.9,50.0,2,4,1,1,0,4,-30,21,CharlotteHornets
MilesBridges,19,4,8,15,0,2,3,4,3,37,47.1,75.0,1,3,0,3,0,2,-15,19,CharlotteHornets
P.J.Washington,12,4,2,3,2,7,2,2,0,27,40.0,100.0,3,1,1,0,0,1,-31,9,CharlotteHornets
GordonHayward,11,1,2,4,1,1,4,6,3,24,60.0,66.7,0,1,2,0,0,0,-25,9,CharlotteHornets
NickSmith,6,0,3,3,0,3,0,0,0,6,50.0,0.0,0,0,1,0,0,0,-5,2,CharlotteHornets
NickRichards,4,8,2,4,0,0,0,0,0,19,50.0,0.0,6,2,0,0,0,3,-12,10,CharlotteHornets
IshmaelSmith,4,0,2,3,0,0,0,0,6,16,66.7,0.0,0,0,1,0,0,1,-5,8,CharlotteHornets
NathanMensah,4,2,2,2,0,0,0,0,0,7,100.0,0.0,1,1,0,1,0,0,1,7,CharlotteHornets
JamesBouknight,3,2,0,0,1,3,0,0,0,6,33.3,0.0,0,2,1,0,0,0,-5,2,CharlotteHornets
J.T.Thor,2,1,0,0,0,0,2,2,0,6,0.0,100.0,1,0,0,0,0,2,-5,3,CharlotteHornets
BryceMcGowens,2,0,1,1,0,1,0,0,1,21,50.0,0.0,0,0,2,0,0,5,1,0,CharlotteHornets
LeakyBlack,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0,0,0,0,0,0,-3,0,CharlotteHornets
CharlotteHornets,113,39,37,64,8,31,15,19,23,240,47.4,0.0,17,22,11,6,0,18,-155,115,CharlotteHornets
