PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TyreseHaliburton,26,2,4,10,5,13,3,3,10,32,38.5,100.0,0,2,1,0,0,0,9,23,IndianaPacers
MylesTurner,23,10,7,11,1,3,6,6,2,27,56.3,66.7,5,5,2,1,5,5,23,33,IndianaPacers
BuddyHield,18,4,3,4,3,6,3,3,0,28,50.0,75.0,0,4,0,0,0,2,-7,18,IndianaPacers
ObiToppin,15,3,3,3,3,5,0,0,2,24,50.0,100.0,1,2,0,0,0,1,5,18,IndianaPacers
BennedictMathurin,15,2,5,10,1,2,2,2,0,31,80.0,0,1,1,1,1,0,4,27,11,IndianaPacers
AndrewNembhard,13,3,5,10,1,3,0,1,4,20,60.0,0,3,0,2,1,0,1,25,11,IndianaPacers
BruceBrown,10,4,3,7,0,3,4,5,5,37,50.0,0,0,4,0,3,0,3,26,14,IndianaPacers
JalenSmith,8,6,0,1,2,2,2,2,0,21,50.0,0,1,5,1,1,0,1,0,13,IndianaPacers
IsaiahJackson,8,6,3,7,0,1,2,2,1,19,33.3,0,4,2,1,0,3,4,5,12,IndianaPacers
BenSheppard,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,2,0,IndianaPacers
IndianaPacers,136,42,33,63,16,38,22,24,24,240,0.0,0,17,25,8,7,8,21,115,153,IndianaPacers
CadeCunningham,31,3,8,22,2,4,9,9,5,38,38.5,100.0,0,3,4,0,0,0,-12,19,DetroitPistons
JadenIvey,25,2,8,10,1,6,6,9,3,32,56.3,66.7,2,0,3,1,1,3,-15,19,DetroitPistons
JalenDuren,13,13,5,9,0,1,3,4,4,29,50.0,75.0,4,9,2,1,1,5,-11,24,DetroitPistons
IsaiahStewart,10,6,4,8,0,0,2,2,1,27,50.0,100.0,3,3,0,2,1,1,-11,16,DetroitPistons
AusarThompson,8,6,4,5,0,0,0,0,3,30,80.0,0,1,5,1,0,1,2,6,16,DetroitPistons
IsaiahLivers,8,2,1,1,2,4,0,0,0,26,60.0,0,0,2,0,0,0,2,-15,8,DetroitPistons
MarvinBagley,6,6,3,6,0,0,0,0,2,14,50.0,0,3,3,1,0,3,1,-8,13,DetroitPistons
KillianHayes,6,1,3,6,0,0,0,0,3,17,50.0,0,0,1,0,0,0,0,-25,7,DetroitPistons
AlecBurks,6,2,0,3,2,3,0,0,1,14,33.3,0,0,2,2,1,1,1,-8,5,DetroitPistons
StanleyUmude,0,2,0,1,0,0,0,0,0,8,0.0,0,1,1,1,1,2,3,-14,3,DetroitPistons
MarcusSasser,0,0,0,1,0,0,0,0,0,5,0.0,0,0,0,0,0,0,0,-2,-1,DetroitPistons
DetroitPistons,113,49,36,72,7,18,20,24,22,240,47.8,0,17,32,17,6,10,18,-115,129,DetroitPistons
