PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
PascalSiakam,16,8,4,7,2,4,2,4,2,30,68.2,50.0,2,6,2,1,1,2,-16,19,IndianaPacers
MylesTurner,15,7,3,7,2,5,3,6,1,23,56.3,0,0,7,1,0,1,3,-13,13,IndianaPacers
JalenSmith,14,5,4,4,2,2,0,0,0,13,62.5,50.0,3,2,0,1,0,1,3,20,IndianaPacers
AaronNesmith,13,4,3,4,1,3,4,6,1,26,66.7,100.0,1,3,2,5,1,2,-9,17,IndianaPacers
BennedictMathurin,11,0,2,8,0,3,7,8,1,24,50.0,0,0,0,1,0,0,2,-13,1,IndianaPacers
AndrewNembhard,10,1,2,4,2,4,0,0,3,25,33.3,75.0,0,1,2,1,1,1,-9,10,IndianaPacers
BenSheppard,8,0,2,2,1,3,1,1,0,20,50.0,0,0,0,1,0,1,2,-11,6,IndianaPacers
ObiToppin,7,1,2,2,1,3,0,0,2,20,28.6,100.0,0,1,1,0,0,1,-8,7,IndianaPacers
T.J.McConnell,6,0,3,7,0,0,0,0,8,22,66.7,100.0,0,0,1,1,0,1,-13,10,IndianaPacers
TyreseHaliburton,5,1,1,3,1,4,0,0,11,26,66.7,0,0,1,3,1,1,1,-9,11,IndianaPacers
IsaiahJackson,4,3,1,2,0,0,2,2,2,11,100.0,0,1,2,0,1,0,1,-12,9,IndianaPacers
IndianaPacers,109,34,27,50,12,31,19,27,31,240,0,0,9,25,16,11,6,17,-110,123,IndianaPacers
StephenCurry,42,2,4,6,11,16,1,2,2,30,68.2,50.0,0,2,2,0,1,2,13,37,GoldenStateWarriors
JonathanKuminga,18,2,9,14,0,2,0,0,4,33,56.3,0,1,1,3,0,2,1,20,16,GoldenStateWarriors
GuiSantos,13,8,3,6,2,2,1,2,1,21,62.5,50.0,2,6,0,0,0,1,5,18,GoldenStateWarriors
DarioSaric,11,7,2,3,2,3,1,1,3,18,66.7,100.0,2,5,2,0,0,1,12,17,GoldenStateWarriors
AndrewWiggins,11,4,4,7,1,3,0,0,5,26,50.0,0,0,4,0,1,0,3,9,16,GoldenStateWarriors
BrandinPodziemski,9,7,3,8,0,1,3,4,7,34,33.3,75.0,1,6,2,2,1,3,23,17,GoldenStateWarriors
DraymondGreen,8,8,4,7,0,1,0,0,5,28,50.0,0,2,6,5,2,0,3,13,14,GoldenStateWarriors
LesterQuinones,6,5,2,4,0,3,2,2,5,27,28.6,100.0,0,5,0,0,1,3,12,12,GoldenStateWarriors
TrayceJackson-Davis,6,2,2,3,0,0,2,2,0,4,66.7,100.0,1,1,1,0,1,2,4,7,GoldenStateWarriors
MosesMoody,5,3,1,2,1,1,0,0,1,13,66.7,0,0,3,1,2,1,1,8,10,GoldenStateWarriors
KevonLooney,2,1,1,1,0,0,0,0,0,5,100.0,0,1,0,1,0,0,2,-8,2,GoldenStateWarriors
JeromeRobinson,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,0,GoldenStateWarriors
GoldenStateWarriors,131,52,35,61,17,32,10,13,33,240,55.9,0,11,41,20,7,7,22,110,166,GoldenStateWarriors
