PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TyreseHaliburton,29,6,5,8,5,9,4,4,10,38,76.0,88.9,1,5,2,0,1,1,14,37,IndianaPacers
BennedictMathurin,26,11,6,11,3,7,5,6,2,36,53.8,75.0,4,7,1,1,1,1,14,30,IndianaPacers
MylesTurner,21,6,4,7,4,9,1,1,4,37,40.0,100.0,1,5,1,0,1,4,14,23,IndianaPacers
BruceBrown,11,9,2,5,1,4,4,4,7,38,45.5,100.0,2,7,2,2,1,0,15,22,IndianaPacers
BuddyHield,11,2,2,3,2,11,1,1,2,22,50.0,100.0,0,2,2,1,0,3,-21,4,IndianaPacers
AndrewNembhard,10,2,2,3,2,2,0,0,2,20,33.3,0,0,2,1,1,0,3,2,13,IndianaPacers
ObiToppin,7,0,1,1,1,2,2,2,0,13,100.0,0,0,0,1,0,0,4,6,5,IndianaPacers
AaronNesmith,6,1,0,1,2,3,0,0,0,16,50.0,0,0,1,1,0,0,5,-22,4,IndianaPacers
IsaiahJackson,3,3,1,2,0,0,1,2,0,11,14.3,0,1,2,0,1,2,3,-12,7,IndianaPacers
DanielTheis,2,0,1,3,0,1,0,0,0,8,0,0,0,0,0,0,0,1,0,-1,IndianaPacers
IndianaPacers,126,42,24,44,20,48,18,20,27,240,52.9,0,11,31,11,6,6,25,10,144,IndianaPacers
GiannisAntetokounmpo,54,12,19,24,0,1,16,18,3,36,76.0,88.9,2,10,8,0,0,4,6,53,MilwaukeeBucks
KhrisMiddleton,19,2,5,7,2,6,3,4,4,20,53.8,75.0,1,1,2,0,0,1,-5,16,MilwaukeeBucks
MalikBeasley,13,4,1,4,3,6,2,2,2,29,40.0,100.0,1,3,0,1,0,2,-10,14,MilwaukeeBucks
BobbyPortis,11,8,5,9,0,2,1,1,2,24,45.5,100.0,0,8,3,1,1,2,6,14,MilwaukeeBucks
PatConnaughton,8,2,2,3,1,3,1,1,4,25,50.0,100.0,0,2,0,1,0,0,17,12,MilwaukeeBucks
CameronPayne,7,4,2,7,1,2,0,0,5,30,33.3,0,0,4,1,0,1,4,-17,10,MilwaukeeBucks
JaeCrowder,5,4,1,1,1,1,0,0,1,29,100.0,0,0,4,0,1,0,2,-5,11,MilwaukeeBucks
MarJonBeauchamp,5,4,1,2,1,2,0,0,2,13,50.0,0,1,3,0,0,0,0,6,9,MilwaukeeBucks
BrookLopez,2,1,1,3,0,4,0,0,0,29,14.3,0,0,1,0,2,3,2,-15,2,MilwaukeeBucks
AndreJacksonJr.,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,7,0,MilwaukeeBucks
MilwaukeeBucks,124,44,37,60,9,27,23,26,23,240,52.9,0,6,38,15,6,5,19,-10,141,MilwaukeeBucks
