PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TyreseHaliburton,29,2,9,17,3,5,2,3,14,40,55.0,75.0,0,2,3,3,0,2,8,34,IndianaPacers
MylesTurner,24,7,7,7,2,4,4,4,0,29,57.1,100.0,1,6,1,1,4,4,18,33,IndianaPacers
BuddyHield,20,7,2,4,5,11,1,1,2,38,55.6,100.0,1,6,2,1,1,4,11,21,IndianaPacers
AndrewNembhard,17,1,7,9,1,1,0,0,5,36,36.4,50.0,1,0,1,0,0,2,14,20,IndianaPacers
JalenSmith,11,2,1,1,3,4,0,1,1,15,100.0,75.0,1,1,2,0,0,5,-19,10,IndianaPacers
ObiToppin,3,6,1,3,0,3,1,2,0,24,66.7,100.0,0,6,0,0,1,2,2,4,IndianaPacers
AaronNesmith,3,3,0,1,1,4,0,0,2,28,50.0,0,1,2,4,2,0,6,-20,2,IndianaPacers
BennedictMathurin,2,2,1,3,0,2,0,0,1,16,33.3,0,0,2,1,0,0,1,-24,0,IndianaPacers
T.J.McConnell,1,0,0,1,0,0,1,2,2,7,66.7,0,0,0,1,0,0,0,-17,0,IndianaPacers
IsaiahJackson,0,3,0,2,0,0,0,0,0,6,0,50.0,2,1,0,0,0,4,-8,1,IndianaPacers
IndianaPacers,110,35,28,48,15,34,9,13,27,240,53.4,0,8,27,15,7,6,30,-35,125,IndianaPacers
PaoloBanchero,34,7,11,20,0,0,12,16,4,36,55.0,75.0,1,6,3,1,0,1,-2,30,OrlandoMagic
FranzWagner,24,6,8,12,0,2,8,8,0,36,57.1,100.0,1,5,1,1,0,4,0,24,OrlandoMagic
GaryHarris,15,1,3,5,2,4,3,3,3,35,55.6,100.0,0,1,3,2,0,2,0,14,OrlandoMagic
ColeAnthony,12,6,2,5,2,6,2,4,3,24,36.4,50.0,1,5,0,1,0,3,7,13,OrlandoMagic
MoritzWagner,9,3,3,3,0,0,3,4,3,20,100.0,75.0,2,1,0,0,0,1,12,14,OrlandoMagic
AnthonyBlack,8,3,2,3,0,0,4,4,2,28,66.7,100.0,0,3,2,1,1,2,-3,12,OrlandoMagic
CalebHoustan,6,3,0,0,2,4,0,0,0,21,50.0,0,1,2,1,1,0,3,17,7,OrlandoMagic
WendellCarter,4,8,2,5,0,1,0,0,4,16,33.3,0,3,5,1,0,0,1,-16,11,OrlandoMagic
JonathanIsaac,4,1,2,2,0,1,0,0,1,12,66.7,0,0,1,0,0,3,0,9,8,OrlandoMagic
GogaBitadze,1,1,0,0,0,0,1,2,2,11,0,50.0,1,0,2,2,1,1,11,4,OrlandoMagic
OrlandoMagic,117,44,33,55,6,18,33,41,22,240,53.4,0,14,30,13,9,5,19,35,137,OrlandoMagic
