PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
PascalSiakam,26,13,8,11,1,2,7,10,10,30,55.0,70.0,3,10,2,0,0,3,30,40,IndianaPacers
MylesTurner,20,9,4,6,3,6,3,4,1,27,41.2,100.0,3,6,1,1,2,4,21,26,IndianaPacers
AndrewNembhard,19,2,7,12,1,3,2,2,8,29,66.7,50.0,0,2,6,1,1,3,18,18,IndianaPacers
AaronNesmith,16,8,3,5,3,3,1,1,3,29,50.0,66.7,1,7,1,0,0,2,21,24,IndianaPacers
BennedictMathurin,13,5,5,11,0,2,3,3,4,25,80.0,0,1,4,3,0,0,2,-16,11,IndianaPacers
ObiToppin,13,5,5,7,1,4,0,0,0,19,66.7,66.7,2,3,3,0,1,2,-19,11,IndianaPacers
BuddyHield,11,3,1,1,3,5,0,0,2,26,66.7,100.0,0,3,1,2,0,1,23,15,IndianaPacers
T.J.McConnell,8,4,4,6,0,0,0,0,5,24,60.0,0,1,3,3,2,0,4,-4,14,IndianaPacers
JalenSmith,6,1,3,3,0,1,0,1,0,9,40.0,0.0,1,0,0,0,2,6,-4,7,IndianaPacers
BenSheppard,2,5,1,2,0,2,0,0,2,15,16.7,66.7,0,5,0,0,0,5,-3,6,IndianaPacers
KendallBrown,0,0,0,0,0,0,0,0,0,2,50.0,0.0,0,0,0,0,0,0,-6,0,IndianaPacers
IsaiahJackson,0,0,0,1,0,0,0,0,0,5,0.0,100.0,0,0,1,0,2,1,-1,0,IndianaPacers
IndianaPacers,134,62,41,65,12,28,16,21,35,240,48.3,0,15,47,23,6,8,33,60,172,IndianaPacers
JoelEmbiid,31,7,9,16,2,4,7,10,3,31,55.0,70.0,1,6,2,0,0,1,-20,27,Philadelphia76ers
TyreseMaxey,22,1,6,9,1,8,7,7,2,29,41.2,100.0,0,1,1,0,1,2,-29,15,Philadelphia76ers
KenyonMartin,11,3,4,5,0,1,3,6,2,31,66.7,50.0,1,2,2,2,0,4,4,11,Philadelphia76ers
RickyCouncilIV,11,1,2,5,1,1,4,6,0,12,50.0,66.7,1,0,0,1,0,0,9,8,Philadelphia76ers
NicolasBatum,10,3,2,2,2,3,0,0,1,22,80.0,0,0,3,1,0,0,2,-14,12,Philadelphia76ers
DanuelHouse,10,2,4,6,0,0,2,3,1,19,66.7,66.7,1,1,2,2,1,2,-7,11,Philadelphia76ers
JadenSpringer,8,2,2,3,0,0,4,4,0,15,66.7,100.0,0,2,0,0,0,0,-3,9,Philadelphia76ers
PaulReed,7,6,2,3,1,2,0,0,1,17,60.0,0,1,5,1,3,0,2,8,14,Philadelphia76ers
KellyOubre,4,2,2,3,0,2,0,1,2,22,40.0,0.0,1,1,0,1,3,4,-14,8,Philadelphia76ers
PatrickBeverley,4,3,1,3,0,3,2,3,5,19,16.7,66.7,0,3,2,0,1,3,-15,5,Philadelphia76ers
FurkanKorkmaz,2,1,1,1,0,1,0,1,2,13,50.0,0.0,0,1,0,1,0,0,12,4,Philadelphia76ers
TerquavionSmith,2,0,0,2,0,4,2,2,5,12,0.0,100.0,0,0,1,3,0,0,9,3,Philadelphia76ers
Philadelphia76ers,122,34,35,58,7,29,31,43,24,240,48.3,0,9,25,13,13,6,20,-60,127,Philadelphia76ers
