PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
MylesTurner,18,13,6,10,1,5,3,3,3,31,52.4,66.7,6,7,2,0,2,3,6,26,IndianaPacers
BruceBrown,16,9,4,9,1,2,5,5,6,27,40.0,85.7,0,9,0,1,1,2,-3,27,IndianaPacers
BennedictMathurin,16,7,4,12,0,1,8,8,0,28,54.5,0,2,5,1,1,0,2,6,14,IndianaPacers
ObiToppin,15,7,3,4,3,6,0,0,3,28,66.7,66.7,1,6,2,0,0,2,3,19,IndianaPacers
T.J.McConnell,14,2,7,10,0,0,0,0,8,22,26.7,100.0,0,2,0,2,0,2,7,23,IndianaPacers
IsaiahJackson,12,3,4,4,0,0,4,6,1,17,41.7,0,2,1,2,1,3,3,2,16,IndianaPacers
AaronNesmith,10,3,1,4,2,5,2,2,1,24,20.0,75.0,0,3,0,0,0,1,1,8,IndianaPacers
JordanNwora,9,5,3,5,1,2,0,0,0,17,50.0,0,0,5,0,0,0,3,5,11,IndianaPacers
AndrewNembhard,2,2,1,7,0,1,0,0,5,26,25.0,25.0,2,0,5,2,0,3,1,-1,IndianaPacers
BuddyHield,0,3,0,2,0,3,0,0,4,19,43.2,0,1,2,1,0,0,1,12,1,IndianaPacers
IndianaPacers,112,57,33,67,8,25,22,24,31,240,44.6,0,14,43,14,7,6,22,40,144,IndianaPacers
JordanPoole,28,4,9,14,2,7,4,6,7,34,52.4,66.7,1,3,1,3,0,3,0,29,WashingtonWizards
DeniAvdija,15,5,3,7,1,3,6,7,1,25,40.0,85.7,0,5,1,1,0,5,2,14,WashingtonWizards
CoreyKispert,15,3,3,3,3,8,0,0,2,30,54.5,0,2,1,1,0,0,0,-11,14,WashingtonWizards
DanielGafford,12,8,4,6,0,0,4,6,2,37,66.7,66.7,1,7,3,2,6,4,-3,23,WashingtonWizards
KyleKuzma,11,10,4,11,0,4,3,3,5,34,26.7,100.0,3,7,3,2,0,0,-10,14,WashingtonWizards
TyusJones,11,4,4,7,1,5,0,0,4,34,41.7,0,1,3,2,0,1,2,-5,11,WashingtonWizards
BilalCoulibaly,5,6,1,4,0,1,3,4,1,22,20.0,75.0,1,5,0,0,1,4,-5,8,WashingtonWizards
MikeMuscala,4,4,2,2,0,2,0,0,0,11,50.0,0,3,1,1,0,0,4,-5,5,WashingtonWizards
DelonWright,3,1,1,3,0,1,1,4,2,14,25.0,25.0,1,0,0,0,0,1,-3,0,WashingtonWizards
WashingtonWizards,104,50,31,57,7,31,21,30,24,240,43.2,0,16,34,12,8,8,23,-40,118,WashingtonWizards
