PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JamesHarden,28,7,1,6,5,6,11,12,15,42,60.0,100.0,2,5,4,1,4,3,12,44,LAClippers
KawhiLeonard,27,8,7,12,2,4,7,9,2,39,29.4,100.0,3,5,2,1,1,2,-1,28,LAClippers
NormanPowell,21,5,8,9,1,4,2,2,2,36,50.0,100.0,0,5,1,1,0,3,20,24,LAClippers
AmirCoffey,18,4,2,4,4,11,2,3,1,29,44.4,100.0,1,3,1,0,0,2,5,12,LAClippers
IvicaZubac,10,8,5,10,0,0,0,0,2,30,66.7,75.0,3,5,3,0,2,5,-3,14,LAClippers
RussellWestbrook,9,4,3,5,1,2,0,0,2,19,44.4,50.0,0,4,2,0,1,0,7,11,LAClippers
DanielTheis,4,1,0,1,0,1,4,4,1,16,57.1,0,0,1,0,1,1,2,8,6,LAClippers
TeranceMann,2,3,1,1,0,4,0,0,2,20,40.0,0,1,2,0,1,0,1,-22,4,LAClippers
KobeBrown,2,0,1,1,0,0,0,0,0,7,18.2,0,0,0,0,1,0,2,14,3,LAClippers
LAClippers,121,43,28,49,13,32,26,30,27,240,33.3,0,13,30,14,6,9,20,40,146,LAClippers
KlayThompson,30,1,1,3,8,12,4,4,5,32,60.0,100.0,0,1,0,2,0,1,-12,32,GoldenStateWarriors
StephenCurry,17,4,2,4,3,13,4,4,4,34,29.4,100.0,0,4,1,0,0,3,-3,12,GoldenStateWarriors
JonathanKuminga,15,5,3,7,2,3,3,3,1,25,50.0,100.0,0,5,1,1,0,4,5,16,GoldenStateWarriors
ChrisPaul,12,2,2,4,2,5,2,2,3,29,44.4,100.0,0,2,2,0,0,4,-11,10,GoldenStateWarriors
MosesMoody,11,5,4,5,0,1,3,4,1,16,66.7,75.0,2,3,2,1,0,1,4,13,GoldenStateWarriors
AndrewWiggins,9,3,4,5,0,4,1,2,0,22,44.4,50.0,2,1,0,0,1,5,-7,7,GoldenStateWarriors
KevonLooney,8,7,4,7,0,0,0,0,5,26,57.1,0,5,2,1,1,0,2,0,17,GoldenStateWarriors
DarioSaric,5,6,1,1,1,4,0,0,1,17,40.0,0,0,6,1,0,0,2,3,8,GoldenStateWarriors
BrandinPodziemski,4,7,2,8,0,3,0,0,2,35,18.2,0,4,3,3,3,1,2,-8,5,GoldenStateWarriors
TrayceJackson-Davis,2,3,1,3,0,0,0,0,0,5,33.3,0,3,0,0,0,0,0,-11,3,GoldenStateWarriors
GoldenStateWarriors,113,48,24,47,16,45,17,19,22,240,43.5,0,18,30,12,8,2,24,-40,123,GoldenStateWarriors
