PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
PaulGeorge,18,6,3,8,2,8,6,6,3,30,66.7,87.5,0,6,0,1,0,2,-13,17,LAClippers
KawhiLeonard,18,4,7,14,1,3,1,1,1,30,44.4,100.0,4,0,3,1,0,2,-15,12,LAClippers
JamesHarden,17,2,2,5,3,8,4,5,6,32,60.0,100.0,0,2,0,1,1,0,-9,18,LAClippers
RussellWestbrook,11,2,2,6,1,5,4,5,3,29,66.7,0,0,2,1,2,0,2,-21,8,LAClippers
AmirCoffey,10,1,3,4,1,1,1,1,2,26,55.6,0,0,1,0,0,0,2,-18,12,LAClippers
IvicaZubac,6,11,2,5,0,0,2,2,2,23,62.5,0,5,6,2,0,1,4,-2,15,LAClippers
B.J.Boston,6,0,2,3,0,1,2,2,0,5,40.0,0,0,0,0,0,0,0,3,4,LAClippers
NormanPowell,6,2,1,5,1,2,1,2,0,17,33.3,0,0,2,1,0,0,1,-22,1,LAClippers
JordanMiller,4,1,1,1,0,0,2,2,0,5,40.0,0,0,1,0,0,0,0,3,5,LAClippers
MasonPlumlee,2,3,1,1,0,0,0,0,2,9,66.7,0,0,3,2,0,0,0,0,5,LAClippers
TeranceMann,2,2,1,3,0,0,0,0,1,25,0,0,0,2,1,1,0,1,-4,3,LAClippers
DanielTheis,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,-10,0,LAClippers
KobeBrown,0,2,0,1,0,0,0,0,0,5,54.1,0,1,1,2,0,0,0,3,-1,LAClippers
LAClippers,100,36,25,56,9,28,23,26,20,240,40.5,0,10,26,13,6,3,14,-105,99,LAClippers
Karl-AnthonyTowns,24,4,7,7,1,5,7,8,3,27,66.7,87.5,0,4,1,0,1,3,17,26,MinnesotaTimberwolves
AnthonyEdwards,23,7,7,7,1,11,6,6,8,32,44.4,100.0,0,7,1,1,0,2,18,28,MinnesotaTimberwolves
RudyGobert,17,10,6,10,0,0,5,5,0,33,60.0,100.0,5,5,2,0,4,4,9,25,MinnesotaTimberwolves
NickeilAlexander-Walker,15,2,3,6,3,3,0,0,5,24,66.7,0,0,2,2,2,0,2,0,19,MinnesotaTimberwolves
NazReid,11,7,4,7,1,2,0,0,1,27,55.6,0,0,7,2,0,0,3,17,13,MinnesotaTimberwolves
JadenMcDaniels,11,0,4,4,1,4,0,0,1,25,62.5,0,0,0,2,1,1,3,8,9,MinnesotaTimberwolves
MikeConley,5,4,1,2,1,3,0,0,7,24,40.0,0,1,3,1,2,0,1,10,14,MinnesotaTimberwolves
KyleAnderson,5,2,1,5,1,1,0,0,6,20,33.3,0,1,1,0,2,0,1,9,11,MinnesotaTimberwolves
MonteMorris,5,2,1,1,1,4,0,0,2,18,40.0,0,0,2,0,1,1,1,10,8,MinnesotaTimberwolves
DaishenNix,5,0,1,2,1,1,0,0,0,2,66.7,0,0,0,0,0,0,0,4,4,MinnesotaTimberwolves
JoshMinott,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,4,2,MinnesotaTimberwolves
JordanMcLaughlin,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-1,0,MinnesotaTimberwolves
MinnesotaTimberwolves,121,40,35,51,11,34,18,19,33,240,54.1,0,8,32,11,9,7,20,105,159,MinnesotaTimberwolves
