PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
PaulGeorge,34,8,10,18,4,12,2,3,2,39,52.0,66.7,1,7,2,0,0,3,-9,25,LAClippers
KawhiLeonard,20,8,7,10,1,7,3,4,3,34,57.1,66.7,1,7,1,1,1,0,-15,22,LAClippers
NormanPowell,20,1,5,9,3,5,1,1,0,28,71.4,50.0,0,1,0,3,0,1,-2,18,LAClippers
IvicaZubac,11,5,5,6,0,0,1,1,0,22,66.7,100.0,3,2,4,0,1,4,-18,12,LAClippers
JamesHarden,8,5,1,2,1,6,3,6,10,37,60.0,0,0,5,3,4,1,3,-6,16,LAClippers
TeranceMann,7,2,2,3,1,1,0,0,5,24,42.9,0,0,2,0,2,1,5,-4,16,LAClippers
DanielTheis,3,4,0,1,1,2,0,0,2,21,0.0,83.3,0,4,1,0,3,2,5,9,LAClippers
RussellWestbrook,3,4,1,6,0,2,1,2,2,14,50.0,0,1,3,0,0,1,2,-8,2,LAClippers
P.J.Tucker,0,2,0,0,0,2,0,0,3,22,16.7,100.0,2,0,0,1,0,4,7,4,LAClippers
LAClippers,106,44,31,55,11,37,11,17,27,240,48.9,0,10,34,11,11,8,24,-50,124,LAClippers
ZionWilliamson,32,6,13,24,0,1,6,9,5,34,52.0,66.7,2,4,5,2,0,2,-1,25,NewOrleansPelicans
BrandonIngram,30,4,10,16,2,5,4,6,5,35,57.1,66.7,0,4,3,0,0,3,13,25,NewOrleansPelicans
HerbertJones,14,4,2,3,3,4,1,2,4,24,71.4,50.0,2,2,3,1,1,5,22,18,NewOrleansPelicans
JonasValanciunas,12,8,2,4,2,2,2,2,4,28,66.7,100.0,2,6,1,1,0,4,15,22,NewOrleansPelicans
JordanHawkins,8,4,1,1,2,4,0,0,1,20,60.0,0,0,4,0,0,0,1,3,11,NewOrleansPelicans
DysonDaniels,7,8,2,5,1,2,0,0,5,36,42.9,0,2,6,1,1,1,2,18,17,NewOrleansPelicans
NajiMarshall,5,8,0,4,0,3,5,6,1,27,0.0,83.3,2,6,0,0,0,1,-3,6,NewOrleansPelicans
LarryNance,4,2,2,3,0,1,0,0,0,20,50.0,0,1,1,1,0,3,1,-5,6,NewOrleansPelicans
JoseAlvarado,4,5,1,4,0,2,2,2,1,16,16.7,100.0,1,4,1,1,0,0,-12,5,NewOrleansPelicans
NewOrleansPelicans,116,54,33,64,10,24,20,27,26,240,48.9,0,14,40,16,6,5,19,50,135,NewOrleansPelicans
