PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
PaulGeorge,25,7,6,10,4,9,1,2,0,31,58.8,87.5,1,6,1,1,0,2,21,22,LAClippers
JamesHarden,19,7,3,4,3,4,4,4,10,30,57.1,100.0,0,7,3,0,0,1,25,31,LAClippers
IvicaZubac,19,8,8,9,0,0,3,6,3,28,46.7,50.0,2,6,0,1,1,3,14,28,LAClippers
KawhiLeonard,17,3,7,12,1,3,0,0,2,32,37.5,100.0,0,3,3,5,1,1,11,18,LAClippers
NormanPowell,14,5,2,3,2,3,4,4,1,25,33.3,100.0,1,4,1,0,0,1,20,17,LAClippers
TeranceMann,14,5,2,3,3,6,1,2,3,28,37.5,50.0,3,2,1,0,0,2,14,16,LAClippers
RussellWestbrook,9,2,3,5,0,1,3,3,7,15,66.7,0,2,0,1,2,0,2,-3,16,LAClippers
AmirCoffey,9,2,3,4,1,1,0,0,0,23,100.0,100.0,0,2,0,0,0,3,12,10,LAClippers
DanielTheis,6,3,3,5,0,1,0,0,3,14,66.7,0,2,1,1,1,1,3,15,10,LAClippers
B.J.Boston,5,0,1,1,1,1,0,0,0,5,100.0,0,0,0,1,0,0,2,2,4,LAClippers
MasonPlumlee,1,2,0,0,0,0,1,2,3,5,0.0,100.0,0,2,0,0,0,0,2,5,LAClippers
KobeBrown,0,0,0,0,0,0,0,0,0,5,0.0,50.0,0,0,0,1,0,1,2,1,LAClippers
LAClippers,138,44,38,56,15,29,17,23,32,240,0.0,0,11,33,12,11,3,21,135,178,LAClippers
KevinDurant,30,7,7,11,3,6,7,8,2,35,58.8,87.5,0,7,3,0,1,2,-14,29,PhoenixSuns
DevinBooker,20,0,6,8,2,6,2,2,5,34,57.1,100.0,0,0,6,0,0,4,-31,13,PhoenixSuns
BradleyBeal,15,3,7,13,0,2,1,2,2,35,46.7,50.0,0,3,2,2,0,4,-7,11,PhoenixSuns
EricGordon,12,1,1,1,2,7,4,4,2,25,37.5,100.0,0,1,1,0,0,1,-17,9,PhoenixSuns
GraysonAllen,8,3,0,0,1,3,5,5,2,31,33.3,100.0,0,3,1,0,0,1,-22,10,PhoenixSuns
JusufNurkic,8,3,2,6,1,2,1,2,2,21,37.5,50.0,1,2,0,1,0,1,-14,8,PhoenixSuns
JoshOkogie,4,1,2,2,0,1,0,0,2,18,66.7,0,1,0,0,3,0,2,-12,9,PhoenixSuns
ChimezieMetu,4,2,1,1,0,0,2,2,0,8,100.0,100.0,0,2,0,0,1,1,-7,7,PhoenixSuns
JordanGoodwin,4,0,2,3,0,0,0,0,0,5,66.7,0,0,0,0,0,0,0,-3,3,PhoenixSuns
KeitaBates-Diop,3,0,0,0,1,1,0,0,0,2,100.0,0,0,0,0,0,0,1,3,3,PhoenixSuns
SabenLee,2,1,0,1,0,0,2,2,0,5,0.0,100.0,1,0,1,0,0,0,-3,1,PhoenixSuns
YutaWatanabe,1,0,0,0,0,2,1,2,0,5,0.0,50.0,0,0,0,0,0,1,-3,-2,PhoenixSuns
DrewEubanks,0,4,0,1,0,0,0,0,0,16,0.0,0,2,2,0,0,2,2,-5,5,PhoenixSuns
PhoenixSuns,111,25,28,47,10,30,25,29,17,240,49.4,0,5,20,14,6,4,20,-135,106,PhoenixSuns
