PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KawhiLeonard,34,6,8,11,3,8,9,9,5,39,43.5,100.0,0,6,1,3,0,2,13,39,LAClippers
PaulGeorge,20,8,5,9,2,8,4,4,8,41,47.1,77.8,3,5,1,1,1,4,3,27,LAClippers
JamesHarden,20,7,4,8,3,6,3,3,7,37,50.0,0,0,7,3,1,2,2,3,27,LAClippers
IvicaZubac,18,6,9,13,0,0,0,0,2,33,66.7,0,3,3,0,0,2,2,2,24,LAClippers
NormanPowell,16,3,4,5,2,4,2,2,1,25,36.4,0,0,3,0,1,2,4,3,20,LAClippers
RussellWestbrook,12,2,4,5,1,2,1,2,6,16,75.0,100.0,1,1,4,0,1,1,0,14,LAClippers
TeranceMann,9,3,2,2,1,4,2,2,4,29,50.0,0.0,2,1,0,0,0,2,5,13,LAClippers
DanielTheis,3,0,0,2,1,1,0,0,0,14,42.9,0,0,0,0,1,1,2,1,3,LAClippers
KobeBrown,0,0,0,0,0,1,0,0,0,5,47.8,0,0,0,0,0,0,1,-5,-1,LAClippers
LAClippers,132,40,36,55,13,34,21,22,33,240,55.1,0,13,27,9,7,9,23,25,166,LAClippers
AnferneeSimons,38,1,5,12,5,11,13,13,4,38,43.5,100.0,0,1,3,0,1,1,-9,28,PortlandTrailBlazers
ShaedonSharpe,27,3,4,8,4,9,7,9,6,41,47.1,77.8,1,2,2,1,0,2,-15,24,PortlandTrailBlazers
ScootHenderson,19,4,5,12,3,4,0,0,6,30,50.0,0,1,3,3,0,2,5,11,20,PortlandTrailBlazers
MatisseThybulle,11,1,1,1,3,5,0,0,0,31,66.7,0,0,1,0,1,0,3,-9,11,PortlandTrailBlazers
DuopReath,10,3,2,5,2,6,0,0,4,26,36.4,0,2,1,1,1,0,3,0,10,PortlandTrailBlazers
JabariWalker,9,8,2,2,1,2,2,2,1,22,75.0,100.0,3,5,1,1,0,1,1,17,PortlandTrailBlazers
ToumaniCamara,7,4,2,3,1,3,0,2,4,37,50.0,0.0,0,4,1,1,1,5,-5,11,PortlandTrailBlazers
MosesBrown,6,12,3,7,0,0,0,0,0,16,42.9,0,4,8,1,0,0,1,1,13,PortlandTrailBlazers
PortlandTrailBlazers,127,44,24,50,19,40,22,26,25,240,47.8,0,11,33,12,5,4,21,-25,134,PortlandTrailBlazers
