PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
D&#039;AngeloRussell,29,0,2,5,8,13,1,2,4,38,71.4,91.7,0,0,2,1,1,3,7,24,LosAngelesLakers
LeBronJames,25,4,7,15,3,4,2,2,12,36,44.4,85.7,0,4,5,2,0,2,14,29,LosAngelesLakers
AnthonyDavis,22,11,10,17,0,1,2,5,6,36,75.0,0,5,6,0,0,1,1,13,29,LosAngelesLakers
AustinReaves,20,3,5,6,2,3,4,4,8,33,54.5,100.0,0,3,1,0,0,4,14,28,LosAngelesLakers
JarredVanderbilt,17,5,7,10,1,1,0,1,0,27,50.0,100.0,0,5,2,3,1,2,0,20,LosAngelesLakers
TaureanPrince,14,4,1,1,4,7,0,0,2,30,71.4,50.0,0,4,0,2,0,3,-2,19,LosAngelesLakers
RuiHachimura,10,3,1,1,2,2,2,2,2,19,22.2,100.0,0,3,1,1,0,3,4,15,LosAngelesLakers
MaxChristie,2,0,0,0,0,0,2,2,1,9,50.0,0,0,0,1,1,0,0,-1,3,LosAngelesLakers
ChristianWood,2,0,0,1,0,0,2,2,0,12,0.0,0,0,0,0,0,1,3,-4,2,LosAngelesLakers
LosAngelesLakers,141,37,33,56,20,31,15,20,35,240,53.4,0,8,29,14,10,4,21,45,169,LosAngelesLakers
DeMarDerozan,32,2,9,13,1,1,11,12,10,41,71.4,91.7,0,2,3,2,0,2,-7,38,ChicagoBulls
CobyWhite,25,7,5,8,3,10,6,7,3,43,44.4,85.7,2,5,4,0,0,1,-1,20,ChicagoBulls
NikolaVucevic,20,8,7,9,2,3,0,0,1,39,75.0,0,3,5,2,0,1,2,-7,25,ChicagoBulls
AyoDosunmu,18,2,4,6,2,5,4,4,1,30,54.5,100.0,1,1,2,2,1,2,-11,17,ChicagoBulls
AlexCaruso,17,4,3,3,3,9,2,2,6,35,50.0,100.0,1,3,2,2,2,4,-6,23,ChicagoBulls
AndreDrummond,11,9,5,7,0,0,1,2,1,17,71.4,50.0,5,4,1,1,0,0,0,18,ChicagoBulls
PatrickWilliams,6,6,2,4,0,5,2,2,2,24,22.2,100.0,0,6,2,0,2,5,-11,7,ChicagoBulls
DalenTerry,3,0,0,1,1,1,0,0,1,3,50.0,0,0,0,0,0,0,1,-5,3,ChicagoBulls
JevonCarter,0,1,0,0,0,3,0,0,2,8,0.0,0,0,1,0,0,0,1,3,0,ChicagoBulls
ChicagoBulls,132,42,35,51,12,37,26,29,27,240,53.4,0,15,27,17,7,6,18,-45,151,ChicagoBulls
