PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
AnthonyDavis,32,9,14,24,0,3,4,6,3,38,48.0,0,1,8,1,3,4,0,-11,35,LosAngelesLakers
LeBronJames,25,9,7,14,2,6,5,5,7,35,55.0,100.0,1,8,2,1,1,0,-6,30,LosAngelesLakers
AustinReaves,15,2,4,9,2,7,1,2,10,36,45.0,100.0,1,1,1,2,0,2,-9,17,LosAngelesLakers
TaureanPrince,13,3,2,3,2,3,3,3,2,34,62.5,50.0,0,3,1,2,1,2,1,18,LosAngelesLakers
JaxsonHayes,9,6,4,5,0,1,1,2,1,17,37.5,0,5,1,0,1,2,1,-4,16,LosAngelesLakers
MaxChristie,7,2,0,4,2,3,1,2,1,15,50.0,0,1,1,0,1,0,1,-7,5,LosAngelesLakers
ChristianWood,3,4,1,1,0,0,1,2,1,19,33.3,0,0,4,0,1,1,2,7,9,LosAngelesLakers
RuiHachimura,2,4,1,3,0,2,0,0,0,38,33.3,0,1,3,1,0,1,2,-12,2,LosAngelesLakers
SkylarMays,0,0,0,1,0,0,0,0,2,7,100.0,0,0,0,1,1,0,0,1,1,LosAngelesLakers
LosAngelesLakers,106,39,33,64,8,25,16,22,27,240,48.5,0,10,29,7,12,10,10,-40,133,LosAngelesLakers
JamalMurray,29,7,7,16,5,9,0,0,11,36,48.0,0,0,7,3,2,0,2,17,33,DenverNuggets
MichaelPorter,27,8,7,13,4,7,1,1,2,38,55.0,100.0,1,7,1,0,1,1,6,28,DenverNuggets
NikolaJokic,24,13,7,14,2,6,4,4,9,36,45.0,100.0,3,10,6,0,3,2,10,32,DenverNuggets
AaronGordon,11,4,5,6,0,2,1,2,3,32,62.5,50.0,0,4,1,2,1,1,18,16,DenverNuggets
ReggieJackson,7,4,2,4,1,4,0,0,3,26,37.5,0,3,1,0,0,0,1,-10,9,DenverNuggets
DeAndreJordan,6,8,3,6,0,0,0,0,1,11,50.0,0,4,4,0,0,0,2,0,12,DenverNuggets
PeytonWatson,5,4,1,3,1,3,0,0,2,25,33.3,0,1,3,1,0,0,2,-3,6,DenverNuggets
ChristianBraun,3,1,0,2,1,1,0,0,1,13,33.3,0,1,0,0,0,1,0,-9,4,DenverNuggets
JustinHoliday,2,1,1,1,0,0,0,0,1,22,100.0,0,1,0,0,0,0,6,11,4,DenverNuggets
DenverNuggets,114,50,33,65,14,32,6,7,33,240,48.5,0,14,36,12,4,6,17,40,144,DenverNuggets
