PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
LeBronJames,37,6,12,14,2,5,7,9,8,40,42.9,0,1,5,2,3,0,0,2,45,LosAngelesLakers
AnthonyDavis,27,10,11,15,0,0,5,7,3,33,68.8,0,4,6,4,2,1,6,-8,33,LosAngelesLakers
AustinReaves,17,6,3,4,2,3,5,6,6,25,35.7,100.0,0,6,2,0,0,0,9,24,LosAngelesLakers
RuiHachimura,11,4,4,6,0,4,3,4,2,32,50.0,100.0,1,3,2,2,0,0,-2,10,LosAngelesLakers
CameronReddish,7,3,2,4,1,5,0,0,3,39,100.0,100.0,0,3,1,3,0,2,13,9,LosAngelesLakers
D&#039;AngeloRussell,4,5,0,3,1,5,1,2,2,24,30.0,33.3,0,5,3,3,0,1,-7,3,LosAngelesLakers
TaureanPrince,2,4,1,7,0,4,0,1,2,24,66.7,0,3,1,2,0,0,0,-6,-5,LosAngelesLakers
JaxsonHayes,0,2,0,0,0,0,0,0,0,5,50.0,0,1,1,0,0,0,1,-4,2,LosAngelesLakers
ChristianWood,0,2,0,1,0,3,0,0,0,18,0,0,0,2,1,0,0,3,8,-3,LosAngelesLakers
LosAngelesLakers,105,44,33,54,6,29,21,29,26,240,0.0,0,12,32,17,13,1,13,5,118,LosAngelesLakers
DillonBrooks,24,1,3,10,6,11,0,0,2,41,42.9,0,1,0,2,4,0,5,3,17,HoustonRockets
AlperenSengun,23,10,10,14,1,2,0,0,5,31,68.8,0,2,8,4,0,1,4,21,30,HoustonRockets
FredVanVleet,15,1,2,4,3,10,2,2,16,40,35.7,100.0,0,1,3,1,0,1,4,21,HoustonRockets
JabariSmithJr.,14,5,3,4,2,6,2,2,1,32,50.0,100.0,1,4,3,1,0,4,-5,13,HoustonRockets
JeffGreen,13,2,5,5,0,0,3,3,0,14,100.0,100.0,0,2,0,0,0,2,-15,15,HoustonRockets
JalenGreen,9,6,1,5,2,5,1,3,3,31,30.0,33.3,0,6,4,0,1,1,3,6,HoustonRockets
Jae&#039;SeanTate,4,3,2,3,0,0,0,0,2,16,66.7,0,1,2,0,1,0,1,6,9,HoustonRockets
TariEason,2,5,1,1,0,1,0,0,0,17,50.0,0,0,5,0,0,1,2,-18,7,HoustonRockets
JockLandale,0,1,0,0,0,0,0,0,1,4,0,0,1,0,1,0,0,1,-6,1,HoustonRockets
AaronHoliday,0,0,0,1,0,2,0,0,5,15,0.0,0,0,0,1,0,0,4,2,1,HoustonRockets
HoustonRockets,104,39,27,47,14,37,8,10,35,240,48.8,0,10,29,21,7,3,25,-5,120,HoustonRockets
