PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
AnthonyDavis,30,12,9,15,1,2,9,10,2,39,50.0,76.9,3,9,2,3,3,2,7,40,LosAngelesLakers
LeBronJames,21,8,6,9,1,5,6,8,9,35,37.5,100.0,1,7,5,2,2,1,22,28,LosAngelesLakers
D&#039;AngeloRussell,14,4,5,9,1,7,1,1,5,33,40.0,33.3,0,4,3,2,1,2,8,13,LosAngelesLakers
AustinReaves,10,2,3,5,1,2,1,2,1,28,60.0,100.0,1,1,1,1,0,5,-11,9,LosAngelesLakers
ChristianWood,7,10,2,5,0,2,3,4,1,21,33.3,0,2,8,1,0,0,2,23,11,LosAngelesLakers
GabeVincent,7,3,3,5,0,5,1,2,6,35,20.0,100.0,1,2,0,3,0,1,13,11,LosAngelesLakers
RuiHachimura,7,0,1,1,1,2,2,2,0,12,50.0,0,0,0,1,1,1,2,-13,7,LosAngelesLakers
CameronReddish,4,1,2,2,0,3,0,0,0,12,50.0,0,0,1,1,0,0,2,-12,1,LosAngelesLakers
JaxsonHayes,0,2,0,0,0,0,0,0,0,6,0.0,100.0,0,2,2,1,0,3,3,1,LosAngelesLakers
TaureanPrince,0,0,0,4,0,1,0,0,0,18,42.0,0,0,0,0,1,0,3,-15,-4,LosAngelesLakers
LosAngelesLakers,100,42,31,55,5,29,23,29,24,240,42.9,0,8,34,16,14,7,23,25,117,LosAngelesLakers
KevinDurant,39,11,13,23,1,5,10,13,2,39,50.0,76.9,0,11,8,1,1,2,18,29,PhoenixSuns
EricGordon,15,2,4,8,2,8,1,1,0,30,37.5,100.0,1,1,2,0,0,2,-27,5,PhoenixSuns
JordanGoodwin,14,6,5,10,1,5,1,3,2,30,40.0,33.3,0,6,1,2,0,2,8,12,PhoenixSuns
JoshOkogie,10,8,1,1,2,4,2,2,3,33,60.0,100.0,4,4,1,0,1,2,3,19,PhoenixSuns
GraysonAllen,6,6,0,2,2,4,0,0,4,35,33.3,0,1,5,0,0,0,3,-2,12,PhoenixSuns
JusufNurkic,4,9,1,3,0,2,2,2,3,28,20.0,100.0,3,6,4,3,0,5,-5,11,PhoenixSuns
YutaWatanabe,3,1,0,1,1,1,0,0,0,15,50.0,0,0,1,1,0,0,2,-14,2,PhoenixSuns
DrewEubanks,2,4,1,2,0,0,0,0,2,17,50.0,0,1,3,2,0,0,3,1,5,PhoenixSuns
NassirLittle,2,2,0,0,0,2,2,2,0,13,0.0,100.0,0,2,1,1,1,0,-7,3,PhoenixSuns
PhoenixSuns,95,49,25,50,9,31,18,23,16,240,42.0,0,10,39,20,7,3,21,-25,98,PhoenixSuns
