PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
GregoryJackson,20,9,5,10,3,5,1,2,0,24,52.9,33.3,3,6,1,0,3,2,2,23,MemphisGrizzlies
LukeKennard,19,2,1,1,4,6,5,7,2,30,29.4,100.0,0,2,2,1,0,2,-4,18,MemphisGrizzlies
JarenJacksonJr.,18,2,4,6,3,6,1,2,3,28,50.0,28.6,0,2,4,0,1,5,9,14,MemphisGrizzlies
LamarStevens,14,8,3,7,1,1,5,6,1,20,53.8,0,1,7,0,0,2,1,2,20,MemphisGrizzlies
VinceWilliamsJr.,12,8,1,2,0,4,10,12,7,35,60.0,66.7,1,7,2,3,1,1,-4,22,MemphisGrizzlies
JordanGoodwin,10,3,3,6,1,2,1,4,3,24,42.9,100.0,1,2,0,1,1,1,10,11,MemphisGrizzlies
JohnKonchar,8,3,1,2,2,2,0,0,2,20,28.6,50.0,0,3,2,1,2,3,-8,13,MemphisGrizzlies
DerrickRose,8,4,3,5,0,1,2,3,3,16,23.1,0,0,4,0,0,0,1,10,11,MemphisGrizzlies
SantiagoAldama,7,5,1,1,1,6,2,4,4,22,28.6,0,2,3,0,1,1,3,11,11,MemphisGrizzlies
ZiaireWilliams,5,2,2,4,0,2,1,1,2,22,0,0,0,2,0,1,0,1,12,6,MemphisGrizzlies
MemphisGrizzlies,121,46,24,44,15,35,28,41,27,240,41.2,0,8,38,11,8,11,20,40,149,MemphisGrizzlies
AmenThompson,19,12,9,17,0,0,1,3,2,34,52.9,33.3,6,6,2,2,1,6,-13,24,HoustonRockets
DillonBrooks,19,10,3,7,2,10,7,7,2,36,29.4,100.0,4,6,1,2,0,3,-1,20,HoustonRockets
AlperenSengun,19,5,7,14,1,2,2,7,6,34,50.0,28.6,3,2,1,1,1,6,-6,18,HoustonRockets
AaronHoliday,19,2,2,5,5,8,0,0,1,30,53.8,0,2,0,2,1,0,3,-14,15,HoustonRockets
NateHinton,10,3,1,2,2,3,2,3,2,15,60.0,66.7,1,2,0,1,1,2,13,14,HoustonRockets
JeffGreen,10,4,3,5,0,2,4,4,0,16,42.9,100.0,1,3,0,0,0,0,2,10,HoustonRockets
Jae&#039;SeanTate,7,6,1,6,1,1,2,4,1,15,28.6,50.0,4,2,1,1,0,2,-11,7,HoustonRockets
JabariSmithJr.,6,11,3,7,0,6,0,0,1,33,23.1,0,1,10,2,1,0,2,-2,7,HoustonRockets
JalenGreen,4,3,2,3,0,4,0,0,3,23,28.6,0,0,3,0,0,1,1,-3,6,HoustonRockets
JeenathanWilliams,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,-5,2,HoustonRockets
HoustonRockets,113,56,31,66,11,36,18,28,20,240,41.2,0,22,34,9,9,4,25,-40,123,HoustonRockets
