PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JarenJacksonJr.,21,6,5,12,1,8,8,10,1,30,66.7,100.0,2,4,1,1,1,1,-14,13,MemphisGrizzlies
XavierTillman,20,9,7,8,1,2,3,7,2,31,62.5,0,4,5,2,1,2,1,-5,26,MemphisGrizzlies
DavidRoddy,17,6,4,6,3,5,0,0,4,27,100.0,0.0,1,5,2,1,0,3,-5,22,MemphisGrizzlies
DesmondBane,15,1,0,5,3,6,6,7,3,23,45.5,33.3,0,1,0,1,0,3,-7,11,MemphisGrizzlies
ZiaireWilliams,13,3,2,7,3,5,0,0,2,19,42.9,100.0,2,1,1,0,0,2,4,10,MemphisGrizzlies
JakeLaRavia,12,4,3,6,2,4,0,0,1,20,62.5,100.0,2,2,0,0,1,4,5,13,MemphisGrizzlies
LukeKennard,11,7,1,2,3,5,0,0,6,29,50.0,50.0,1,6,1,0,0,2,-13,20,MemphisGrizzlies
VinceWilliamsJr.,6,3,0,1,2,5,0,0,1,27,37.5,0,2,1,1,1,0,2,-8,6,MemphisGrizzlies
GregoryJackson,4,5,1,4,0,1,2,3,1,9,40.0,100.0,3,2,0,0,0,1,9,5,MemphisGrizzlies
JacobGilyard,0,1,0,0,0,2,0,0,8,20,50.0,0,0,1,1,0,0,1,0,6,MemphisGrizzlies
JohnKonchar,0,1,0,0,0,1,0,0,1,6,0.0,0,0,1,0,0,0,1,-11,1,MemphisGrizzlies
MemphisGrizzlies,119,47,23,51,18,44,19,27,30,240,0.0,0,18,29,10,5,4,21,-45,133,MemphisGrizzlies
PaulGeorge,37,3,5,8,7,10,6,6,1,35,66.7,100.0,0,3,4,2,0,3,18,33,LAClippers
KawhiLeonard,22,7,8,11,2,5,0,0,4,29,62.5,0,0,7,1,2,2,3,11,30,LAClippers
AmirCoffey,13,2,5,5,1,1,0,1,1,26,100.0,0.0,0,2,1,2,0,0,-4,16,LAClippers
RussellWestbrook,12,2,4,8,1,3,1,3,2,16,45.5,33.3,1,1,1,0,0,1,0,7,LAClippers
JamesHarden,11,1,1,3,2,4,3,3,9,28,42.9,100.0,0,1,3,1,0,0,20,15,LAClippers
NormanPowell,11,5,5,6,0,2,1,1,0,24,62.5,100.0,0,5,1,0,0,2,11,12,LAClippers
DanielTheis,7,5,1,3,1,1,2,4,4,22,50.0,50.0,2,3,0,2,3,2,14,17,LAClippers
TeranceMann,7,5,2,4,1,4,0,0,0,26,37.5,0,2,3,1,0,0,0,2,6,LAClippers
IvicaZubac,6,11,2,5,0,0,2,2,0,22,40.0,100.0,4,7,0,0,2,3,6,16,LAClippers
JordanMiller,2,2,1,2,0,0,0,0,0,4,50.0,0,2,0,0,0,0,0,-11,3,LAClippers
KobeBrown,0,0,0,1,0,0,0,0,1,4,0.0,0,0,0,0,0,0,0,-11,0,LAClippers
B.J.Boston,0,0,0,2,0,1,0,0,0,4,0.0,0,0,0,0,0,0,2,-11,-3,LAClippers
LAClippers,128,47,34,58,15,31,15,20,22,240,55.1,0,13,34,12,9,7,16,45,152,LAClippers
