PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ZiaireWilliams,27,4,5,6,4,7,5,7,4,36,88.2,55.6,0,4,2,3,0,1,-2,30,MemphisGrizzlies
GregoryJackson,27,1,4,7,6,10,1,3,0,30,33.3,100.0,0,1,3,0,1,3,12,17,MemphisGrizzlies
VinceWilliamsJr.,18,12,7,9,0,2,4,4,7,34,58.3,0,1,11,2,2,0,5,10,33,MemphisGrizzlies
LamarStevens,13,5,5,9,1,1,0,3,1,29,35.7,100.0,0,5,3,1,0,1,5,10,MemphisGrizzlies
JordanGoodwin,11,7,4,9,1,3,0,0,3,29,30.0,0,2,5,2,2,0,1,-8,14,MemphisGrizzlies
TreyJemison,10,6,4,11,0,0,2,2,2,23,50.0,0,4,2,2,0,1,4,-10,10,MemphisGrizzlies
SantiagoAldama,7,3,2,3,1,1,0,0,7,33,50.0,0,0,3,1,0,1,1,4,16,MemphisGrizzlies
JacobGilyard,0,1,0,2,0,1,0,0,5,15,33.3,0,0,1,1,1,0,0,6,3,MemphisGrizzlies
YutaWatanabe,0,1,0,1,0,1,0,0,1,11,0.0,50.0,0,1,0,0,0,0,-2,0,MemphisGrizzlies
MemphisGrizzlies,113,43,31,57,13,26,12,19,30,240,0.0,0,8,35,16,9,3,16,15,133,MemphisGrizzlies
GiannisAntetokounmpo,35,4,15,17,0,0,5,9,12,37,88.2,55.6,0,4,1,0,0,5,-14,44,MilwaukeeBucks
DamianLillard,24,5,4,8,3,13,7,7,7,35,33.3,100.0,2,3,4,1,0,2,10,19,MilwaukeeBucks
BobbyPortis,15,7,6,11,1,1,0,0,2,25,58.3,0,3,4,2,0,0,1,0,17,MilwaukeeBucks
BrookLopez,14,11,3,5,2,9,2,2,2,35,35.7,100.0,2,9,1,2,4,2,8,23,MilwaukeeBucks
MalikBeasley,9,2,0,0,3,10,0,0,0,30,30.0,0,0,2,0,2,0,4,4,6,MilwaukeeBucks
A.J.Green,6,1,0,0,2,4,0,0,1,14,50.0,0,0,1,1,1,0,2,0,6,MilwaukeeBucks
JaeCrowder,4,5,2,2,0,2,0,0,0,24,50.0,0,1,4,1,1,0,2,-5,7,MilwaukeeBucks
PatConnaughton,2,5,1,2,0,1,0,0,0,24,33.3,0,2,3,2,2,1,1,2,6,MilwaukeeBucks
PatrickBeverley,1,4,0,0,0,4,1,2,0,14,0.0,50.0,1,3,1,1,0,1,-16,0,MilwaukeeBucks
AndreJacksonJr.,0,0,0,1,0,0,0,0,0,3,0.0,0,0,0,0,0,0,2,-4,-1,MilwaukeeBucks
MilwaukeeBucks,110,47,31,46,11,44,15,20,24,240,46.7,0,11,36,14,10,5,22,-15,127,MilwaukeeBucks
