PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JarenJacksonJr.,18,4,2,8,2,6,8,10,3,37,28.6,80.0,0,4,2,1,3,3,-9,15,MemphisGrizzlies
SantiagoAldama,14,7,5,8,1,7,1,2,2,27,40.0,50.0,2,5,1,0,0,0,-15,12,MemphisGrizzlies
DesmondBane,13,2,2,7,3,9,0,0,4,34,31.3,0.0,1,1,5,0,0,3,-17,3,MemphisGrizzlies
DerrickRose,12,2,5,10,0,2,2,2,4,20,41.7,100.0,2,0,1,1,0,2,-3,11,MemphisGrizzlies
DavidRoddy,11,4,2,4,2,5,1,1,2,28,44.4,100.0,2,2,1,0,0,2,-5,11,MemphisGrizzlies
ZiaireWilliams,11,2,2,5,2,3,1,2,1,18,50.0,50.0,0,2,2,0,0,5,-9,7,MemphisGrizzlies
BismackBiyombo,10,5,2,3,0,0,6,10,3,30,66.7,60.0,2,3,1,1,0,1,-16,13,MemphisGrizzlies
JaylenNowell,4,5,2,3,0,1,0,0,3,13,50.0,0.0,1,4,0,0,0,1,5,10,MemphisGrizzlies
ShaquilleHarrison,2,1,1,2,0,0,0,0,0,2,50.0,0.0,0,1,0,0,1,0,-3,3,MemphisGrizzlies
KennyLofton,2,0,1,1,0,0,0,0,0,2,100.0,0.0,0,0,0,0,0,0,-3,2,MemphisGrizzlies
VinceWilliamsJr.,0,3,0,0,0,2,0,0,1,10,0.0,0.0,1,2,0,1,0,1,-11,3,MemphisGrizzlies
JohnKonchar,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0,0,0,0,0,-3,0,MemphisGrizzlies
JacobGilyard,0,0,0,0,0,2,0,0,1,16,0.0,0.0,0,0,0,0,0,0,-21,-1,MemphisGrizzlies
MemphisGrizzlies,97,37,24,51,10,37,19,27,24,240,38.6,0.0,13,24,14,4,4,18,-110,89,MemphisGrizzlies
AnthonyEdwards,24,5,7,10,1,4,7,7,7,34,57.1,100.0,0,5,2,0,1,3,23,29,MinnesotaTimberwolves
MikeConley,18,4,0,2,6,9,0,0,10,32,54.5,0.0,0,4,2,1,0,1,8,26,MinnesotaTimberwolves
Karl-AnthonyTowns,18,8,6,8,1,3,3,3,2,26,63.6,100.0,0,8,4,1,1,5,7,22,MinnesotaTimberwolves
RudyGobert,13,4,5,7,0,0,3,4,0,25,71.4,75.0,1,3,2,0,2,5,16,14,MinnesotaTimberwolves
NazReid,12,6,3,7,1,2,3,4,0,22,44.4,75.0,2,4,1,1,0,4,4,12,MinnesotaTimberwolves
NickeilAlexander-Walker,9,1,1,1,2,6,1,3,3,34,42.9,33.3,0,1,1,1,0,2,17,7,MinnesotaTimberwolves
KyleAnderson,6,6,3,6,0,1,0,0,3,23,42.9,0.0,1,5,0,0,1,3,13,12,MinnesotaTimberwolves
TroyBrown,6,4,0,0,2,4,0,0,1,18,50.0,0.0,2,2,1,0,0,1,5,8,MinnesotaTimberwolves
ShakeMilton,6,2,1,3,1,3,1,2,3,19,33.3,50.0,0,2,1,1,0,2,8,6,MinnesotaTimberwolves
DaishenNix,3,0,0,1,1,1,0,0,0,2,50.0,0.0,0,0,0,0,0,0,3,2,MinnesotaTimberwolves
LeonardMiller,2,2,1,1,0,0,0,0,1,2,100.0,0.0,0,2,0,0,0,0,3,5,MinnesotaTimberwolves
JoshMinott,2,0,1,1,0,1,0,0,0,2,50.0,0.0,0,0,0,0,0,0,3,1,MinnesotaTimberwolves
MinnesotaTimberwolves,119,45,28,47,15,34,18,23,30,240,53.1,0.0,9,36,16,5,5,26,110,144,MinnesotaTimberwolves
