PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DuncanRobinson,23,2,1,2,6,9,3,3,3,40,71.4,100.0,0,2,4,2,0,2,15,22,MiamiHeat
JaimeJaquez,17,6,5,14,2,2,1,1,8,33,58.3,100.0,2,4,2,1,0,0,-3,21,MiamiHeat
KyleLowry,17,2,1,1,4,4,3,3,1,24,47.4,0,0,2,2,2,0,2,14,20,MiamiHeat
JimmyButler,15,6,4,8,0,0,7,7,10,29,43.8,0,2,4,4,1,0,1,19,24,MiamiHeat
JamalCain,14,3,3,6,2,6,2,2,1,29,50.0,100.0,2,1,0,2,1,0,-6,14,MiamiHeat
ThomasBryant,11,9,5,7,0,0,1,1,0,16,60.0,0.0,6,3,1,0,0,2,-2,17,MiamiHeat
CalebMartin,9,6,3,10,1,3,0,0,4,36,60.0,0,3,3,4,0,1,2,5,7,MiamiHeat
OrlandoRobinson,6,4,3,5,0,0,0,0,1,12,0,0,2,2,3,0,0,2,3,6,MiamiHeat
KevinLove,3,9,1,3,0,6,1,2,1,20,0.0,0,0,9,2,2,1,1,10,5,MiamiHeat
MiamiHeat,115,58,26,56,15,30,18,19,29,240,53.2,0,20,38,24,10,3,14,55,136,MiamiHeat
TerryRozier,28,3,5,8,5,6,3,3,7,37,71.4,100.0,0,3,1,4,1,2,-15,38,CharlotteHornets
GordonHayward,20,5,6,10,1,2,5,5,7,35,58.3,100.0,1,4,4,0,0,2,1,23,CharlotteHornets
MilesBridges,19,5,8,11,1,8,0,0,4,34,47.4,0,1,4,4,3,0,2,3,17,CharlotteHornets
BrandonMiller,18,2,3,6,4,10,0,0,3,39,43.8,0,0,2,5,2,0,3,-4,11,CharlotteHornets
BryceMcGowens,7,3,1,2,1,2,2,2,1,18,50.0,100.0,1,2,0,0,0,2,-9,9,CharlotteHornets
NickRichards,6,10,3,5,0,0,0,1,0,40,60.0,0.0,1,9,2,0,4,1,-8,15,CharlotteHornets
IshmaelSmith,6,2,3,4,0,1,0,0,4,17,60.0,0,0,2,3,0,0,3,-5,7,CharlotteHornets
P.J.Washington,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,0,0,1,1,CharlotteHornets
J.T.Thor,0,1,0,0,0,2,0,0,0,16,0.0,0,0,1,1,1,0,3,-19,-1,CharlotteHornets
CharlotteHornets,104,32,29,46,12,31,10,11,27,240,53.2,0,5,27,22,11,5,18,-55,120,CharlotteHornets
