PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KyleLowry,17,2,3,4,3,9,2,3,5,32,52.9,75.0,0,2,3,2,0,1,-8,15,MiamiHeat
JoshRichardson,17,1,1,4,5,7,0,0,2,31,54.5,71.4,0,1,1,1,0,3,7,15,MiamiHeat
JimmyButler,16,5,5,13,0,2,6,7,2,36,55.6,0,3,2,2,1,0,1,-5,11,MiamiHeat
CalebMartin,15,6,3,7,3,8,0,2,4,34,23.5,100.0,1,5,1,0,2,5,-18,15,MiamiHeat
KevinLove,14,12,1,1,4,8,0,0,3,28,60.0,0,0,12,1,1,1,3,6,26,MiamiHeat
JaimeJaquez,14,3,7,11,0,2,0,0,3,35,75.0,100.0,1,2,3,0,1,3,1,12,MiamiHeat
OrlandoRobinson,5,8,2,3,0,0,1,1,3,20,42.9,50.0,2,6,1,0,1,3,-18,15,MiamiHeat
DuncanRobinson,1,0,0,1,0,6,1,2,1,23,33.3,0.0,0,0,6,0,0,4,-25,-12,MiamiHeat
MiamiHeat,99,37,22,44,15,42,10,15,23,240,40.0,0,7,30,18,5,5,23,-60,97,MiamiHeat
DonovanMitchell,27,13,6,9,3,8,6,8,6,36,52.9,75.0,1,12,5,1,0,1,15,32,ClevelandCavaliers
DariusGarland,18,2,5,7,1,4,5,7,6,26,54.5,71.4,0,2,2,4,0,4,20,21,ClevelandCavaliers
GeorgesNiang,13,3,2,5,3,4,0,0,2,20,55.6,0,1,2,2,0,0,1,-10,12,ClevelandCavaliers
MaxStrus,11,7,2,6,2,11,1,1,1,34,23.5,100.0,2,5,0,1,0,3,18,7,ClevelandCavaliers
SamMerrill,9,3,0,0,3,5,0,0,1,10,60.0,0,1,2,0,0,0,2,-8,11,ClevelandCavaliers
IsaacOkoro,9,1,2,2,1,2,2,2,0,22,75.0,100.0,0,1,1,1,1,2,-12,10,ClevelandCavaliers
CraigPorter,8,3,3,7,0,0,2,4,4,23,42.9,50.0,0,3,0,2,1,0,7,12,ClevelandCavaliers
JarrettAllen,6,9,3,9,0,0,0,2,1,25,33.3,0.0,2,7,0,1,0,2,-2,9,ClevelandCavaliers
DeanWade,5,6,1,1,1,4,0,0,0,25,40.0,0,3,3,1,3,0,1,23,10,ClevelandCavaliers
TristanThompson,5,3,2,3,0,0,1,2,0,16,66.7,50.0,2,1,1,0,0,0,21,5,ClevelandCavaliers
DamianJones,0,1,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,-12,0,ClevelandCavaliers
ClevelandCavaliers,111,51,26,49,14,38,17,26,21,240,46.0,0,12,39,13,13,2,17,60,129,ClevelandCavaliers
