PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JimmyButler,36,10,9,17,0,1,18,20,3,38,53.6,66.7,3,7,3,0,0,1,-3,35,MiamiHeat
JaimeJaquez,24,5,7,10,1,3,7,7,1,33,66.7,40.0,0,5,3,1,0,3,18,23,MiamiHeat
JoshRichardson,19,4,8,9,0,2,3,4,3,32,55.6,71.4,1,3,2,0,0,3,22,20,MiamiHeat
DuncanRobinson,16,1,1,3,4,6,2,2,2,29,35.7,60.0,0,1,1,1,0,3,9,15,MiamiHeat
KyleLowry,15,3,3,4,3,6,0,0,3,25,31.3,0,1,2,0,0,1,5,-11,18,MiamiHeat
CalebMartin,14,5,5,7,0,2,4,6,3,25,71.4,100.0,2,3,4,1,0,4,15,13,MiamiHeat
BamAdebayo,7,4,3,9,0,0,1,2,2,12,80.0,100.0,0,4,0,0,0,1,-2,6,MiamiHeat
KevinLove,5,8,1,1,0,0,3,4,6,17,25.0,0,1,7,0,1,0,2,10,19,MiamiHeat
ThomasBryant,2,4,1,1,0,0,0,0,1,6,0,0,1,3,0,0,0,1,-1,7,MiamiHeat
OrlandoRobinson,2,2,1,2,0,0,0,0,0,7,0,0,0,2,0,0,0,1,5,3,MiamiHeat
HaywoodHighsmith,2,1,1,1,0,1,0,0,1,15,0,0,0,1,1,0,0,4,-12,2,MiamiHeat
MiamiHeat,142,47,40,64,8,21,38,45,25,240,51.0,0,9,38,14,4,1,28,50,161,MiamiHeat
TyreseHaliburton,44,2,9,12,6,16,8,12,10,40,53.6,66.7,0,2,2,3,1,0,-6,41,IndianaPacers
ObiToppin,25,2,7,8,3,7,2,5,3,33,66.7,40.0,1,1,2,0,1,5,6,21,IndianaPacers
BruceBrown,15,6,5,7,0,2,5,7,3,32,55.6,71.4,1,5,0,0,0,1,-6,18,IndianaPacers
MylesTurner,13,9,5,9,0,5,3,5,2,29,35.7,60.0,4,5,0,0,1,3,-13,14,IndianaPacers
BuddyHield,12,5,3,5,2,11,0,0,5,31,31.3,0,1,4,1,1,2,6,-13,13,IndianaPacers
BennedictMathurin,12,3,5,7,0,0,2,2,0,24,71.4,100.0,0,3,1,0,0,1,-14,12,IndianaPacers
AaronNesmith,9,5,4,4,0,1,1,1,1,23,80.0,100.0,3,2,1,4,0,6,-2,17,IndianaPacers
AndrewNembhard,2,1,1,3,0,1,0,0,5,22,25.0,0,0,1,2,2,0,6,0,5,IndianaPacers
IsaiahJackson,0,1,0,0,0,0,0,0,1,6,0,0,0,1,0,1,0,3,-2,3,IndianaPacers
JaraceWalker,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,IndianaPacers
BenSheppard,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,IndianaPacers
IndianaPacers,132,34,39,55,11,43,21,32,30,240,51.0,0,10,24,9,11,5,31,-50,144,IndianaPacers
